"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","typeStatus","recordedBy","continentOcean","country","stateProvince","occurrenceRemarks","barcode","imagecode","locality","infraspecificEpithet","recordNumber","year","month","day","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","phylum","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","sex"
"1","2020-02-08 08:54:42-03","NBC","NL-BOTANY","U 0244344","PreservedSpecimen","Plantae","Magnoliopsidae","Caryophyllales","Cactaceae","Discocactus","catingicola","Discocactus catingicola","Buining & Brederoo","Rodrigues Santos M","2013","02","01","holotype","Horst L; Uebelmann W","Southern America","Brazil","Bahía","In rupibus nudis quae maxime eroduntur, saepe sub dumetis et arboribus in catinga aridissima et siccissima.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200244344 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0244344","NL-U0244344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 08:54:42-03","NBC","NL-BOTANY","U 0252785","PreservedSpecimen","Plantae","Magnoliopsidae","Caryophyllales","Cactaceae","Discocactus","catingicola","Discocactus catingicola","Buining & Brederoo","Rodrigues Santos M","2013","02","01",NA,"Horst L","Southern America","Brazil",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200252785 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0252785",NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 08:54:42-03","NBC","NL-BOTANY","U 0104076","PreservedSpecimen","Plantae","Magnoliopsidae","Caryophyllales","Cactaceae","Discocactus","heptacanthus","Discocactus heptacanthus catingicola","(Buining & Brederoo) N.P.Taylor & Zappi",NA,NA,NA,NA,"holotype","Horst L","Southern America","Brazil","Bahia","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200104076 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0104076","NL-U0104076","Brazil; Bahia; Santana; Porto Novo.","catingicola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-01-14 15:26:37-03","MN","R","106785","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Discocactus","catingicola","Discocactus catingicola","Buining & Brederoo","Zappi, D.","2014",NA,NA,NA,"Castellanos, A.",NA,"Brasil","Minas Gerais",NA,"R010023310","R010023310",NA,NA,"22413","1959","03","26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-12-20 21:16:31-03","UFV","VIC","43973","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Discocactus","catingicola","Discocactus catingicola","Buining & Brederoo",NA,NA,NA,NA,NA,"Machado, M.; et al.",NA,"Brasil","Bahia","Cacto discoide -globular, coloração verde-clara.","VIC043973",NA,"Sitio grande localidade conhecida como jatobás",NA,"105","2014","01","13","São Desidério","-44.9733009338379","-12.3633003234863","175149","auto",NA,NA,NA,NA,NA,NA
"6","2020-12-20 21:16:31-03","UFV","VIC","39962","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Discocactus","catingicola","Discocactus catingicola","Buining & Brederoo","M.R.Santos",NA,NA,NA,NA,"Santos, M.R.",NA,"Brasil","Minas Gerais","Cerrado, solo arenoso, globoso","VIC039962",NA,NA,NA,"87","2011","03","20","Refúgio Estadual Rio Pandeiros",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-12-20 21:16:31-03","UFV","VIC","39976","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Discocactus","catingicola","Discocactus catingicola","Buining & Brederoo","M.R.Santos",NA,NA,NA,NA,"Santos, M.R.",NA,"Brasil","Minas Gerais","732m,Cerrado lato sensu, campo limpo, próximo às veredas,globoso","VIC039976",NA,NA,NA,"84","2011","03","19","P.E. Veredas do Peruaçu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-12-20 21:16:31-03","UFV","VIC","39992","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Discocactus","catingicola","Discocactus catingicola","Buining & Brederoo","M.R.Santos",NA,NA,NA,NA,"Olsthoorn, G.",NA,"Brasil","Minas Gerais","cerrado","VIC039992",NA,NA,NA,"264","2011","05","13","João Pinherio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-12-20 21:16:31-03","UFV","VIC","39961","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Discocactus","catingicola","Discocactus catingicola","Buining & Brederoo","M.R.Santos",NA,NA,NA,NA,"Santos, M.R.; R.S. Fonseca",NA,"Brasil","Minas Gerais","Cerrado, afloramento de canga, globoso","VIC039961",NA,NA,NA,"152","2013",NA,NA,"Rio Paranaíba","-46.247200012207","-19.1935997009277","29416","auto",NA,NA,NA,NA,NA,NA
"10","2020-12-11 11:34:14-03","UFMG","BHCB","184513","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Discocactus","catingicola","Discocactus catingicola","Buining & Brederoo",NA,"2017","02","01",NA,"Mota, RC da; Vasconcelos, MF de","Southern America","Brasil","Minas Gerais","Projeto desenvolvido pelo Instituto Prístino!; Erva rupestre; perianto branco.; Coletada em Campo Rupestre Ferruginoso","BHCB031775",NA,"Fazenda Cachoeira Cabo do guarda chuva",NA,"3897","2016","12","17","Rio Pardo de Minas","-42.709167","-16.023889",NA,NA,"Dicotyledon","-42.709167","-16.023889","930","930",NA
