"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","scientificNameAuthorship","typeStatus","class","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","individualCount","fieldNumber"
"1","2016-09-29 21:23:00-03","NY","NYBG","884947","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Apiaceae","Lilaeopsis","brasiliensis","Lilaeopsis brasiliensis","J. M. Affolter","L. B. Smith","9125","1956","12","23","South America","Brazil","Santa Catarina","Caçador","52 km west of Cçador near the eastern edge of the campos of Palmas","-51.0147","-26.7756","1000","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=969722' target='other'> <mi>dwc_moreinfo</mi></a>","NY00884947","NY00884947_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-29 21:23:00-03","NY","NYBG","884946","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Apiaceae","Lilaeopsis","brasiliensis","Lilaeopsis brasiliensis","J. M. Affolter","L. B. Smith","14347","1965","01","06","South America","Brazil","Santa Catarina","Sao Joaquim","13 km southwest of São Joaquim","-49.95","-28.37","1200","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=969720' target='other'> <mi>dwc_moreinfo</mi></a>","NY00884946","NY00884946_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","406039","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Apiaceae","Lilaeopsis","carolinensis","Lilaeopsis carolinensis minor",NA,"E. Hassler","6439",NA,NA,NA,"South America","Paraguay",NA,NA,NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=510292' target='other'> <mi>dwc_moreinfo</mi></a>","NY00406039","NY00406039_01","minor","A.W.Hill","syntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","884944","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Apiaceae","Lilaeopsis","minor","Lilaeopsis minor",NA,"R. Reitz","16490","1963","12","28","South America","Brazil","Santa Catarina","Irani",NA,"-51.9017","-27.0247","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=969715' target='other'> <mi>dwc_moreinfo</mi></a>","NY00884944",NA,NA,"(A.W.Hill) R.L.Perez-Mor.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 08:44:01-03","NBC","NL-BOTANY","L.2583852","PreservedSpecimen","Plantae",NA,"Apiales","Umbelliferae","Lilaeopsis","minor","Lilaeopsis minor",NA,"Pedersen TM",NA,"1980","11","06","Southern America","Argentina",NA,NA,"Paso Crucecita Dep. Concepción Prov. Corrientes.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2583852 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2583852","NL-L2583852",NA,"(Hill) Pérez-Mor.",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 08:44:01-03","NBC","NL-BOTANY","L.2583853","PreservedSpecimen","Plantae",NA,"Apiales","Umbelliferae","Lilaeopsis","minor","Lilaeopsis minor",NA,"Pedersen TM",NA,"1969","11","21","Southern America","Paraguay",NA,NA,"Nemby Dep. Central.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2583853 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2583853","NL-L2583853",NA,"(Hill) Pérez-Mor.",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 08:44:01-03","NBC","NL-BOTANY","L.2583858","PreservedSpecimen","Plantae",NA,"Apiales","Umbelliferae","Lilaeopsis","minor","Lilaeopsis minor",NA,"Pedersen TM",NA,"1969","11","03","Southern America","Argentina",NA,NA,"Dep. Mburucuyà Prov. Corrientes.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2583858 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2583858","NL-L2583858",NA,"(Hill) Pérez-Mor.",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 08:44:01-03","NBC","NL-BOTANY","L.2583859","PreservedSpecimen","Plantae",NA,"Apiales","Umbelliferae","Lilaeopsis","minor","Lilaeopsis minor",NA,"Reitz R; Klein RM",NA,"1963","12","28","Southern America","Brazil",NA,NA,"Santa Catarina. Iraní.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2583859 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2583859","NL-L2583859",NA,"(Hill) Pérez-Mor.",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 08:44:01-03","NBC","NL-BOTANY","L.2583860","PreservedSpecimen","Plantae",NA,"Apiales","Umbelliferae","Lilaeopsis","minor","Lilaeopsis minor",NA,"Balansa B",NA,"1878","01","01","Southern America","Paraguay",NA,NA,"! blanches georapi, dans les prairies mareagues.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2583860 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2583860","NL-L2583860",NA,"(Hill) Pérez-Mor.",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 08:44:01-03","NBC","NL-BOTANY","L.2583861","PreservedSpecimen","Plantae",NA,"Apiales","Umbelliferae","Lilaeopsis","minor","Lilaeopsis minor",NA,"Balansa B",NA,"1878","01","01","Southern America","Paraguay",NA,NA,"! blanches georapi, dans les prairies mareagues.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2583861 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2583861","NL-L2583861",NA,"(Hill) Pérez-Mor.",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
