"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","imagecode","minimumElevationInMeters","maximumElevationInMeters","county","coordinatePrecision","geoFlag","infraspecificEpithet","typeStatus","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","eventTime","fieldNumber","individualCount","sex"
"1","2020-09-23 10:43:42-03","E","E","202931","PreservedSpecimen","Plantae","Solanaceae","Solanum","crinitum","Solanum crinitum","Lima, J.C.M.; Simon, M.F.","49","1999","03","18","E. Tropical South America","BR","Tocantins","Peqizeiro Conceicao do Araguaia","-49.143056","-8.385","-49.143056","-8.385000","herbarium specimen of unspecif","BGBASE:217547","<a href=http://data.rbge.org.uk/herb/E00202931 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00202931",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:43:42-03","E","E","202930","PreservedSpecimen","Plantae","Solanaceae","Solanum","crinitum","Solanum crinitum","Lima, J.C.M.; Simon, M.F.","49","1999","03","18","E. Tropical South America","BR","Tocantins","Peqizeiro Conceicao do Araguaia","-49.143056","-8.385","-49.143056","-8.385000","herbarium specimen of unspecif","BGBASE:217548","<a href=http://data.rbge.org.uk/herb/E00202930 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00202930",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:43:42-03","E","E","270710","PreservedSpecimen","Plantae","Solanaceae","Solanum","crinitum","Solanum crinitum","Proenca, C., Franca, F., Melo, E., Cardoso, C.F.Rozendo","50","1997","05","15","E. Tropical South America","BR",NA,NA,NA,NA,NA,NA,"herbarium specimen of unspecif","BGBASE:282540","<a href=http://data.rbge.org.uk/herb/E00270710 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00270710",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00700741","PreservedSpecimen","Plantae","Solanaceae","Solanum","crinitum","Solanum crinitum","E. P. Killip","30368","1929","10","29","South America","Brazil","Pará","Tapaná, near Pará",NA,NA,NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=837167' target='other'> <mi>dwc_moreinfo</mi></a>","NY00700741","Magnoliophyta","Solanales","Lam.","M. H. Nee","NY00700741_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00700732","PreservedSpecimen","Plantae","Solanaceae","Solanum","crinitum","Solanum crinitum","J. M. Pires","6425","1956","12","17","South America","Brazil","Pará","Serra do Cachimbo",NA,NA,NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=837149' target='other'> <mi>dwc_moreinfo</mi></a>","NY00700732","Magnoliophyta","Solanales","Lam.","M. H. Nee","NY00700732_01","425","425",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-27 03:38:00-03","NY","NYBG","00986732","PreservedSpecimen","Plantae","Solanaceae","Solanum","crinitum","Solanum crinitum","O. Tostain","1309","2007","12","03","South America","French Guiana","Saint-Laurent-du-Maroni","Nouveau Centre d'Enfouissement Technique. En bordure de la piste de Papaïchton, localisation centrée sur 21 N 829749 Est / 0409338 Nord UTM (système WGS 84).","-54.0319","3.6983",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1199492' target='other'> <mi>dwc_moreinfo</mi></a>","NY00986732","Magnoliophyta","Solanales",NA,"F. Crozier; C. Delnatte",NA,"160","160","Maripasoula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","770841","PreservedSpecimen","Plantae","Solanaceae","Solanum","crinitum","Solanum crinitum","M. M. Arbo","7437","1997","01","17","South America","Brazil","Bahia","BA-426, 29km al NE de Morro de Chapéu, camino a Várzea Nova.","-41","-11.33",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=750554' target='other'> <mi>dwc_moreinfo</mi></a>","NY00770841","Magnoliophyta","Solanales","Lam.","M. H. Nee",NA,"800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-27 14:01:00-03","NY","NYBG","00713077","PreservedSpecimen","Plantae","Solanaceae","Solanum","crinitum","Solanum crinitum","R. C. Ek","588","1992","11","25","South America","Guyana",NA,"Mabura region, road to YaYa Creek","-58.5","5.33",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=852641' target='other'> <mi>dwc_moreinfo</mi></a>","NY00713077","Magnoliophyta","Solanales",NA,"J. C. Lindeman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00700921","PreservedSpecimen","Plantae","Solanaceae","Solanum","crinitum","Solanum crinitum","G. G. Hatschbach","40127","1977","07","26","South America","Brazil","Mato Grosso","Rio Corrente","-52.2567","-15.8903",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=838769' target='other'> <mi>dwc_moreinfo</mi></a>","NY00700921","Magnoliophyta","Solanales","Lam.","M. H. Nee","NY00700921_01",NA,NA,"Barra do Garças",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","684616","PreservedSpecimen","Plantae","Solanaceae","Solanum","crinitum","Solanum crinitum","A. M. Amorim","2870","1999","04","15","South America","Brazil","Bahia","Estrada Oliveira dos Brejinos/Agua Quente, ca. de 6 km a partir de Oliveira dos Brejinhos. Aflormentos no interior da floresta.","-42.8958","-12.3169",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=835151' target='other'> <mi>dwc_moreinfo</mi></a>","NY00684616","Magnoliophyta","Solanales","Lam.","M. H. Nee","NY00684616_01",NA,NA,"Oliveira dos Brejinhos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","00713142","PreservedSpecimen","Plantae","Solanaceae","Solanum","crinitum","Solanum crinitum","M. Hoff","5693","1989","10","06","South America","French Guiana","Cayenne","Mont Cabassou - Ile de Cayenne","-52.3","4.9",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=853949' target='other'> <mi>dwc_moreinfo</mi></a>","NY00713142","Magnoliophyta","Solanales","Lam.","M. H. Nee",NA,"40","40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","00742434","PreservedSpecimen","Plantae","Solanaceae","Solanum","crinitum","Solanum crinitum","G. T. Prance","5436","1968","07","02","South America","Brazil","Rondônia","Vicinity of Mutumparaná. Basin of Rio Madeira","-64.9400568","-9.6223322",NA,NA,"separate fruit",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=875150' target='other'> <mi>dwc_moreinfo</mi></a>","NY00742434","Magnoliophyta","Solanales","Lam.",NA,"NY00742434_01 NY00742434_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","00713073","PreservedSpecimen","Plantae","Solanaceae","Solanum","crinitum","Solanum crinitum","T. W. Henkel","5466","1994","07","06","South America","Guyana","Potaro-Siparuni","Pakaraima Mountains; Upper Ireng River; W bank adjacent Ka-wai-kin Creek","-60","4.8",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=851414' target='other'> <mi>dwc_moreinfo</mi></a>","NY00713073","Magnoliophyta","Solanales","Lam.","M. H. Nee","NY00713073_01","600","600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","770828","PreservedSpecimen","Plantae","Solanaceae","Solanum","crinitum","Solanum crinitum","Liene","3785","1958","05","20","South America","Brazil","Rio de Janeiro","Estado da Guanabara, Vista Chineza.","-43.249313","-22.973268",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=750538' target='other'> <mi>dwc_moreinfo</mi></a>","NY00770828","Magnoliophyta","Solanales","Lam.","M. H. Nee","NY00770828_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","02098259","PreservedSpecimen","Plantae","Solanaceae","Solanum","crinitum","Solanum crinitum","A. A. M. Araújo","305","2010","04","26","South America","Brazil","Paraíba","­­­­Área de Preservação Permanente de Tambaba: Vale do Bucatu","-34.9075","-7.26",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2479096' target='other'> <mi>dwc_moreinfo</mi></a>","NY02098259","Magnoliophyta","Solanales","Lam.","S. D. Knapp","NY02098259_01","112",NA,"Conde",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","00700701","PreservedSpecimen","Plantae","Solanaceae","Solanum","crinitum","Solanum crinitum","B. Dubs","1476","1994","07","06","South America","Brazil","Mato Grosso","Between Tapirapuã and Barra do Bugres","-57.68","-14.88",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=837124' target='other'> <mi>dwc_moreinfo</mi></a>","NY00700701","Magnoliophyta","Solanales","Lam.","M. H. Nee","NY00700701_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
