"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","recordNumber","occurrenceRemarks","individualCount","phylum","class","order","continentOcean","preparationType","coordinatePrecision","geoFlag","relatedCatalogItem","relationshipType","fieldNumber","typeStatus","previousCatalogNumber","sex"
"11","2021-03-15 16:37:00-03","NY","NYBG","557655","PreservedSpecimen","Plantae","Orchidaceae","Gomesa","crispa","Gomesa crispa","Klotzsch ex Rchb.f.","G. F. J. Pabst",NA,NA,NA,"G. G. Hatschbach","1966","07","27","Brazil","Paraná","Paranaguá","Morro do Tabaquara","-48.5092","-25.5203",NA,NA,NA,NA,"NY00557655","NY00557655_01","14542","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=500924' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta",NA,"Asparagales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","557656","PreservedSpecimen","Plantae","Orchidaceae","Gomesa","recurva","Gomesa recurva","Barb.Rodr.","A. Gehrt",NA,NA,NA,"A. Löfgren","1898","03",NA,"Brazil","São Paulo","Sao Paulo","Capital","-46.63","-23.5403",NA,NA,NA,NA,"NY00557656","NY00557656_01","27286","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=277997' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta",NA,"Asparagales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","547574","PreservedSpecimen","Plantae","Orchidaceae","Gomesa","recurva","Gomesa recurva","Barb.Rodr.","P. K. H. Dusén",NA,NA,NA,"P. K. H. Dusén","1914","03","25","Brazil","Paraná","Jaguariaíva","Jacarehý","-49.7056","-24.2511",NA,NA,NA,NA,"NY00547574","NY00547574_01",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=277995' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta",NA,"Asparagales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","557657","PreservedSpecimen","Plantae","Orchidaceae","Gomesa","recurva","Gomesa recurva","Barb.Rodr.","P. I. S. Braga",NA,NA,NA,"B. D. Sucre","1968","02","10","Brazil","Rio de Janeiro","Teresópolis","Terezopolis, estrada para Posse","-42.9656","-22.4122",NA,NA,NA,NA,"NY00557657","NY00557657_01","201","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=277998' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta",NA,"Asparagales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","547573","PreservedSpecimen","Plantae","Orchidaceae","Gomesa","recurva","Gomesa recurva","Barb.Rodr.","G. F. J. Pabst",NA,NA,NA,"G. G. Hatschbach","1968","03","08","Brazil","Paraná","Guaraqueçaba","Serrinha","-48.3289","-25.3069",NA,NA,"30","50","NY00547573","NY00547573_01","18686","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=277999' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta",NA,"Asparagales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","777040","PreservedSpecimen","Plantae","Orchidaceae","Gomesa","recurva","Gomesa recurva","Barb.Rodr.","M. Borgo",NA,NA,NA,"M. Borgo","2001","01","18","Brazil","Paraná","Curitiba","Bosque Alemao","-49.22","-25.27",NA,NA,NA,NA,"NY00777040","NY00777040_01","987","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=277996' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta",NA,"Asparagales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","505022","PreservedSpecimen","Plantae","Orchidaceae","Oncidium","paranaense","Oncidium paranaense","Kraenzl.","P. K. H. Dusén",NA,NA,NA,"P. K. H. Dusén","1915","12","12","Brazil","Paraná","Pinhais",NA,"-49.157618","-25.419851",NA,NA,NA,NA,"NY00505022","NY00505022_01","17433","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=603685' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta",NA,"Asparagales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","505021","PreservedSpecimen","Plantae","Orchidaceae","Oncidium","paranaense","Oncidium paranaense","Kraenzl.","F. W. L. Kraenzlin",NA,NA,NA,"P. K. H. Dusén","1909","11","30","Brazil","Paraná","Rio Branco do Sul","Itaperussu","-49.3142","-25.1903",NA,NA,NA,NA,"NY00505021","NY00505021_01","9042","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=603687' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta",NA,"Asparagales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","505023","PreservedSpecimen","Plantae","Orchidaceae","Oncidium","paranaense","Oncidium paranaense","Kraenzl.","G. F. J. Pabst",NA,NA,NA,"L. B. Smith","1964","12","06","Brazil","Santa Catarina","Campo Erê","6km west of Campo Ere","-53.1","-26.37",NA,NA,"900","1000","NY00505023","NY00505023_01","13684","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=603688' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta",NA,"Asparagales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","505020","PreservedSpecimen","Plantae","Orchidaceae","Oncidium","paranaense","Oncidium paranaense","Kraenzl.","F. W. L. Kraenzlin",NA,NA,NA,"P. K. H. Dusén","1908","12","23","Brazil","Paraná","Rio Branco do Sul","Itaperussu","-49.3142","-25.1903",NA,NA,NA,NA,"NY00505020","NY00505020_01","7452","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=603686' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta",NA,"Asparagales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
