"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","continentOcean","class","order","individualCount","phylum"
"1","2020-10-14 10:00:05-03","FURB","FURB","28178","PreservedSpecimen","Plantae","Bromeliaceae","Nidularium","jonesianum","Nidularium jonesianum","Leme","Moura, R","2011","10","06","Verdi, M.; Souza, N.L. de; Klemz, G. & Klettenberg, D.H.","4972","2010","06","10","Brasil","Santa Catarina","Paulo Lopes","Sertão do Campo/Parque Estadual da Serra do Tabuleiro.","-48.7558333","-27.8933333","-48.7558333","-27.8933333","295","295","Florística IFFSC 226 (Erva Terrícola) Habitat: Floresta Ombrófila Densa; Estágio mosaicos de inicial, médio a avançado; interior do fragmento Habito: erva terrícola; flor branca","FURB01132","FURB01132",NA,NA,NA,NA,NA
"2","2020-10-14 10:00:05-03","FURB","FURB","28192","PreservedSpecimen","Plantae","Bromeliaceae","Nidularium","jonesianum","Nidularium jonesianum","Leme","Moura, R","2011","10","06","Schmitt, J.L.; Caglioni, E.; Andrade, S. & Cristofolini, C.","2872","2010","06","28","Brasil","Santa Catarina","Orleans","Rio Minador.","-49.41","-28.17","-49.4100000","-28.1700000","445","445","Epífita IFFSC e142c (Acima de 4m) - sobre o forófito 7 Habitat: Floresta Ombrófila Densa; Estágio Avançado; interior do fragmento Habito: epífita de arbórea; Fruto seco; flor bráctea vermelha","FURB19676","FURB19676",NA,NA,NA,NA,NA
"3","2008-05-27 22:02:00-03","MO","MOBOT","2453294","PreservedSpecimen","Plantae","Bromeliaceae","Nidularium","jonesianum","Nidularium jonesianum","Leme",NA,NA,NA,NA,"Jones","Jones 326","1990",NA,NA,"Brazil","Rio Grande do Sul",NA,"Rio do Ouro-Barra do Ouro",NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA
"4","2020-09-12 05:00:02-03","US","US","2104772","PreservedSpecimen","Plantae","Bromeliaceae","Nidularium","jonesianum","Nidularium jonesianum","Leme",NA,NA,NA,NA,"R. Reitz","s.n.","1952","3",NA,"Brazil","Santa Catarina",NA,"Ribeirao Grande, Taio.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America","Monocotyledonae","Bromeliales","1",NA
"5","2020-09-12 05:00:02-03","US","US","2572043","PreservedSpecimen","Plantae","Bromeliaceae","Nidularium","jonesianum","Nidularium jonesianum","Leme",NA,NA,NA,NA,"R. Reitz","6080","1958","12","29","Brazil","Santa Catarina",NA,"Serra do Matador, Rio do Sul.",NA,NA,NA,NA,"500",NA,NA,NA,NA,"South America","Monocotyledonae","Bromeliales","1",NA
"6","2019-10-04 16:06:59-03","MCN-FZBRS","HAS","66326","PreservedSpecimen","Plantae","Bromeliaceae","Nidularium","jonesianum","Nidularium jonesianum","Leme",NA,NA,NA,NA,"Strehl, T.","1496","1994","02",NA,"Brasil","Rio Grande do Sul","Santo Antônio da Patrulha (Caraá - RS)","Santo Antônio da Patrulha, Morro Fraga",NA,NA,NA,NA,NA,NA,NA,"HAS0066326",NA,NA,NA,NA,NA,"Magnoliophyta"
