"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","recordNumber","phylum","order","continentOcean","preparationType","occurrenceRemarks","coordinatePrecision","geoFlag","class","relatedCatalogItem","infraspecificEpithet","fieldNumber","individualCount","typeStatus"
"1","2021-04-05 14:26:10-03","UNESC","CRI","8025","PreservedSpecimen","Plantae","Styracaceae","Styrax","acuminatus","Styrax acuminatus","Pohl","Vanilde C. Zanette","2007","11","09","Beatriz Wessler; Bruna Alberton","2007","11","08","Brasil","Santa Catarina","Criciúma","SANTEC Resíduos.","-49.37","-28.678056","49º22'12''W","28º40'41''S","46","46","CRI007678","CRI007678",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:26:10-03","UNESC","CRI","3094","PreservedSpecimen","Plantae","Styracaceae","Styrax","acuminatus","Styrax acuminatus","Pohl","Vanilde Citadini- Zanette",NA,NA,NA,"Vanilde Citadini-Zanette; Clair Maria Martinello","1993","09","13","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI007830","CRI007830","1775",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:26:10-03","UNESC","CRI","3215","PreservedSpecimen","Plantae","Styracaceae","Styrax","acuminatus","Styrax acuminatus","Pohl","Vanilde Citadini- Zanette",NA,NA,NA,"Vanilde Citadini-Zanette; Aurélio José de Aguiar & Valdecir","1993","08","25","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI007829","CRI007829","1844",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:34:13-03","UNESC","CRI","5354","PreservedSpecimen","Plantae","Styracaceae","Styrax","acuminatus","Styrax acuminatus","Pohl","J. A. Jarenkow",NA,NA,NA,"J. A. Jarenkow","1992","10","30","Brasil","Rio Grande do Sul","Torres",NA,"-49.793056","-29.356667","49º47'35''W","29º21'24''S",NA,NA,"CRI007677","CRI007677","2172",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:34:13-03","UNESC","CRI","4087","PreservedSpecimen","Plantae","Styracaceae","Styrax","acuminatus","Styrax acuminatus","Pohl",NA,NA,NA,NA,NA,"1993","10","13","Brasil","Santa Catarina","Orleans",NA,"-49.291667","-28.359444","49º17'30''W","28º21'34''S",NA,NA,"CRI007828","CRI007828",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:26:10-03","UNESC","CRI","3096","PreservedSpecimen","Plantae","Styracaceae","Styrax","acuminatus","Styrax acuminatus","Pohl","Daniel de Barcellos Falkenberg",NA,NA,NA,"Vanilde Citadini-Zanette; Robson dos Santos & Marcos Sobral","1993","08","13","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI007680","CRI007680","1649",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1182304","PreservedSpecimen","Plantae","Styracaceae","Styrax","acuminatus","Styrax acuminatus","Pohl","P. W. Fritsch",NA,NA,NA,"G. G. Hatschbach","1965","09","17","Brazil","Paraná","Antonina","Rio Cotia","-48.7117","-25.4286",NA,NA,NA,NA,"NY01182304","NY01182304_01","12808","Magnoliophyta","Ericales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1399666' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","487028","PreservedSpecimen","Plantae","Styracaceae","Styrax","acuminatus","Styrax acuminatus","Pohl","P. W. Fritsch",NA,NA,NA,"J. E. Leite","1940","09",NA,"Brazil","Rio Grande do Sul","Sao Leopoldo","Arredores de Sao Leopoldo","-51.18","-29.75",NA,NA,NA,NA,"NY00487028","NY00487028_01","388","Magnoliophyta","Ericales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=262787' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1182578","PreservedSpecimen","Plantae","Styracaceae","Styrax","acuminatus","Styrax acuminatus","Pohl","P. W. Fritsch",NA,NA,NA,"S. Jónsson","1914","07","28","Brazil","Paraná",NA,"Serra do Mar, Volta Grande.",NA,NA,NA,NA,"400","400","NY01182578","NY01182578_01","731a","Magnoliophyta","Ericales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1407028' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","777205","PreservedSpecimen","Plantae","Styracaceae","Styrax","acuminatus","Styrax acuminatus","Pohl",NA,NA,NA,NA,"J. C. Lindeman","1966","11","09","Brazil","Paraná",NA,"Along road to Campo Novo to Pinhal Ralo",NA,NA,NA,NA,NA,NA,"NY00777205","NY00777205_01","2957","Magnoliophyta","Ericales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=400917' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
