"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","preparationType","occurrenceRemarks","barcode","imagecode","geoFlag","typeStatus","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","class","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","03044766","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","beyrichii","Ocotea beyrichii","(Nees) Mez","C. M. Vieira","404","1993","09","11","South America","Brazil","Rio de Janeiro","Nova Friburgo","Macaé de Cima, Faz. Ouro Verde, margem do Rio das Flores.","-42.5311012268066","-22.2819004058838","33190","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3281598' target='other'> <mi>dwc_moreinfo</mi></a>","NY03044766","NY03044766_01","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","355684","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Oreodaphne","beyrichii","Oreodaphne beyrichii","Nees","H. C. Beyrich","s.n.",NA,NA,NA,"South America","Brazil",NA,NA,"Brasilia",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=85705' target='other'> <mi>dwc_moreinfo</mi></a>","NY00355684","NY00355684_01",NA,"isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 11:12:03-03","ESALQ","ESA","123320","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lauraceae","Ocotea","beyrichii","Ocotea beyrichii",NA,"Vieira, C.M.","404.0","1993","09","11",NA,"Brasil","Rio de Janeiro","Nova Friburgo","Macaé de Cima, Fazenda Ouro Verde,margem do Rio das Flores.","-42.5311012268066","-22.2819004058838","33190",NA,NA,"ESA123320",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-02-02 14:38:23-02","BGBM","B","B 10 0185278","S","Plantae",NA,NA,"Lauraceae","Ocotea","beyrichii","Ocotea beyrichii","Mez","Beyrich",NA,NA,NA,NA,"Middle and South America","Brazil",NA,NA,"Rio Janeiro, in der Serra de Estrella bei Mandiocca (Mandioca?).",NA,NA,NA,NA,"type determ.: syntype?, holotype?; Beyrich ded. 1824; ex Herb. Kunth <a href=http://herbarium.bgbm.org/object/B100185278 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100185278","B100185278 B100185278_1",NA,"type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-02-02 14:38:23-02","BGBM","B","B 10 0185279","S","Plantae",NA,NA,"Lauraceae","Ocotea","beyrichii","Ocotea beyrichii","Mez","L. Riedel",NA,NA,NA,NA,"Middle and South America","Brazil",NA,NA,NA,NA,NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100185279 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100185279","B100185279 B100185279_1",NA,"isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-02-02 14:38:23-02","BGBM","B","B 10 0185280","S","Plantae",NA,NA,"Lauraceae","Ocotea","beyrichii","Ocotea beyrichii","Mez","?",NA,NA,NA,NA,"Middle and South America","Brazil",NA,NA,NA,NA,NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100185280 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100185280","B100185280",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-01 16:32:32-03","UNICAMP","UEC","21994","S","Plantae","Magnoliopsida",NA,"Lauraceae","Ocotea","beyrichii","Ocotea beyrichii","(Nees) Mez","Leitão Filho, HF; Yamamoto, K; Silva, AF","10231","1979","08","06",NA,"Brazil","São Paulo","Ubatuba","Estação experimental de Ubatuba.","-45.0699996948242","-23.4300003051758","34265",NA,"Árvore com 10m, flores creme esverdeadas.","UEC132262","UEC132262","auto",NA,"Baitello, JB","1999","02","06",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-12-21 16:31:02-03","MBM","MBM","251589","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","beyrichii","Ocotea beyrichii","(Nees) Mez","Hatschbach, G.; Hatschbach, M.; Silva, J.M.; Hatschbach, M.; Silva, J.M.","71520","2000","10","22","Southern America","Brazil","Espírito Santo","Brejatuba","Rancho Dantas",NA,NA,NA,NA,NA,"MBM251589","MBM251589",NA,NA,"Werff, H. van der",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-12-21 16:31:02-03","MBM","MBM","429957","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","beyrichii","Ocotea beyrichii","(Nees) Mez","Brotto, M.L.; Völtz, R.R.; Völtz, R.R.","3932","2020","07","27","Southern America","Brazil","Rio de Janeiro","Nova Friburgo","Macaé de Cima, vale do rio Macaé","-42.496056","-22.392944",NA,NA,"Árvore com 19 m de altura; início do desenvolvimento das inflorescências.; Floresta Ombrófila Densa Montana.","MBM429957",NA,NA,NA,"Brotto, M.L.","2020","08","21","-42.496056","-22.392944","969","969",NA,NA,NA,NA
"10","2015-09-30 07:44:21-03","MNHN","RECOLNAT_MNHN_P","P00756960","PreservedSpecimen",NA,NA,NA,"Lauraceae","Ocotea","beyrichii","Ocotea beyrichii","(Nees) Mez","Riedel, L.",NA,"1870",NA,NA,NA,"Brésil",NA,NA,"Brasilia",NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00756960' target='other'> <mi>dwc_moreinfo</mi></a>","P00756960","P00756960_01",NA,NA,"Allen",NA,NA,NA,NA,NA,NA,NA,"487",NA,NA,NA
