"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","county","phylum","order","scientificNameAuthorship","identifiedBy","imagecode","infraspecificEpithet","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","typeStatus","eventTime","fieldNumber","individualCount"
"1","2020-09-23 10:43:26-03","E","E","6402","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","torta","Pouteria torta","Sanaiotti, Tanya M.","309","1993","10","26","E. Tropical South America","BR","Amazonas","Transamaznôica, 150 km SE of Humaitá, km da estrada para os campos.","-61.633333","-8.5","-61.633333","-8.500000","herbarium specimen of unspecif","BGBASE:18314","<a href=http://data.rbge.org.uk/herb/E00006402 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00006402",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:43:26-03","E","E","226242","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","torta","Pouteria torta","Flores; Tello","1951","1990","08","31","W. Tropical South America","PE",NA,NA,NA,NA,NA,NA,"herbarium specimen of unspecif","BGBASE:236058","<a href=http://data.rbge.org.uk/herb/E00226242 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00226242",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:43:26-03","E","E","27740","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","torta","Pouteria torta","Suzana M Salis","546","1991","09","17","E. Tropical South America","BR","Mato Grosso","Proximo a cachoeira do correo do Facão; Na gleba do Facão; Caceres","-56.8","-16.133333","-56.800000","-16.133333","herbarium specimen of unspecif","BGBASE:32810","<a href=http://data.rbge.org.uk/herb/E00027740 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00027740",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:43:26-03","E","E","277675","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","torta","Pouteria torta","Glaziou, A.F.M.","15197","1905","03","21","E. Tropical South America","BR","Minas Gerais",NA,NA,NA,NA,NA,"herbarium specimen of unspecif","BGBASE:327208","<a href=http://data.rbge.org.uk/herb/E00277675 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00277675",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:43:26-03","E","E","103832","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","torta","Pouteria torta","Ratter, J.A., Bridgewater, S. & dos Santos, J. Batista",NA,"1998","07","23","E. Tropical South America","BR","Bahia","Município de Coribe, 5 km from Coribe on the road to Cocos","-44.45","-13.866667","-44.450000","-13.866667","herbarium specimen of unspecif","BGBASE:112770","<a href=http://data.rbge.org.uk/herb/E00103832 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00103832",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:43:26-03","E","E","277676","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","torta","Pouteria torta","Rogéiro P. Martins & F.A. Machado","10425","1979","05","25","E. Tropical South America","BR","Mato Grosso Do Sul","Est. S.P., mun. Imediações do Mun. de S. Carlos, km 27 Rod. Washington Luiz.",NA,NA,NA,NA,"herbarium specimen of unspecif","BGBASE:327207","<a href=http://data.rbge.org.uk/herb/E00277676 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00277676",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:43:26-03","E","E","50380","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","torta","Pouteria torta","Dubs, B.","1720","1994","08","29","E. Tropical South America","BR","Mato Grosso","Vale do Currupira, Serra das Araras, Alto Paraguai",NA,NA,NA,NA,"herbarium specimen of unspecif","BGBASE:57334","<a href=http://data.rbge.org.uk/herb/E00050380 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00050380",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-23 10:43:26-03","E","E","277681","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","torta","Pouteria torta","Ratter, J.A.; Da Fonsêca, S.G. & de Castro, R.A.",NA,"1972","10","02","E. Tropical South America","BR","Distrito Federál","Parque Nacional, Brasília",NA,NA,NA,NA,"herbarium specimen of unspecif","BGBASE:327202","<a href=http://data.rbge.org.uk/herb/E00277681 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00277681",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-09-23 10:43:26-03","E","E","277721","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","torta","Pouteria torta","Flores & Tello","1951","1990","08","16","W. Tropical South America","PE","Departamento Huánuco","Unidad Modelo de Manejo y Producción Forestal DANTAS. Dtto. Yuyapichis","-75.033333","-9.666667","-75.033333","-9.666667","herbarium specimen of unspecif","BGBASE:327260","<a href=http://data.rbge.org.uk/herb/E00277721 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00277721","Puerto Inca Province",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-09-23 10:43:26-03","E","E","100000","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","torta","Pouteria torta","Ratter, J.A.; Bridgewater, S. & Filho, J. Fonsêca",NA,"1999","08","21","E. Tropical South America","BR","Mato Grasso","19 km from Comodoro on the road to Vilhena","-59.833333","-13.5","-59.833333","-13.500000","herbarium specimen of unspecif","BGBASE:109545","<a href=http://data.rbge.org.uk/herb/E00100000 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00100000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
