"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","occurrenceRemarks","phylum","order","monthIdentified","dayIdentified","locality","individualCount","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relatedCatalogItem","typeStatus","fieldNumber","infraspecificEpithet"
"1","2021-04-05 14:33:50-03","UNESC","CRI","2284","PreservedSpecimen","Plantae","Oxalidaceae","Oxalis","cytisoides","Oxalis cytisoides","Mart. ex Zucc.","A. Lourteig","1980","P. R. Reitiz; Klein","14363","1962","12","21","Brasil","Santa Catarina","Capinzal","-51.612222","-27.344167","51º36'44''W","27º20'39''S","472","472","CRI006009","CRI006009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:50-03","UNESC","CRI","2211","PreservedSpecimen","Plantae","Oxalidaceae","Oxalis","cytisoides","Oxalis cytisoides","Mart. ex Zucc.","A. Lourteig","1980","P. R. Reitiz","3751","1956","09","21","Brasil","Santa Catarina","Ibirama","-49.518056","-27.0575","49º31'5''W","27º3'27''S","158","158","CRI006010","CRI006010","Habitat: roça Habito: erva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:50-03","UNESC","CRI","2226","PreservedSpecimen","Plantae","Oxalidaceae","Oxalis","cytisoides","Oxalis cytisoides","Mart. ex Zucc.","A. Lourteig","1980","A.Brosolin",NA,"1973","09","21","Brasil","Santa Catarina","Imaruí","-48.816389","-28.343611","48º48'59''W","28º20'37''S","35","35","CRI006007","CRI006007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:35-03","FZB-BH","CVJBFZB","3033","S","Plantae","Oxalidaceae","Oxalis","cytisoides","Oxalis cytisoides","Mart. ex Zucc.","Carlos A. Ferreira Jr.","2011","Carlos Alberto F. Jr.; Fernando Araújo e Willian Millikem","caf172","2011","03","18","Brasil","Minas Gerais","Inhamé - santana do Pirapama",NA,NA,"43°46.582'","19°00.248'","659","659",NA,NA,"254","Magnoliophyta","Oxalidaceae","03","18","Sede da fazenda - Caminho para o rio cipó","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","470392","PreservedSpecimen","Plantae","Oxalidaceae","Oxalis","cytisoides","Oxalis cytisoides","C.Mart. & Zucc.","A. Lourteig",NA,"G. G. Hatschbach","14336","1966","05","01","Brazil","Paraná","Sao Carlos do Ivai","-52.4756","-23.3156",NA,NA,NA,NA,"NY00470392","NY00470392_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=93078' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Oxalidales",NA,NA,"Southwest pf Capinzal on the east bank of the Rio do Peixe",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01481906","PreservedSpecimen","Plantae","Oxalidaceae","Oxalis","cytisoides","Oxalis cytisoides","C.Mart. & Zucc.","O. Kosovsky",NA,"W. R. Anderson","7368","1973","03","18","Brazil","Goiás","Teresina de Goiás","-47.2647","-13.81255",NA,NA,"1000","1000","NY01481906","NY01481906_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1421504' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Oxalidales",NA,NA,"Chapada dos Veadeiros, 4 km by road S of Terezina.",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","470583","PreservedSpecimen","Plantae","Oxalidaceae","Oxalis","cytisoides","Oxalis cytisoides","C.Mart. & Zucc.","A. Lourteig",NA,"G. G. Hatschbach","52088","1987","11","26","Brazil","Paraná","Tomazina","-49.9494","-23.7783",NA,NA,NA,NA,"NY00470583","NY00470583_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=93086' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Oxalidales",NA,NA,"Rio das Cinzas, Salto Cavalcanti",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","470398","PreservedSpecimen","Plantae","Oxalidaceae","Oxalis","cytisoides","Oxalis cytisoides","C.Mart. & Zucc.","A. Lourteig",NA,"H. S. Irwin","27303","1970","03","10","Brazil","Minas Gerais",NA,NA,NA,NA,NA,"610","610","NY00470398","NY00470398_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=93079' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Oxalidales",NA,NA,"Ca. 3 km E of Cantoni",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00997505","PreservedSpecimen","Plantae","Oxalidaceae","Oxalis","cytisoides","Oxalis cytisoides","C.Mart. & Zucc.","A. Lourteig",NA,"J. E. B. Warming","s.n.",NA,NA,NA,"Brazil","Minas Gerais","Lagoa Santa","-43.8894","-19.6272",NA,NA,NA,NA,"NY00997505","NY00997505_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1179975' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Oxalidales",NA,NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01081598","PreservedSpecimen","Plantae","Oxalidaceae","Oxalis","cytisoides","Oxalis cytisoides","C.Mart. & Zucc.","A. Lourteig",NA,"M. Kuhlmann","3118","1954","11","25","Brazil","São Paulo","Juquiá","-47.63","-24.32",NA,NA,NA,NA,"NY01081598","NY01081598_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1238434' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Oxalidales",NA,NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
