"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","continentOcean","country","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","year","month","day","identifiedBy","yearIdentified","monthIdentified","dayIdentified","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","infraspecificEpithet","scientificNameAuthorship","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","class","sex"
"1","2016-10-21 18:28:00-02","NY","NYBG","247100","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Guzmania","sanguinea","Guzmania sanguinea","possible type","É. André","3369","South America","Colombia","In Cont. Merid.: des Andes de Colombie pres d'Altaquer.","1060","1060","sheet","Herbarium Edouard François André <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=20455' target='other'> <mi>dwc_moreinfo</mi></a>","NY00247100","NY00247100_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-10-21 18:28:00-02","NY","NYBG","247101","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Guzmania","sanguinea","Guzmania sanguinea","possible type","É. André","3369","South America","Colombia","In Cont. Merid.: des Andes de Colombie pres d'Altaquer.","1060","1060","sheet","Herbarium Edouard François André <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=20456' target='other'> <mi>dwc_moreinfo</mi></a>","NY00247101","NY00247101_01","1876","05","23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-12-20 21:16:26-03","UFV","VIC","26354","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Guzmania","sanguinea","Guzmania sanguinea",NA,"Silva, R. .R. da","s.n.",NA,"Brasil","UFV, Vila Gianetti, Projeto Gravatá",NA,NA,NA,"Epífita; folhas do centro da roseta avermelhada com listras longitudinais vermelhas; inflorescência inclusa na roseta; brácteas escapais esverdeadas com listras vermelhas; brácteas florais esbranquiçadas; sépalas com ápice subro; pétal","VIC026354","VIC026354",NA,NA,NA,"Paula, C. .C. de","2001","12","05","Minas Gerais","Viçosa","-42.8819007873535","-20.7539005279541","13937","auto",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-21 19:40:01-03","UFC","EAC","15752","PreservedSpecimen","Plantae","Monocotyledon",NA,"Bromeliaceae","Guzmania","sanguinea","Guzmania sanguinea sanguinea",NA,"Brito, H.M.","s.n.","Southern America","Brasil",NA,"850","900",NA,"Epífita, flor amarela, fruto esverdeado ornamental, parte central (cisterna) com folhas de coloração vermelha escarlate, da base até a metade do limbo.; Mata higrófila de altitude","EAC0015752","EAC0015752","2000","03","20","Lima-Verde, L.W.","2000","06","18","Ceará","Guaramiranga","-38.9331016540527","-4.26332998275757","13198","auto","sanguinea","(André) André ex Mez",NA,NA,NA,NA,NA,NA
"5","2021-03-21 19:40:01-03","UFC","EAC","33781","PreservedSpecimen","Plantae","Monocotyledon",NA,"Bromeliaceae","Guzmania","sanguinea","Guzmania sanguinea sanguinea",NA,"Monteiro, F.J.S.","11","Southern America","Brasil","Pico do Letreiro, Serra da Aratanha.",NA,NA,NA,"Epífita, indivíduo com inflorescência. O galho que suporta este indivíduo quebrou, estando o mesmo sobre uma pedra.","EAC0033781","EAC0033781_1 EAC0033781_2","2004","02","18","Tomaz, E.C.","2018","02","23","Ceará","Pacatuba","-38.6203002929688","-3.98416996002197","16295","auto","sanguinea","(André) André ex Mez",NA,NA,NA,NA,NA,NA
"6","2021-03-21 19:40:01-03","UFC","EAC","46912","PreservedSpecimen","Plantae","Monocotyledon",NA,"Bromeliaceae","Guzmania","sanguinea","Guzmania sanguinea",NA,"Monteiro, F.J.S.","F163","Southern America","Brasil","Serra do Cachorro Morto","772","772",NA,NA,"EAC0046912","EAC0046912","2008","05","04",NA,NA,NA,NA,"Ceará","Uruburetama","-39.499139","-3.657139",NA,NA,NA,"(André) André ex Mez","-39.499139","-3.657139",NA,NA,NA,NA
"7","2021-03-21 19:40:01-03","UFC","EAC","39854","PreservedSpecimen","Plantae","Monocotyledon",NA,"Bromeliaceae","Guzmania","sanguinea","Guzmania sanguinea sanguinea",NA,"Martinelli, G.; Barbará, T.; Azoury, R.","15067","Southern America","Brasil","Serra de Baturité - Mata do Tasso","1000","1000",NA,"Epífita, ciófila; folhas verdes, levemente indumentada na fase dorsal, bainha castanho avermelhada, folhas jovens com listras longitudinais vermelhas póximo à bainha; infl. embutida na roseta com brácteas alvacentas, sépalas persisten","EAC0039854","EAC0039854","1998","08","15","Martinelli, G.","2003",NA,NA,"Ceará","Pacoti","-38.936389","-4.240833",NA,NA,"sanguinea","(André) André ex Mez","-38.936389","-4.240833",NA,NA,NA,NA
"8","2021-03-21 19:40:01-03","UFC","EAC","20910","PreservedSpecimen","Plantae","Monocotyledon",NA,"Bromeliaceae","Guzmania","sanguinea","Guzmania sanguinea sanguinea",NA,"Oliveira, M.R.L.","s.n.","Southern America","Brasil","Sítio Cana Brava",NA,NA,NA,"Erva epífita, flor amarela.","EAC0020910","EAC0020910","1994","05","21","Lima-Verde, L.W.","2000","06","18","Ceará","Guaramiranga","-38.9331016540527","-4.26332998275757","13198","auto","sanguinea","(André) André ex Mez",NA,NA,NA,NA,NA,NA
"9","2014-02-09 12:19:00-02","MO","MOBOT","3432798","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Guzmania","sanguinea","Guzmania sanguinea",NA,"José M. Manzanares","Manzanares Vilaplana 7825","South America","Ecuador","Carretera Girón-Pasaje, al lado del Río Jubones.","400.00000000",NA,NA,NA,NA,NA,"2005","11","22","J. Manzanares (QCNE)",NA,NA,NA,"El Oro","Pasaje","-79.6247223","-3.3091667",NA,NA,NA,"(André) André ex Mez",NA,NA,"36","2",NA,NA
"10","2008-05-27 22:02:00-03","MO","MOBOT","1064493","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Guzmania","sanguinea","Guzmania sanguinea",NA,"José M. Manzanares|Broeke, Karine","Manzanares Vilaplana 5387","South America","Ecuador","Puerto Cayo.","0E8",NA,NA,NA,NA,NA,"1991","7","26",NA,NA,NA,NA,"Manabí","Jipijapa","-80.66666","-1.33333",NA,NA,NA,"(André) André ex Mez",NA,NA,NA,NA,NA,NA
