"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","month","day","stateProvince","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","dayIdentified","fieldNumber","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","00102891","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Paepalanthus","laricifolius","Paepalanthus laricifolius","Gardner","isotype","G. Gardner","5262","1836","South America","Brazil","Brasilia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=279009' target='other'> <mi>dwc_moreinfo</mi></a>","NY00102891","NY00102891_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00538293","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Syngonanthus","laricifolius","Syngonanthus laricifolius","(Gardner) Ruhland",NA,"R. M. Harley","27853","1988","South America","Brazil","Vale frente à Serra do Guarda Mor.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=666602' target='other'> <mi>dwc_moreinfo</mi></a>","NY00538293","NY00538293_01","A. M. Giulietti","12","27","Bahia","Abaíra","-41.87","-13.28","1050","1220",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00572009","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Syngonanthus","laricifolius","Syngonanthus laricifolius","(Gardner) Ruhland",NA,"W. Ganev","1144","1992","South America","Brazil","Caminho Bicota-Serrinha","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=666601' target='other'> <mi>dwc_moreinfo</mi></a>","NY00572009","NY00572009_01","A. M. Giulietti; L. R. Parra","09","22","Bahia","Abaíra","-41.85","-13.32","1500","1500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01132093","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Syngonanthus","laricifolius","Syngonanthus laricifolius","(Gardner) Ruhland",NA,"A. M. Giulietti","CFCR4706","1984","South America","Brazil","Couto Magalhaes. Chapada do Couto","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1289708' target='other'> <mi>dwc_moreinfo</mi></a>","NY01132093","NY01132093_01","A. M. Giulietti","07","17","Minas Gerais","Couto de Magalhães de Minas","-43.4708","-18.0717",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00571936","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Syngonanthus","laricifolius","Syngonanthus laricifolius","(Gardner) Ruhland",NA,"T. Læssøe","H53310","1992","South America","Brazil","Campo de Ouro Fino (baixo)","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=666597' target='other'> <mi>dwc_moreinfo</mi></a>","NY00571936","NY00571936_01","A. M. Giulietti; P. T. Sano; L. R. Parra","03","23","Bahia","Abaíra","-41.9","-13.25","1600","1700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00538351","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Syngonanthus","laricifolius","Syngonanthus laricifolius","(Gardner) Ruhland",NA,"C. A. W. Schwacke","8496","1892","South America","Brazil","Ad Riacho das Varas, nórte de Minas Gerais","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=666604' target='other'> <mi>dwc_moreinfo</mi></a>","NY00538351","NY00538351_01",NA,"03","20","Minas Gerais","Diamantina","-43.6003","-18.2494",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00538294","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Syngonanthus","laricifolius","Syngonanthus laricifolius","(Gardner) Ruhland",NA,"R. M. Harley","26520","1988","South America","Brazil","Pico das Almas. Vertente leste. Campo ao sul do Queiroz","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=666600' target='other'> <mi>dwc_moreinfo</mi></a>","NY00538294","NY00538294_01","A. M. Giulietti; L. R. Parra","11","30","Bahia","Rio de Contas","-41.95","-13.53","1500","1500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00571940","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Syngonanthus","laricifolius","Syngonanthus laricifolius","(Gardner) Ruhland",NA,"W. Ganev","1288","1992","South America","Brazil","Serra das Brenhas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=666598' target='other'> <mi>dwc_moreinfo</mi></a>","NY00571940","NY00571940_01","A. M. Giulietti; P. T. Sano; L. R. Parra","10","19","Bahia","Abaíra","-41.88","-13.32","1890","1890",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00898430","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Syngonanthus","laricifolius","Syngonanthus laricifolius","(Gardner) Ruhland",NA,"A. M. V. de Carvalho","6565","1998","South America","Brazil","Campo rupestre, atrás da cidade. Trilha do Barão.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=970503' target='other'> <mi>dwc_moreinfo</mi></a>","NY00898430","NY00898430_01","L. Echternacht","08","02","Minas Gerais","Grão Mogol","-42.895","-16.55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00538291","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Syngonanthus","laricifolius","Syngonanthus laricifolius","(Gardner) Ruhland",NA,"R. M. Harley","26357","1988","South America","Brazil","Pico das Almas. Vertente leste. Campo do Queiroz","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=666599' target='other'> <mi>dwc_moreinfo</mi></a>","NY00538291","NY00538291_01","A. M. Giulietti; L. R. Parra","11","11","Bahia","Rio de Contas","-41.95","-13.53","1500","1500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
