"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","recordNumber","continentOcean","preparationType","typeStatus","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","previousCatalogNumber"
"1","2021-04-05 14:33:44-03","UNESC","CRI","1563","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","excelsa","Eugenia excelsa","O.Berg","Marcos Sobral","R. R. B. Negrelle; C. Londero","1992","11","09","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha.","-48.616389","-26.1175","48º36'59''W","26º7'3''S","9","9","Habito: arbórea","CRI005034","CRI005034",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02609701","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","excelsa","Eugenia excelsa","O.Berg",NA,"B. S. Amorim","2011","02","16","Brazil","Pernambuco","Igarassu","Usina São José, Mata de Piedade Floresta Atlântica.","-34.9992","-7.8383",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2895510' target='other'> <mi>dwc_moreinfo</mi></a>","NY02609701","NY02609701_01","Magnoliophyta","Myrtales","764","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01450706","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","excelsa","Eugenia excelsa","O.Berg",NA,"R. C. Monteiro da Costa","1931",NA,NA,"Brazil","Pará",NA,"Boa Vista on the Tapajós River.",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1682248' target='other'> <mi>dwc_moreinfo</mi></a>","NY01450706","NY01450706_01","Magnoliophyta","Myrtales","52","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00750155","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","excelsa","Eugenia excelsa","O.Berg","M. Sobral","P. Fiaschi","2003","04","23","Brazil","Bahia","Floresta Azul","Entrada a ca. 12 km a esq. Na estrada de Floresta Azul para Itapetinga, Haras Binau, Ca. 9 km da entrada, acesso para a torre da COELBA.","-39.7","-14.93",NA,NA,"700","700","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=914663' target='other'> <mi>dwc_moreinfo</mi></a>","NY00750155","NY00750155_01","Magnoliophyta","Myrtales","1477","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","579909","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","excelsa","Eugenia excelsa","O.Berg","M. L. Kawasaki","S. A. Mori","1983","09","09","Brazil","Amapá",NA,"Camaipi. EMBRAPA reserve and vicinity.","-51.62","0.17",NA,NA,NA,NA,"Tree 2364 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=149464' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579909",NA,"Magnoliophyta","Myrtales","16040","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1839823","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","excelsa","Eugenia excelsa","O.Berg","A. R. L. Lourenço","J. L. da Costa Lima","2011","02","12","Brazil","Rio Grande do Norte",NA,"Goianinha, Fazenda Nossa Senhora do Carmo","-35.2194","-6.3197",NA,NA,"120",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2071135' target='other'> <mi>dwc_moreinfo</mi></a>","NY01839823","NY01839823_01","Magnoliophyta","Myrtales","385","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01874166","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","excelsa","Eugenia excelsa","O.Berg","B. S. Amorim","B. S. Amorim","2010","03","10","Brazil","Pernambuco",NA,"Jaqueira, RPPN Frei Caneca, Trilha principal, borda da mata, caminho para Pedra do Cruzeiro.",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2267890' target='other'> <mi>dwc_moreinfo</mi></a>","NY01874166","NY01874166_01","Magnoliophyta","Myrtales","817","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","579911","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","excelsa","Eugenia excelsa","O.Berg","M. L. Kawasaki","O. Handro","1932","09","17","Brazil","São Paulo","Sao Paulo","Sao Paulo, nativa no Jardim Botânico.","-46.618358","-23.646109",NA,NA,NA,NA,"(Planta viva, no. 291) <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=149466' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579911","NY00579911_01","Magnoliophyta","Myrtales","s.n.","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","579913","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","excelsa","Eugenia excelsa","O.Berg","R. McVaugh","R. Reitz","1957","11","07","Brazil","Santa Catarina",NA,"Três Barras, Garuva, S. Francisco do Sul.",NA,NA,NA,NA,"250","250","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=149467' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579913","NY00579913_01","Magnoliophyta","Myrtales","5633","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1758963","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","excelsa","Eugenia excelsa","O.Berg",NA,"P. da C. Gadelha Neto","2012","04","19","Brazil","Paraíba",NA,"Mataraca. Millennium Inorganic Chemicals Mineração Ltda.","-34.9769","-6.5022",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2038944' target='other'> <mi>dwc_moreinfo</mi></a>","NY01758963","NY01758963_01","Magnoliophyta","Myrtales","3279","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
