"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","year","month","day","stateProvince","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","yearIdentified","monthIdentified","dayIdentified","individualCount","coordinatePrecision","geoFlag","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","669102","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Schwenckia","lateriflora","Schwenckia lateriflora","(Vahl) Carvalho","L. de F. de Carvalho","L. Riedel","1344","South America","Brazil","Brasilia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=421641' target='other'> <mi>dwc_moreinfo</mi></a>","NY00669102","NY00669102_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","656500","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Schwenckia","lateriflora","Schwenckia lateriflora","(Vahl) Carvalho","L. de F. de Carvalho","L. Riedel","s.n.","South America","Brazil",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=421642' target='other'> <mi>dwc_moreinfo</mi></a>","NY00656500","NY00656500_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","669101","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Schwenckia","lateriflora","Schwenckia lateriflora","(Vahl) Carvalho","L. de F. de Carvalho","L. Riedel","1344","South America","Brazil","Brasilia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=421640' target='other'> <mi>dwc_moreinfo</mi></a>","NY00669101","NY00669101_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1145205","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Schwenckia","lateriflora","Schwenckia lateriflora","(Vahl) Carvalho","M. H. Nee","G. G. Hatschbach","56706","South America","Brazil","Salto do Fragra","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1306857' target='other'> <mi>dwc_moreinfo</mi></a>","NY01145205","NY01145205_01","1992","04","06","Bahia","Rio de Contas","-41.8114","-13.5792","1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","656499","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Schwenckia","lateriflora","Schwenckia lateriflora","(Vahl) Carvalho","A. Bidá","R. M. Harley","24346","South America","Brazil","Margem do rio de Contas, próximo da Cidade. Cachoeira da Fraga.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=421638' target='other'> <mi>dwc_moreinfo</mi></a>","NY00656499","NY00656499_01","1987","02","17","Bahia","Jussiape","-41.829003","-13.59829",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","669103","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Schwenckia","lateriflora","Schwenckia lateriflora","(Vahl) Carvalho","M. H. Nee","L. Riedel","1344","South America","Brazil","Brasilia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=421639' target='other'> <mi>dwc_moreinfo</mi></a>","NY00669103","NY00669103_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","669104","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Schwenckia","lateriflora","Schwenckia lateriflora","(Vahl) Carvalho","M. H. Nee","M. J. Jansen-Jacobs","5070","South America","Guyana","Rupununi. Jerome's Place. Old farm.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=421637' target='other'> <mi>dwc_moreinfo</mi></a>","NY00669104","NY00669104_01","1995","09","09",NA,NA,"-59.78","2.7","140","140",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2015-02-10 11:45:53-02","BM","SOLANACEAE_SOURCE_BR","40376","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Schwenckia","lateriflora","Schwenckia lateriflora","(Vahl) Carvalho",NA,"Glocker, E.F. von","s.n.","Southern America","Brazil",NA,NA,NA,"BM000994902",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2015-02-10 11:45:53-02","BM","SOLANACEAE_SOURCE_BR","40378","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Schwenckia","lateriflora","Schwenckia lateriflora","(Vahl) Carvalho",NA,"Herb. Miers","s.n.","Southern America","Brazil",NA,NA,"Calyx tubular 10 striped green rather hispid, divided into 5 long linear teeth segments 1/3 length of calyx persistent.&nf;Corolla hypocrateriform yellowish-purplish-green, tube 5 angular 5 [?] very long slender smooth, 6 times length","BM000994904",NA,NA,NA,NA,"Rio de Janeiro",NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2015-02-10 11:45:53-02","BM","SOLANACEAE_SOURCE_BR","40375","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Schwenckia","lateriflora","Schwenckia lateriflora","(Vahl) Carvalho",NA,"Blanchet, J.S.","3283","Southern America","Brazil",NA,NA,NA,"BM000994901",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
