"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","dayIdentified","recordNumber","locality","barcode","imagecode","continentOcean","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class"
"1","2019-06-10 10:10:41-03","FZB-BH","CVJBFZB","114","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Billbergia","lietzei","Billbergia lietzei","E.Morren","Elton. C. M. Leme","2011","08","Elton M. C. Leme; Roberto Menescal; R. Bello","1987","05","16","Brasil","Espírito Santo","Aracruz","-40.2733001708984","-19.8202991485596","37987","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-04-27 16:09:03-03","UFES","VIES","26377","S","Plantae",NA,NA,"Bromeliaceae","Billbergia","lietzei","Billbergia lietzei","E.Morren","Coser, T.S.","2011","06","Coser, T.S.; Sarnaglia Júnior, V.B. & Wangler, M.S.","2011","06","08","Brasil","Espírito Santo","Itarana","-40.875301361084","-19.8738994598389","23320",NA,NA,"auto","08","482","Alto Limoeiro para Alto Jatibocas.","VIES026377","VIES026377",NA,NA,NA,NA,NA,NA
"3","2020-04-27 16:09:03-03","UFES","VIES","30216","S","Plantae",NA,NA,"Bromeliaceae","Billbergia","lietzei","Billbergia lietzei","E.Morren","Couto, D.R.; Favoreto, F.C.","2012","06","Zorzanelli, J.P.F.","2012","06","08","Brasil","Espírito Santo","Iúna","-41.5358009338379","-20.3458003997803","32198",NA,NA,"auto","13","380","Ponte Alta.","VIES030216","VIES030216",NA,NA,NA,NA,NA,NA
"4","2020-04-27 16:09:03-03","UFES","VIES","21312","S","Plantae",NA,NA,"Bromeliaceae","Billbergia","lietzei","Billbergia lietzei","E.Morren","Faria, A.P.G.","2012","03","Couto, D.R.; Trugilho, G.A. & Pinto-Júnior, H.","2010","03","24","Brasil","Espírito Santo","Mimoso do Sul","-41.3664016723633","-21.0641994476318","29430",NA,NA,"auto","01","1450","Pedra dos Pontões.","VIES021312","VIES021312",NA,NA,NA,NA,NA,NA
"5","2019-09-27 18:04:03-03","UFES","VIES","21420","S","Plantae",NA,NA,"Bromeliaceae","Billbergia","lietzei","Billbergia lietzei","E.Morren","Favoreto, F.C.","2012","12","Couto, D.R.; Leme, E.M.C. & Kollmann, L.J.C.","2009","06","06","Brasil","Espírito Santo","Muqui","-41.3457984924316","-20.9517002105713","15667",NA,NA,"auto","17","1219","Sumidouro.","VIES021420","VIES021420",NA,NA,NA,NA,NA,NA
"6","2008-05-27 22:02:00-03","MO","MOBOT","2905071","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Billbergia","lietzei","Billbergia lietzei","E. Morren",NA,NA,NA,"* LIETZE","1878",NA,NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,"LIETZE 6","Rio.",NA,NA,"South America",NA,NA,NA,NA,NA
"7","2020-07-10 09:44:23-03","MBML","MBML-HERBARIO","39950",NA,"Plantae",NA,NA,"Bromeliaceae","Billbergia","aff. lietzei","Billbergia aff. lietzei","E.Morren","T.S. Coser/21-06-2011",NA,NA,"A. P. Fontana; L.N. Lima","2006","04","19","Brasil","Espírito Santo","Santa Leopoldina","-40.614167","-20.059722",NA,NA,"Humícola na sombra. Brácteas rosas. Flores com cálice rosa e corola amarela com ápice verde.",NA,NA,"2087","Rio Bonito, propriedade do Sr. Valdomiro Plaster. Floresta Ombrófila Aberta, mata de encosta.","MBML039950","MBML039950",NA,"40W36'51","20S3'35",NA,NA,NA
"8","2020-07-10 09:44:23-03","MBML","MBML-HERBARIO","42195",NA,"Plantae",NA,NA,"Bromeliaceae","Billbergia","aff. lietzei","Billbergia aff. lietzei","E.Morren","T.S. Coser/07-06-2011",NA,NA,"T.S. Coser; V.B. Sarnaglia-Junior & M.S. Wangler","2011","06","07","Brasil","Espírito Santo","Colatina","-40.816111","-19.596667",NA,NA,"Planta terrestre em Mata Nebular. População restrita com ca 10 ind. Folhas fortemente canaliculadas, lâminas com pintas brancas e margens, por vezes, levemente vináceas. Inflorescência verde, pois estava em frutificação. As pintas nas",NA,NA,"469","Estrada de terra para Itaguaçu. Torre TV Pontal. Afloramento rochoso nas adjacências","MBML042195","MBML042195",NA,"40W48'58","19S35'48",NA,NA,NA
"9","2020-07-10 09:44:23-03","MBML","MBML-HERBARIO","42639",NA,"Plantae",NA,NA,"Bromeliaceae","Billbergia","aff. lietzei","Billbergia aff. lietzei","E.Morren","T.S. Coser/07-06-2011",NA,NA,"T.S. Coser; V.B. Sarnaglia-Junior & M.S. Wangler","2011","06","07","Brasil","Espírito Santo","Colatina","-40.816111","-19.596667",NA,NA,"Planta terrestre em Mata Nebular. População restrita com ca 10 ind., folhas fortemente canaliculadas, lâminas com pintas brancas e margens, por vezes, levemente vináceas. Inflorescência verde, pois estava em frutificação. As pintas nas",NA,NA,"463","Estrada de terra para Itaguaçu. Torre TV Pontal. Afloramento rochoso nas adjacências","MBML042639","MBML042639",NA,"40W48'58","19S35'48",NA,NA,NA
"10","2020-07-10 09:44:23-03","MBML","MBML-HERBARIO","42643",NA,"Plantae",NA,NA,"Bromeliaceae","Billbergia","aff. lietzei","Billbergia aff. lietzei","E.Morren","T.S. Coser/07-06-2011",NA,NA,"T.S. Coser; V.B. Sarnaglia-Junior & M.S. Wangler","2011","06","07","Brasil","Espírito Santo","Colatina","-40.816111","-19.596667",NA,NA,"Planta terrestre em Mata Nebular. População restrita com ca 10 ind., folhas fortemente canaliculadas, lâminas com pintas brancas e margens, por vezes, levemente vináceas. Inflorescência verde, pois estava em frutificação. As pintas nas",NA,NA,"468","Estrada de terra para Itaguaçu. Torre TV Pontal. Afloramento rochoso nas adjacências","MBML042643","MBML042643",NA,"40W48'58","19S35'48",NA,NA,NA
