"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","class","relatedCatalogItem","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","individualCount","coordinatePrecision","geoFlag","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","395925","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Trigynaea","oblongifolia","Trigynaea oblongifolia","Schltdl.","D. M. Johnson","F. C. Hoehne","7974","1922","10","02","South America","Brazil","São Paulo","Cubatao","Piassaguéra","-46.387953","-23.873871","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=600834' target='other'> <mi>dwc_moreinfo</mi></a>","NY00395925","NY00395925_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 09:43:08-03","NBC","NL-BOTANY","U.1080894","PreservedSpecimen","Plantae",NA,"Magnoliales","Annonaceae","Trigynaea","oblongifolia","Trigynaea oblongifolia","Schltdl.","Johnson DM","Frutuoso LCF",NA,"1990","10","17","Southern America","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1080894 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1080894","NL-U1080894","Magnoliopsidae","U 0132766",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 09:43:08-03","NBC","NL-BOTANY","U.1080895","PreservedSpecimen","Plantae",NA,"Magnoliales","Annonaceae","Trigynaea","oblongifolia","Trigynaea oblongifolia","Schltdl.","Maas PJM","Oliveira FCA; et al.",NA,"2000","10","29","Southern America","Brazil","Goiás",NA,NA,"-46.35","-13.733333",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1080895 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1080895","NL-U1080895","Magnoliopsidae","U 0117856","-46.35","-13.733333",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 09:43:08-03","NBC","NL-BOTANY","U.1080896","PreservedSpecimen","Plantae",NA,"Magnoliales","Annonaceae","Trigynaea","oblongifolia","Trigynaea oblongifolia","Schltdl.","Johnson DM","Farney C",NA,"1990","11","20","Southern America","Brazil","Rio de Janeiro - Sao Paulo",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1080896 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1080896","NL-U1080896","Magnoliopsidae","U 0132672",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-07 11:40:48-03","UFMS","CGMS","65095","PreservedSpecimen","Plantae",NA,NA,"Annonaceae","Trigynaea","oblongifolia","Trigynaea oblongifolia","Schltdl.","G.A. Damasceno Junior; F. Macedo Alves","T.S.G. Botelho; K.C.B.S. Santos; A.C. Rodrigues; G.A. Damasceno Junior","34","2017","10","17",NA,"Brasil","Mato Grosso do Sul","Alcinópolis","Monumento Natural Serra do Bom Jardim, Parque Municipal Templo dos Pilares. Trilha da roda d#?#agua, aproximadamente 7,00 Km da Sede.","-53.6977777","-18.1263889",NA,"Fruto imaturo verde. Habitat: Área de transição de cerradão para floresta. Crescendo em beira de estrada. Habito: Árvore. 4,00 - 6,00 m de altura.","CGMS1098056",NA,NA,NA,"-53,6977777","-18,1263889","2017","12","13","433","433",NA,NA,NA,NA
"6","2021-04-07 11:40:48-03","UFMS","CGMS","65164","PreservedSpecimen","Plantae",NA,NA,"Annonaceae","Trigynaea","oblongifolia","Trigynaea oblongifolia","Schltdl.","G.A. Damasceno Junior","T.S.G. Botelho; K.C.B.S. Santos; A.C. Rodrigues; G.A. Damasceno Junior","105","2017","10","23",NA,"Brasil","Mato Grosso do Sul","Costa Rica","Parque Estadual das Nascentes do Rio Taquari. Estrada de acesso a sede do Cuitelo.","-53.4219445","-18.1555556",NA,"Flor branca. Habitat: Floresta estacional semidecidual. Habito: Árvore. 4,00 m de altura.","CGMS1098125",NA,NA,NA,"-53,4219445","-18,1555556","2017","12","13","427","427",NA,NA,NA,NA
"7","2021-04-07 11:40:48-03","UFMS","CGMS","64953","PreservedSpecimen","Plantae",NA,NA,"Annonaceae","Trigynaea","oblongifolia","Trigynaea oblongifolia","Schltdl.","G.A. Damasceno Junior","L.C. Peinado; G.C.Andrella; S.M.L. de Souza; G.A. Damasceno Junior","51","2017","10","22",NA,"Brasil","Mato Grosso do Sul","Alcinópolis","Parque Estadual das Nascentes do Rio Taquari, estrada de acesso a sede Cuitelo.","-53.4116667","-18.1583333",NA,"Flor branca. Odor agradável. Habitat: Floresta estacional semidecidual, via de acesso a sede Cuitelo. Habito: Árvore. 5,00 m de altura.","CGMS1097914",NA,NA,NA,"-53,4116667","-18,1583333","2017","12","13","447","447",NA,NA,NA,NA
"8","2021-03-01 16:21:30-03","UNICAMP","UEC","166999","S","Plantae","Magnoliopsida",NA,"Annonaceae","Trigynaea","oblongifolia","Trigynaea oblongifolia","Schltdl.","Stefani, EJF","Stefani, EJF; Belinello, R; Galvão, JC","261","2011","06","30",NA,"Brazil","São Paulo","Paraibuna","Parque Estadual da Serra do Mar. Mata Atlântica.","-45.542778","-23.607778",NA,"Árvore com 10 m.","UEC083559","UEC083559",NA,NA,"-45.542778","-23.607778","2011","10",NA,"800","900",NA,NA,NA,NA
"9","2021-03-01 16:21:30-03","UNICAMP","UEC","169955","S","Plantae","Magnoliopsida",NA,"Annonaceae","Trigynaea","oblongifolia","Trigynaea oblongifolia","Schltdl.","Mello-Silva, R","Rochelle, ALC","J716",NA,NA,NA,NA,"Brazil","São Paulo","Ubatuba","Fazenda Capricórnio - Bairro Taquaral, Floresta Ombrófila Densa Submontana.","-45.084167","-23.366667",NA,"Indivíduo J716 da Parcela J do Projeto Temático BIOTA-Gradiente Funcional.; Campo rupestre.","UEC041729","UEC041729",NA,NA,"-45.084167","-23.366667","2008","02",NA,"450","450",NA,NA,NA,NA
"10","2020-06-29 09:29:09-03","UFRRJ","RBR","45861","S","Plantae",NA,NA,"Annonaceae","Trigynaea","oblongifolia","Trigynaea oblongifolia","Schltdl.","A. Lobão","D.P. Leonarczyk","s/n","2015","11","26",NA,"Brasil","Rio de Janeiro","Angra dos Reis","Zungu. solo raso, com afloramento rochoso e substrato superior de uma Floresta Atlântica. PE Cunhambebe","-44.28","-22.859722",NA,NA,"RBR00045861",NA,NA,NA,"44º16'48''W","22º51'35''S","2018","04","30","464","464",NA,NA,NA,NA
