"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","fieldNumber","year","month","day","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","kingdom","phylum","recordNumber","continentOcean","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","typeStatus","yearIdentified","monthIdentified","dayIdentified"
"1","2015-09-18 03:18:03-03","MNHN","RECOLNAT_MNHN_P","P00130498","PreservedSpecimen","Rubiaceae","Galium","diphyllum","Galium diphyllum","(K.Schum.) Dempst.","Dempster","Glaziou, A.","11604","1879","9","8","Brésil","Brésil : Sao Paulo : Campo da Bocaina au Garrafaô","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00130498' target='other'> <mi>dwc_moreinfo</mi></a>","P00130498","P00130498_01 P00130498_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2015-09-05 09:16:07-03","MNHN","RECOLNAT_MNHN_P","P00130499","PreservedSpecimen","Rubiaceae","Galium","diphyllum","Galium diphyllum","(K.Schum.) Dempst.","Dempster","Glaziou, A.","11604","1879","9","8","Brésil","Brésil : Sao Paulo : Campo da Bocaina au Garrafaô","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00130499' target='other'> <mi>dwc_moreinfo</mi></a>","P00130499","P00130499_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-12-11 11:40:51-03","UFMG","BHCB","148161","PreservedSpecimen","Rubiaceae","Galium","diphyllum","Galium diphyllum","(K. Schum) Dempster",NA,"Almeida, TE; Mota, NFO; Ramalho, AJ; Lau, BL; Batista, JAN",NA,"2011","03","17","Brasil","Fazenda Onça, Trilha para o Pico do Carrasco.Floresta Ombrófila Mista",NA,"Erva volúvel até 2m de altura, à beira de trilha no interior de floresta. Frutos maduros alaranjados",NA,NA,"Plantae","Dicotyledon","2893","Southern America","Minas Gerais","Delfim Moreira","-45.338333","-22.611611","-45.338333","-22.611611","1826","1826",NA,NA,NA,NA,NA
"4","2019-09-04 19:19:24-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Rubiaceae","Relbunium","diphyllum","Relbunium diphyllum",NA,NA,"A. Glaziou",NA,NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,"Plantae","Spermatophyta","11604","South America",NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"Dicotyledoneae","Type [status unknown]",NA,NA,NA
"5","2020-02-20 14:37:25-03","IAC","IAC","52610","S","Rubiaceae-215.Rubioideae-Rubieae","Galium","diphyllum","Galium diphyllum","(K.Schum.) Dempster","S.L. Jung-Mendaçolli","L.D. Meireles; J.A. Nunes & T.R. Cordeiro",NA,"2007","08","30","Brasil","Serra Fina, Pedra da Mina (Baixa)",NA,"coletor adicional: J.C.O. Neto, coordenada do material: 44º50#?#52,3W, 22º24#?#50,6S, 2087-2455 m.s.m.",NA,NA,"Plantae",NA,"3276",NA,"Minas Gerais","Passa Quatro","-44.848161","-22.414368","-44.848161","-22.414368",NA,NA,NA,NA,"2008","04","04"
"6","2021-02-23 13:23:08-03","MN","R-TIPOS","9955","PreservedSpecimen","Rubiaceae","Relbunium","diphyllum","Relbunium diphyllum","K. Schum.",NA,"Glaziou, A.F.M.",NA,"1879","09","08","Brasil","Campos da Bocaina",NA,NA,"R000009955","R000009955_001","Plantae",NA,"11604",NA,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,"Isotypus",NA,NA,NA
"7","2021-02-08 12:45:11-03","UFRGS","ICN","051415","S","Rubiaceae","Relbunium","diphyllum","Relbunium diphyllum","K. Schum",NA,"Glazion",NA,"1879","09","08","Brasil",NA,NA,"Plantas do Brasil central, Flora Brasileira. VI. p. 117","ICN00000572","ICN00000572","Plantae","Dicotyledon","11604","América do Sul","SP","Campos da Bocaina",NA,NA,NA,NA,NA,NA,NA,"Isotypus",NA,NA,NA
