"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","class","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","389947","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Cariniana","parvifolia","Cariniana parvifolia","S.A.Mori, Prance & Menandro","S. A. Mori","S. A. Mori","22633","1992","10","17","South America","Brazil","Espírito Santo","Linhares","Forest Reserve Companhia Vale do Rio Doce.","-40.07","-19.38","separate fruit","Fruits collected in disturbed forest at the Linhares Forest. Seeds and photos on herbarium sheet. See fruit collection <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=186860' target='other'> <mi>dwc_moreinfo</mi></a>","NY00389947","NY00389947_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","38947","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Cariniana","parvifolia","Cariniana parvifolia","S.A.Mori, Prance & Menandro",NA,"D. A. Folli","1437","1991","10","11","South America","Brazil","Espírito Santo","Linhares","Reserva Florestal da CVRD. Próxima ao apiário, lado direito no aceiro da mata","-40.07","-19.38","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=186867' target='other'> <mi>dwc_moreinfo</mi></a>","NY00038947","NY00038947_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","376132","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Cariniana","parvifolia","Cariniana parvifolia","S.A.Mori, Prance & Menandro","S. A. Mori","D. A. Folli","453","1983","07","11","South America","Brazil","Espírito Santo","Linhares","Reserva Florestal da CVRD. Area de capoeira no MME","-40.07","-19.38","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=186862' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376132","NY00376132_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","389946","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Cariniana","parvifolia","Cariniana parvifolia","S.A.Mori, Prance & Menandro","S. A. Mori","D. A. Folli","453","1983","07","11","South America","Brazil","Espírito Santo","Linhares","Reserva Florestal da CVRD. Area de capoeira no MME","-40.07","-19.38","separate fruit","coleta de fruto DAFolli 428. See fruit collection <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=186865' target='other'> <mi>dwc_moreinfo</mi></a>","NY00389946","NY00389946_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","376128","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Cariniana","parvifolia","Cariniana parvifolia","S.A.Mori, Prance & Menandro","S. A. Mori","D. A. Folli","428","1983","02","24","South America","Brazil","Espírito Santo","Linhares","Reserva Florestal da CVRD. Area de capoeira no MME","-40.07","-19.38","sheet","coleta de fruto DAFolli 453 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=186863' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376128","NY00376128_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","376129","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Cariniana","parvifolia","Cariniana parvifolia","S.A.Mori, Prance & Menandro","S. A. Mori","D. A. Folli","453","1983","07","11","South America","Brazil","Espírito Santo","Linhares","Reserva Florestal da CVRD. Area de capoeira no MME","-40.07","-19.38","sheet","coleta de fruto DAFolli 428. See fruit collection <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=186864' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376129","NY00376129_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","390430","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Cariniana","parvifolia","Cariniana parvifolia","S.A.Mori, Prance & Menandro","S. A. Mori","D. A. Folli","1646","1992","10","15","South America","Brazil","Espírito Santo","Linhares","Reserva Florestal da CVRD. RFFL 88/89 - MME","-40.07","-19.38","separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=186861' target='other'> <mi>dwc_moreinfo</mi></a>","NY00390430","NY00390430_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","376130","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Cariniana","parvifolia","Cariniana parvifolia","S.A.Mori, Prance & Menandro","S. A. Mori","S. A. Mori","22633","1992","10","17","South America","Brazil","Espírito Santo","Linhares","Forest Reserve Companhia Vale do Rio Doce.","-40.07","-19.38","sheet","Fruits collected in disturbed forest at the Linhares Forest. Seeds and photos on herbarium sheet. See fruit collection <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=186859' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376130","NY00376130_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","376131","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Cariniana","parvifolia","Cariniana parvifolia","S.A.Mori, Prance & Menandro","S. A. Mori","D. A. Folli","1305","1991","03","12","South America","Brazil","Espírito Santo","Linhares","Reserva Florestal da CVRD. Area de capoeira no MME","-40.07","-19.38","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=186866' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376131","NY00376131_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-24 17:09:16-03","UFES","SAMES","8449","PreservedSpecimen","Plantae",NA,NA,"Lecythidaceae","Cariniana","parvifolia","Cariniana parvifolia","S.A.Mori, Prance & Menandro","Ribeiro, M.","Ribeiro, M.; Smith, N.P.; Mori, S.A.","911","2013","10","23",NA,"Brasil","Espírito Santo","Conceição da Barra","km 4 da estrada interna. Mata Alta, Floresta de Tabuleiro (F.O. Densa das Terras Baixas). Solo argilo-arenoso com muita matéria orgânica. Reserva Biológica de Córrego Grande","-39.7322006225586","-18.5932998657227",NA,"Com 14,3 cm de DAP. Tronco circular marrom com tons cinza, de base reta, com fissuras superficiais e de crista plana. Casca externa marrom, laminada; casca interna amarelo pálido; alburno amarelo, cerne branco-amarelado. Copa com toda","SAMES08449",NA,NA,"2013","10","23","-398175000.0","-182663889.0","41644","auto",NA,NA,NA,NA
