"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","county","coordinatePrecision","geoFlag","class","typeStatus","relatedCatalogItem","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","01301986","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Aldina","occidentalis","Aldina occidentalis","Ducke","W. A. Ducke","W. A. Ducke","1499","1944","04","12","South America","Brazil","Amazonas","São Paulo de Olivença","-68.9350837","-3.4711744","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1577232' target='other'> <mi>dwc_moreinfo</mi></a>","NY01301986","NY01301986_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-08 17:41:12-03","EAO","IAN","146792","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Aldina","occidentalis","Aldina occidentalis","Ducke","Mansano, VF","Pires, JM; Marinho, LR","15884","1975","03","17","Southern America","Brasil","Amazonas","R. Negro, próximo ao Aeroporto de S. Gabriel.",NA,NA,NA,"Árvore grande, botões esverdeados.","IAN146792",NA,"2011","10","06",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-08 17:41:12-03","EAO","IAN","148371","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Aldina","occidentalis","Aldina occidentalis","Ducke","Mansano, VF","Silva, NT da","3781","1975","03","08","Southern America","Brasil","Amazonas","R. Negro, S. Gabriel, mata de terra firme, terreno arenoso.",NA,NA,NA,"Árvore de 28m.","IAN148371",NA,"2011","10","06",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-08 17:41:12-03","EAO","IAN","152593","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Aldina","occidentalis","Aldina occidentalis","Ducke","Mansano, VF","Marinho, LR","399","1976","06","03","Southern America","Brasil","Amazonas","Igarapé Dararrá, Cachoeira do Aracu - Ponto 13 - SA-20-VA.",NA,NA,NA,"Árvore de 20m e 3m de circ. Frutos verdes.","IAN152593",NA,"2011","10","06",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-08 17:41:12-03","EAO","IAN","146298","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Aldina","occidentalis","Aldina occidentalis","Ducke","Cordeiro, MR","Cordeiro, MR","373","1975","02","28","Southern America","Brasil","Amazonas","R. Negro. Mata secundária, capoeira, terreno arenoso.","-67.0892028808594","-0.130278006196022",NA,"Arvore de 8 m. Flor branca.","IAN146298",NA,"1978",NA,NA,"São Gabriel da Cachoeira","377621","auto",NA,NA,NA,NA,NA
"6","2021-04-08 17:41:12-03","EAO","IAN","10975","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Aldina","occidentalis","Aldina occidentalis","Ducke",NA,"Ducke, A","1499","1944","04","12","Southern America","Brasil","Amazonas","Mata de terra firme silicosa.","-68.8724975585938","-3.37832999229431",NA,"Árvore muito grande; Flor branca ou róseo pálido.","IAN010975","IAN010975 IAN010975_e IAN010975_e1",NA,NA,NA,"São Paulo de Olivença","362329","auto",NA,NA,NA,NA,NA
"7","2020-02-08 09:11:19-03","NBC","NL-BOTANY","U 0003460","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Aldina","occidentalis","Aldina occidentalis","Ducke","Ducke A","Ducke A",NA,"1932","02","27","Southern America","Brazil","Amazonas","Sao PAulo de Olivença (Rio Solimoes, civ. Amazonas)",NA,NA,NA,"silva non inundabili ad rivulum<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200003460 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0003460","NL-U0003460",NA,NA,NA,NA,NA,NA,"Magnoliopsidae","isotype","40588 A",NA,NA
"8","2020-02-08 09:11:19-03","NBC","NL-BOTANY","U.1253317","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Aldina","occidentalis","Aldina occidentalis","Ducke",NA,"Ducke A",NA,"1936","02","17","Southern America","Brazil",NA,"Bamanaos, Rio Negro (Civ. Amazonas) in silvis 'catinga'.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1253317 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1253317","NL-U1253317",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"9","2021-01-14 15:28:22-03","MN","R","54767","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Aldina","occidentalis","Aldina occidentalis","Ducke",NA,"Ducke, W.A.","s.n.","1944","04","12",NA,"Brasil","Amazonas","São Paulo de Olivença","-60.0250015258789","-3.10193991661072",NA,NA,NA,NA,NA,NA,NA,"Manaus","138090","auto",NA,NA,NA,NA,NA
"10","2015-09-04 02:45:19-03","MNHN","RECOLNAT_MNHN_P","P02771859","PreservedSpecimen",NA,NA,NA,"Fabaceae","Aldina","occidentalis","Aldina occidentalis","Ducke",NA,"Ducke, A.",NA,"1932","2","27",NA,"Brésil",NA,"Sao Paulo de Olivença (Rio Salimoes, civ. amazonas), silva non inundabili ad rivulum",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02771859' target='other'> <mi>dwc_moreinfo</mi></a>","P02771859","P02771859_01 P02771859_02",NA,NA,NA,NA,NA,NA,NA,"isotype",NA,"24051",NA
