"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","class","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","typeStatus","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","584349","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Verbenaceae","Lippia","pumila","Lippia pumila","Cham.","H. N. Moldenke","F. C. Hoehne","s.n.","1928","11","03","South America","Brazil","Paraná","Ponta Grossa","Vila Velha, Ponta Grossa","-50.012929","-25.234872","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=610781' target='other'> <mi>dwc_moreinfo</mi></a>","NY00584349","NY00584349_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00956258","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Verbenaceae","Lippia","pumila","Lippia pumila","Cham.","H. N. Moldenke","H. S. Irwin","9085","1965","10","09","South America","Brazil","Distrito Federal","Brasília","Confluence of Rio Torto with Lagoa Paranoá, Brasília","-47.88","-15.73","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1054811' target='other'> <mi>dwc_moreinfo</mi></a>","NY00956258","NY00956258_01","975","975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","584651","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Verbenaceae","Lippia","pumila","Lippia pumila","Cham.","H. N. Moldenke","E. P. Heringer","7481","1982","08","12","South America","Brazil","Distrito Federal","Brasília","Lago Sul, Barra do córrego Canjerana","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=610780' target='other'> <mi>dwc_moreinfo</mi></a>","NY00584651","NY00584651_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","584350","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Verbenaceae","Lippia","pumila","Lippia pumila","Cham.","H. N. Moldenke","G. G. Hatschbach","19716","1968","09","12","South America","Brazil","Paraná","Balsa Nova","Barra Rio Papagaios","-49.6356","-25.5842","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=610782' target='other'> <mi>dwc_moreinfo</mi></a>","NY00584350","NY00584350_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00956257","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Verbenaceae","Lippia","pumila","Lippia pumila","Cham.","H. N. Moldenke","H. S. Irwin","9085","1965","10","09","South America","Brazil","Distrito Federal","Brasília","Confluence of Rio Torto with Lagoa Paranoá, Brasília","-47.88","-15.73","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1054809' target='other'> <mi>dwc_moreinfo</mi></a>","NY00956257","NY00956257_01","975","975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00956256","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Verbenaceae","Lippia","pumila","Lippia pumila","Cham.","H. N. Moldenke","A. F. Regnell","III.948","1856","09","26","South America","Brazil","Minas Gerais","Caldas","Caldas","-46.3858","-21.9236","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1054807' target='other'> <mi>dwc_moreinfo</mi></a>","NY00956256","NY00956256_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1015138","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Verbenaceae","Lippia","pumila","Lippia pumila","Cham.","H. N. Moldenke","R. Hertel","6","1944","10",NA,"South America","Brazil","Paraná",NA,"Vila Velha.","-50.012929","-25.234872","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1100166' target='other'> <mi>dwc_moreinfo</mi></a>","NY01015138","NY01015138_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00956259","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Verbenaceae","Lippia","pumila","Lippia pumila","Cham.","M. E. Múlgura de Romero","M. L. M. Azevedo","935","1990","09","12","South America","Brazil","Distrito Federal","Brasília","Área da UnB (FAL).","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1054813' target='other'> <mi>dwc_moreinfo</mi></a>","NY00956259","NY00956259_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-06-29 11:32:50-03","UFRJ","RFA","13641","PreservedSpecimen","Plantae",NA,NA,"Verbenaceae","Lippia","pumila","Lippia pumila","Cham.","N. Troncoso","L.T. Dombrowski; Y.S. Kuniyoshi (2409)","2921","1970","10",NA,NA,"Brasil","Paraná","Palmeira","Rio dos Papagaios","-50.0064010620117","-25.4293994903564",NA,NA,"RFA50351",NA,NA,NA,"35166","auto",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 09:34:37-03","NBC","NL-BOTANY","L.2765809","PreservedSpecimen","Plantae",NA,"Lamiales","Verbenaceae","Lippia","pumila","Lippia pumila","Cham.",NA,"Sellow F",NA,"1833","01","01","Southern America","Brazil",NA,NA,"Brasilia.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2765809 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2765809","NL-L2765809",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
