"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","recordedBy","recordNumber","year","month","day","locality","class","typeStatus","continentOcean","barcode","imagecode"
"1","2019-06-10 10:10:45-03","FZB-BH","CVJBFZB","1857","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Neoregelia","lilliputiana","Neoregelia lilliputiana","E. Perrira","Sergio Gurken","Brasil","Espírito Santo","Domingos Martins","-40.6591987609863","-20.3633003234863","48150","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:27-03","FZB-BH","BHZB","11794","S","Plantae",NA,NA,"Bromeliaceae","Neoregelia","liliputiana","Neoregelia liliputiana",NA,NA,"Brasil","MG","Belo Horizonte","-43.937801361084","-19.9207992553711","17082",NA,"Planta com folhas verdes com estrias na face abaxial. Inflorescência intern. Planta originalmente coletada no município de Domingos Martins #?# ES/ unicata.","auto","Swerts, M.","57","2016","11","07","FZBBH / SBA - Coleção de Mata Atlântica e Florestas Tropicas CVJBFZB 1857",NA,NA,NA,NA,NA
"3","2020-09-12 05:00:02-03","US","US","2850026","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Neoregelia","lilliputiana","Neoregelia lilliputiana","E. Pereira",NA,"Brazil","Espírito Santo",NA,NA,NA,NA,"1",NA,NA,"R. Kautsky","409","1973","9","3","Domingos Martins.","Monocotyledonae","Isotype","South America - Neotropics","US00091358","US00091358_01"
