"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","class","identifiedBy","typeStatus","continentOcean","locality","barcode","imagecode","recordNumber","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","relatedCatalogItem"
"1","2019-06-10 10:10:31-03","FZB-BH","CVJBFZB","2598","S","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Cereus","mirabella","Cereus mirabella","N.P.Taylor.","2013","03","20","Fernando Campos;","2013","03","20","Brasil","Minas Gerais","Januária","-44.3616981506348","-15.4881000518799","148972","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 08:54:42-03","NBC","NL-BOTANY","U 0105448","PreservedSpecimen","Plantae",NA,"Caryophyllales","Cactaceae","Cereus","mirabella","Cereus mirabella","N.P.Taylor","1991","10","01","Ritter F","1964","01","01","Brazil","Minas Gerais",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200105448 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliopsidae","Taylor NP","holotype","Southern America","Brazil, Minas Gerais, Agua Boa.","NL-U0105448","NL-U0105448",NA,NA,NA,NA,NA,NA,NA
"3","2019-08-15 09:03:23-03","UESC","UESC","7332","S","Plantae","Angiospermae","Florideophycidae","Cactaceae","Cereus","mirabella","Cereus mirabella","N.P.Taylor",NA,NA,NA,"Jardim, J.G.","2001","04","16","Brasil","Bahia","Carinhanha","-43.866944","-14.229167",NA,NA,"Vegetação de Cerrado. Solo arenoso.; Herbácea ca. de 80 cm de altura.; Cladódios ramosos de cor verde-glauco. Estéril.",NA,"Dicotyledoneae",NA,NA,NA,NA,"UESC0007332",NA,"3574","43W52'1''","14S13'45''","480","480",NA,NA
"4","2020-12-11 11:34:14-03","UFMG","BHCB","39126","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Cereus","mirabella","Cereus mirabella","N.P.Taylor",NA,NA,NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Januária","-44.3616981506348","-15.4881000518799","148972",NA,NA,"auto",NA,NA,NA,"Southern America","Distrito de Fabião.",NA,NA,"s.n.",NA,NA,NA,NA,NA,NA
"5","2020-09-02 16:22:35-03","Cenargen","CEN","72633","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Cereus","mirabella","Cereus mirabella","N.P.Taylor","2010",NA,NA,"Anderson Cássio Sevilha","2007","11","03","Brasil","MG","RIO PARDO DE MINAS","-42.5396995544434","-15.6097002029419","62891","4","Alto de chapada. Local de extrativismo de Caryocar brasiliense e Hancornia speciosa.","auto",NA,"D. C. Zappi",NA,NA,"Areião.","CEN00072633","CEN00072633","4628",NA,NA,"960","960","Exsicatas",NA
"6","2021-03-15 18:26:23-03","USP","SPF","220049","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Cereus","mirabella","Cereus mirabella","N.P.Taylor","2015","02",NA,"Antar, GM","2015","02","01","Brasil","Bahia","Formosa do Rio Preto","-46.114722","-10.619528",NA,NA,"Crescendo apoiada em árvore. Aréola alva, espinhos castanhos.; Campo sujo. Solo arenoso seco.",NA,NA,"Zappi, DC",NA,NA,"Estação Ecológica Serra Geral do Tocantins, Pedra da Baliza.","SPF00220049",NA,"785","-46.114722","-10.619528","763","763",NA,NA
"7","2019-11-13 11:17:18-03","USP","SPF","80860","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Cereus","mirabella","Cereus mirabella","N.P.Taylor",NA,NA,NA,"Harley, RM","1988","11","06","Brasil","Minas Gerais","Brasília de Minas","-44.3","-16.033333",NA,NA,NA,NA,NA,"Anônimo",NA,NA,NA,"SPF00080860",NA,"25513","-44.3","-16.033333","750","750",NA,NA
"8","2019-11-13 11:17:18-03","USP","SPF","80951","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Cereus","mirabella","Cereus mirabella","N.P.Taylor",NA,NA,NA,"Zappi, DC","1989","07","23","Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,"Anônimo",NA,NA,"Estrada de Terra de varzelândia a Cachoeira, a 36 Km L de Varzelândia.","SPF00080951",NA,"167",NA,NA,NA,NA,NA,NA
"9","2019-11-13 11:17:18-03","USP","SPF","80952","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Cereus","mirabella","Cereus mirabella","N.P.Taylor",NA,NA,NA,"Zappi, DC","1989","07","23","Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,"Anônimo",NA,NA,"Estrada de terra para Varzelândia, partindo da BR 135 (Montes - Claros-januária), a 17 km W de Varzelândia.","SPF00080952",NA,"166",NA,NA,NA,NA,NA,NA
"10","2019-10-07 09:18:38-03","UEFS","HUEFS","131491","PreservedSpecimen","Plantae","Angiospermae","Caryophyllales","Cactaceae","Cereus","mirabella","Cereus mirabella","N.P.Taylor","2010","11",NA,"Araújo, G.","2007","11","03","Brasil","Bahia","Formosa do Rio Preto","-45.071944","-11.044167",NA,NA,NA,NA,"Caryophyllanae","M.Machado",NA,NA,"Primavera.","HUEFS0131491","HUEFS0131491","368","45W4'19''","11S2'39''","465","465",NA,NA
