"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","county","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","relatedCatalogItem","typeStatus","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","1188119","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Sclerolobium","glaziovii","Sclerolobium glaziovii","Taub.","L. B. Smith; S. F. Smith","J. P. Lanna Sobrinho","s.n.","1971","01","18","South America","Brazil","Rio de Janeiro","Estrada da Vista Chinesa, pr. a Estaçao Biológica","-43.273873","-22.971901","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1396966' target='other'> <mi>dwc_moreinfo</mi></a>","NY01188119","NY01188119_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1187648","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Sclerolobium","glaziovii","Sclerolobium glaziovii","Taub.","J. D. Dwyer","A. F. M. Glaziou","1570",NA,NA,NA,"South America","Brazil","Rio de Janeiro",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1393460' target='other'> <mi>dwc_moreinfo</mi></a>","NY01187648","NY01187648_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-11-07 11:56:00-02","NY","NYBG","1188086","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Tachigali","denudata","Tachigali denudata",NA,"H. H. van der Werff","F. C. Hoehne","s.n.","1933","10","04","South America","Brazil","São Paulo",NA,"-47.13","-23.3","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1396803' target='other'> <mi>dwc_moreinfo</mi></a>","NY01188086","NY01188086_01","Cabreúva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-11-07 11:56:00-02","NY","NYBG","1188084","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Tachigali","denudata","Tachigali denudata",NA,"H. H. van der Werff","J. B. Baitello","s.n.","1977","09","15","South America","Brazil","São Paulo","Serra da Cantareira, Pinheirinho",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1396795' target='other'> <mi>dwc_moreinfo</mi></a>","NY01188084","NY01188084_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-11-07 11:59:00-02","NY","NYBG","1279903","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Tachigali","denudata","Tachigali denudata",NA,"H. H. van der Werff","M. Kuhlmann","3238","1946","10","17","South America","Brazil","São Paulo","Nativa no Jardim Botanico","-46.618358","-23.646109","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1514519' target='other'> <mi>dwc_moreinfo</mi></a>","NY01279903","NY01279903_01","Sao Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","03066023","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Tachigali","denudata","Tachigali denudata","(Vogel) Oliveira-Filho",NA,"H. C. de Lima","8327","2016","08","24","South America","Brazil","Rio de Janeiro","Alto da Boa Vista, Área do Palacete do Conde de Itamaraty, próx. a entrada do Parque Nacional da Tijuca. Floresta de encosta.","-43.2753","-22.9611","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3287046' target='other'> <mi>dwc_moreinfo</mi></a>","NY03066023","NY03066023_01","Rio de Janeiro","424","424",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1187796","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Tachigali","denudata","Tachigali denudata","(Vogel) Oliveira-Filho","H. H. van der Werff","G. G. Hatschbach","53528","1989","10","14","South America","Brazil","Paraná","Descampo.","-48.5747","-25.8828","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1393223' target='other'> <mi>dwc_moreinfo</mi></a>","NY01187796","NY01187796_01","Guaratuba","50","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-11-07 11:56:00-02","NY","NYBG","1188085","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Tachigali","denudata","Tachigali denudata",NA,"H. H. van der Werff","F. C. Hoehne","s.n.","1933","10","04","South America","Brazil","São Paulo",NA,"-47.13","-23.3","sheet","Ex. 1ª Seção Bot. e Agronomia do Inst. Biologico. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1396799' target='other'> <mi>dwc_moreinfo</mi></a>","NY01188085","NY01188085_01","Cabreúva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-11-07 11:56:00-02","NY","NYBG","1188087","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Tachigali","denudata","Tachigali denudata",NA,"H. H. van der Werff","A. C. Dias","14","1984","10","29","South America","Brazil","São Paulo","Parque Estadual de Carlos Botelho, Instituto Florestal,",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1396806' target='other'> <mi>dwc_moreinfo</mi></a>","NY01188087","NY01188087_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02913478","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Tachigali","denudata","Tachigali denudata","(Vogel) Oliveira-Filho",NA,"H. C. de Lima","8329","2016","08","29","South America","Brazil","Rio de Janeiro","Estrada da Vista Chinesa, ca. 500 metros após a Mesa do Imperador. Floresta de Encosta. Parque Nacional da Tijuca","-41.2591667","-22.9677778","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3239469' target='other'> <mi>dwc_moreinfo</mi></a>","NY02913478","NY02913478_01","Rio de Janeiro","424","424",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
