"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","stateProvince","preparationType","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","previousCatalogNumber","fieldNumber","individualCount","typeStatus"
"1","2021-04-05 14:25:42-03","UNESC","CRI","11617","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","vaccinioides","Ouratea vaccinioides","(A.St.-Hil. & Tul.) Engl.","A. L. de Gasper","2010","06","23","S. Dreveck","2262","2010","06","16","Brasil","Brasil","Alto Rio dos Cedros.","-49.32","-26.55","49º19'12''W","26º33'0''S","890","890","Ecótono Floresta Ombrófila Densa e Floresta Ombrófila Mista Habitat: interior do fragmento Habito: arbustiva","CRI008276","CRI008276",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","823074","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","vaccinioides","Ouratea vaccinioides","(A.St.-Hil. & Tul.) Engl.","K. Yamamoto",NA,NA,NA,"J. C. Lindeman","4066","1967","01","12","Brazil",NA,"Serra do Mar, Rio do Corvo, upstream from old road Curitiba - Morretes.","-48.906339","-25.339275",NA,NA,"1000","1000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=936605' target='other'> <mi>dwc_moreinfo</mi></a>","NY00823074","NY00823074_01","Magnoliophyta","Malpighiales","South America","Paraná","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","03044837","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","vaccinioides","Ouratea vaccinioides","(A.St.-Hil. & Tul.) Engl.",NA,NA,NA,NA,"E. P. Fernandez","15","2013","09","03","Brazil","Piquete","Pico dos Marins - APA Serra da Mantiqueira. Trilha de acesso ao cume do Pico dos Marins, entre os municípios de Piquete e Marmelópolis (MG), Campos de Altitude.","-45.14","-22.5019444",NA,NA,"1900","2100","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3281851' target='other'> <mi>dwc_moreinfo</mi></a>","NY03044837","NY03044837_01","Magnoliophyta","Malpighiales","South America","São Paulo","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","642191","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","vaccinioides","Ouratea vaccinioides","(A.St.-Hil. & Tul.) Engl.","K. Yamamoto",NA,NA,NA,"M. C. Vianna","454","1971","06","23","Brazil","Sao Sebastiao","Km 36","-45.4097","-23.7603",NA,NA,"770","770","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=632605' target='other'> <mi>dwc_moreinfo</mi></a>","NY00642191","NY00642191_01","Magnoliophyta","Malpighiales","South America","São Paulo","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1128049","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","vaccinioides","Ouratea vaccinioides","(A.St.-Hil. & Tul.) Engl.","K. Yamamoto",NA,NA,NA,"G. G. Hatschbach","19653","1968","08","29","Brazil","São José dos Pinhais","Serra do Emboque","-49.2064","-25.5347",NA,NA,"1100","1100","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1274904' target='other'> <mi>dwc_moreinfo</mi></a>","NY01128049","NY01128049_01","Magnoliophyta","Malpighiales","South America","Paraná","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","777070","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","vaccinioides","Ouratea vaccinioides","(A.St.-Hil. & Tul.) Engl.","E. P. dos Santos",NA,NA,NA,"E. P. dos Santos","491","1998","04","04","Brazil","Guaratuba","Serra de Araçatuba, Morro dos Perdidos","-48.97","-25.87",NA,NA,"980","980","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=632602' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777070","NY00777070_01","Magnoliophyta","Malpighiales","South America","Paraná","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1128119","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","vaccinioides","Ouratea vaccinioides","(A.St.-Hil. & Tul.) Engl.","L. B. Smith; S. F. Smith",NA,NA,NA,"G. G. Hatschbach","14556","1966","08","04","Brazil","Morretes","Encosta Morro Mae Catira.","-48.909237","-25.347215",NA,NA,"1200","1200","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1275561' target='other'> <mi>dwc_moreinfo</mi></a>","NY01128119","NY01128119_01","Magnoliophyta","Malpighiales","South America","Paraná","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1128008","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","vaccinioides","Ouratea vaccinioides","(A.St.-Hil. & Tul.) Engl.","K. Yamamoto",NA,NA,NA,"P. K. H. Dusén","8210","1909","06","04","Brazil",NA,"Monte Alegre",NA,NA,NA,NA,"850","850","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1274308' target='other'> <mi>dwc_moreinfo</mi></a>","NY01128008","NY01128008_01","Magnoliophyta","Malpighiales","South America","Paraná","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1127964","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","vaccinioides","Ouratea vaccinioides","(A.St.-Hil. & Tul.) Engl.","K. Yamamoto",NA,NA,NA,"M. Kuhlmann","4360","1958","03","18","Brazil","Salesópolis","Boracéa, próximo do rio Guaratuba","-45.84","-23.5303",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1272455' target='other'> <mi>dwc_moreinfo</mi></a>","NY01127964","NY01127964_01","Magnoliophyta","Malpighiales","South America","São Paulo","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","642189","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","vaccinioides","Ouratea vaccinioides","(A.St.-Hil. & Tul.) Engl.","L. B. Smith; S. F. Smith",NA,NA,NA,"G. G. Hatschbach","14556","1966","08","04","Brazil","Morretes","Encosta Morro Mae Catira","-48.909237","-25.347215",NA,NA,"1200","1200","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=632603' target='other'> <mi>dwc_moreinfo</mi></a>","NY00642189","NY00642189_01","Magnoliophyta","Malpighiales","South America","Paraná","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
