"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","monthIdentified","dayIdentified","infraspecificEpithet","verbatimLongitude","verbatimLatitude","previousCatalogNumber","fieldNumber","individualCount","typeStatus"
"1","2016-09-27 06:28:00-03","NY","NYBG","01131935","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Polygala","pulchella","Polygala pulchella","R. Lüdtke","R. Lüdtke","55","2002","11","19","South America","Brazil","Rio Grande do Sul","Santiago","BR 287, a 7 km. da cidade, em direção à São Borja.","-54.8672","-29.1917","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1285200' target='other'> <mi>dwc_moreinfo</mi></a>","NY01131935","NY01131935_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","687537","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Polygala","pulchella","Polygala pulchella","E. M. Grondona","A. C. Brade","6331","1913","05",NA,"South America","Brazil","São Paulo",NA,"Capital, Água Branca","-46.69017","-23.520346","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=877493' target='other'> <mi>dwc_moreinfo</mi></a>","NY00687537","NY00687537_01","A.St.-Hil. & Moq.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01127940","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Polygala","pulchella","Polygala pulchella",NA,"B. Rambo","49028","1950","10","25","South America","Brazil","Rio Grande do Sul",NA,"Esteio p. S. Leopoldo.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1272220' target='other'> <mi>dwc_moreinfo</mi></a>","NY01127940","NY01127940_01","A.St.-Hil. & Moq.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01127946","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Polygala","pulchella","Polygala pulchella","J. J. Wurdack","L. T. D. Dombrowski","2583","1967","10","04","South America","Brazil","Paraná",NA,"Campos do Capão da Imbuia-Curitiba.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1272230' target='other'> <mi>dwc_moreinfo</mi></a>","NY01127946","NY01127946_01","A.St.-Hil. & Moq.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02071673","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Polygala","pulchella","Polygala pulchella",NA,"J. G. Kuhlmann","s.n.",NA,NA,NA,"South America","Brazil","Rio de Janeiro",NA,"Caminho das macieiras. Itatyaia.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2202685' target='other'> <mi>dwc_moreinfo</mi></a>","NY02071673","NY02071673_01","A.St.-Hil. & Moq.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01127934","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Polygala","pulchella","Polygala pulchella","J. Y. V. Norlind","P. K. H. Dusén","10343","1910","09","18","South America","Brazil","Paraná",NA,"Desiro Ypiranga, in via ferrea",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1272208' target='other'> <mi>dwc_moreinfo</mi></a>","NY01127934","NY01127934_01","A.St.-Hil. & Moq.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01127935","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Polygala","pulchella","Polygala pulchella","A. R. A. Görts-van Rijn","J. C. Lindeman","2806","1966","11","04","South America","Brazil","Paraná",NA,"Campo near Cantagalo, 30 km E. of Laranjeiras do Sul.","-52.127432","-25.378203","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1272210' target='other'> <mi>dwc_moreinfo</mi></a>","NY01127935","NY01127935_01","A.St.-Hil. & Moq.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01127930","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Polygala","pulchella","Polygala pulchella","J. J. Wurdack","R. Reitz","17816","1965","12","16","South America","Brazil","Paraná","Guarapuava","Fazenda Capão Redondo","-51.4581","-25.3956","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1272166' target='other'> <mi>dwc_moreinfo</mi></a>","NY01127930","NY01127930_01","A.St.-Hil. & Moq.","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01127931","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Polygala","pulchella","Polygala pulchella","J. J. Wurdack","G. G. Hatschbach","22285","1969","10","01","South America","Brazil","Paraná","Sao Mateus do Sul","10 Km ao Oeste de S. Mateus.","-50.3828","-25.8744","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1272184' target='other'> <mi>dwc_moreinfo</mi></a>","NY01127931","NY01127931_01","A.St.-Hil. & Moq.","760","760",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01127949","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Polygala","pulchella","Polygala pulchella","J. J. Wurdack","G. G. Hatschbach","22263","1969","09","30","South America","Brazil","Paraná","Antônio Olinto","Rio Agua Amarela","-50.1969","-25.9861","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1272239' target='other'> <mi>dwc_moreinfo</mi></a>","NY01127949","NY01127949_01","A.St.-Hil. & Moq.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
