"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","phylum","order","recordNumber","continentOcean","locality","preparationType","occurrenceRemarks","minimumElevationInMeters","maximumElevationInMeters","typeStatus","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2021-04-05 14:34:11-03","UNESC","CRI","1486","PreservedSpecimen","Plantae","Sapotaceae","Manilkara","subsericea","Manilkara subsericea","(Mart.) Dubard","R. R. Negrelle","R. Negrelle","1992","06","27","Brasil","Santa Catarina","Itapoá","-48.6175","-26.071111","48º37'3''W","26º4'16''S","CRI007306","CRI007306",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","375093","PreservedSpecimen","Plantae","Sapotaceae","Manilkara","subsericea","Manilkara subsericea","(Mart.) Dubard","J. C. Lindeman","J. C. Lindeman",NA,NA,NA,"Brazil","Rio de Janeiro","Rio de Janeiro","-43.482796","-23.016442",NA,NA,"NY00375093","NY00375093_01","Magnoliophyta","Ericales","5546","South America","Recreio dos Bandeirantes 30 km W. of Rio de Janeiro","sheet","d.d. 2 feb 1967 [collection or determination date?] <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=21098' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","375094","PreservedSpecimen","Plantae","Sapotaceae","Manilkara","subsericea","Manilkara subsericea","(Mart.) Dubard",NA,"H. W. Schott",NA,NA,NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,"NY00375094","NY00375094_01","Magnoliophyta","Ericales","5476","South America",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=21107' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","375090","PreservedSpecimen","Plantae","Sapotaceae","Manilkara","subsericea","Manilkara subsericea","(Mart.) Dubard","H. C. de Lima","H. C. de Lima","1981","12","16","Brazil","Espírito Santo","Linhares","-39.961174","-19.138199",NA,NA,"NY00375090","NY00375090_01","Magnoliophyta","Ericales","1676","South America","Reserva Florestal da Cia Vale do Rio Doce","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=21097' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","375251","PreservedSpecimen","Plantae","Sapotaceae","Manilkara","subsericea","Manilkara subsericea","(Mart.) Dubard","R. Reitz","R. M. Klein","1955","05","06","Brazil","Santa Catarina","Itajaí","-48.6617","-26.9081",NA,NA,"NY00375251","NY00375251_01","Magnoliophyta","Ericales","1365","South America","Itajaí, Morro da Fazenda","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=21094' target='other'> <mi>dwc_moreinfo</mi></a>","150","150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","375087","PreservedSpecimen","Plantae","Sapotaceae","Manilkara","subsericea","Manilkara subsericea","(Mart.) Dubard","T. D. Pennington","W. R. Anderson","1976","02","18","Brazil","Rio de Janeiro","Maricá","-42.8183","-22.9194",NA,NA,"NY00375087","NY00375087_01","Magnoliophyta","Ericales","11628","South America","2 km from highway Amaral Peixoto; restinga","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=21092' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","885010","PreservedSpecimen","Plantae","Sapotaceae","Manilkara","subsericea","Manilkara subsericea","(Mart.) Dubard","T. D. Pennington","W. A. Ducke","1953","11","27","Brazil","Rio de Janeiro",NA,"-43.36594","-23.011012",NA,NA,"NY00885010","NY00885010_01","Magnoliophyta","Ericales","2323","South America","Restinga da Tijuca","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=970840' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","02422373","PreservedSpecimen","Plantae","Sapotaceae","Manilkara","subsericea","Manilkara subsericea","(Mart.) Dubard",NA,"V. S. Fonseca-Kruel","2003","02","12","Brazil","Rio de Janeiro","Arraial do Cabo","-42.0719","-22.9492",NA,NA,"NY02422373","NY02422373_01","Magnoliophyta","Ericales","606","South America","Reserva Extrativista de Arraial do Cabo. Restinga dos Afonsos, próximo a Enseada de Tucuns.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2635457' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","885011","PreservedSpecimen","Plantae","Sapotaceae","Manilkara","subsericea","Manilkara subsericea","(Mart.) Dubard","T. D. Pennington","Restinga I","1950","10","29","Brazil","Rio de Janeiro",NA,"-43.3469","-23.0036",NA,NA,"NY00885011","NY00885011_01","Magnoliophyta","Ericales","3747","South America","Distrito Federal. Restinga de Itapeba (Recreio dos Bandeirantes)","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=970848' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","885009","PreservedSpecimen","Plantae","Sapotaceae","Manilkara","subsericea","Manilkara subsericea","(Mart.) Dubard","A. Aubréville","J. Vidal","1933","10","18","Brazil","Distrito Federal","Brasília","-47.9294","-15.7797",NA,NA,"NY00885009","NY00885009_01","Magnoliophyta","Ericales","s.n.","South America","Ponta do Galeao (Ilha do Governador).","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=970834' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
