"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","482628","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Salicaceae","Casearia","gossypiosperma","Casearia gossypiosperma","Briq.","D. C. Daly","D. C. Daly","9910","1999","03","21","South America","Brazil","Acre","Santa Rosa do Purus","Alto Rio Purus, Igarapé Itaúba, upriver from Santa Rosa, right bank.","-70.5036","-9.4869","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=362915' target='other'> <mi>dwc_moreinfo</mi></a>","NY00482628","NY00482628_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","880216","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Salicaceae","Casearia","gossypiosperma","Casearia gossypiosperma","Briq.",NA,"E. M. Saddi","361","2010","03","13","South America","Brazil","Tocantins",NA,"Colinas do Tocantins. Parcela de Monitoramento C5, do empreendimento da Linha de Transmissão LT 500 Kv Colinas - São João do pIaui","-48.0508","-7.9047","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2537383' target='other'> <mi>dwc_moreinfo</mi></a>","NY00880216","NY00880216_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","885806","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Salicaceae","Casearia","gossypiosperma","Casearia gossypiosperma","Briq.","J. B. Baitello","J. B. Baitello","143","1985","09","26","South America","Brazil","São Paulo","Teodoro Sampaio","R. E. Morro do Diabo.","-52.1597","-22.5303","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1008544' target='other'> <mi>dwc_moreinfo</mi></a>","NY00885806","NY00885806_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","97938","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Salicaceae","Casearia","gossypiosperma","Casearia gossypiosperma","Briq.","H. O. Sleumer","E. Hassler","s.n.","1885",NA,NA,"South America","Paraguay",NA,NA,NA,NA,NA,"sheet","This specimen is Hassler 1107 (annotation by H. Sleumer, 1975) <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=362916' target='other'> <mi>dwc_moreinfo</mi></a>","NY00097938","NY00097938_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","476247","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Salicaceae","Casearia","gossypiosperma","Casearia gossypiosperma","Briq.","R. L. Liesner","L. Riedel","519",NA,NA,NA,"South America","Brazil",NA,NA,"Rio Pardo",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=362913' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476247","NY00476247_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","885809","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Salicaceae","Casearia","gossypiosperma","Casearia gossypiosperma","Briq.","S. Romaniuc Neto","S. Romaniuc Neto","1264","1991","09","26","South America","Brazil","São Paulo","Moji-Guaçu","Martinho Prado, Fazenda Campininha. Mata da Figueira.","-47.164784","-22.242395","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1008555' target='other'> <mi>dwc_moreinfo</mi></a>","NY00885809","NY00885809_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01023451","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Salicaceae","Casearia","gossypiosperma","Casearia gossypiosperma","Briq.","M. H. Nee","L. Riedel","s.n.","1826","09",NA,"South America","Brazil",NA,NA,"Iter Brasiliense. Rio Pardo.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1192223' target='other'> <mi>dwc_moreinfo</mi></a>","NY01023451","NY01023451_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","97939","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Salicaceae","Casearia","gossypiosperma","Casearia gossypiosperma","Briq.","H. O. Sleumer","E. Hassler","1107",NA,NA,NA,"South America","Paraguay",NA,NA,NA,NA,NA,"sheet","This specimen is Hassler 1107 (annotation by H. Sleumer, 1975) <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=362917' target='other'> <mi>dwc_moreinfo</mi></a>","NY00097939","NY00097939_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","02210642","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Salicaceae","Casearia","gossypiosperma","Casearia gossypiosperma","Briq.",NA,"W. L. Balée","2417","1986","06","11","South America","Brazil","Pará",NA,"Xingu River. Assurini Indians","-52.5854588","-7.2040035","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2500271' target='other'> <mi>dwc_moreinfo</mi></a>","NY02210642","NY02210642_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02210643","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Salicaceae","Casearia","gossypiosperma","Casearia gossypiosperma","Briq.",NA,"C. A. Cid Ferreira","4895","1984","06","29","South America","Brazil","Rondônia","Ouro Preto do Oeste","BR-364, rodovia Cuiabá-Porto Velho, km 378, Reserva Ecológica do CNPq-INPA.","-63.05","-10.183333","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2500272' target='other'> <mi>dwc_moreinfo</mi></a>","NY02210643","NY02210643_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
