"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","fieldNumber","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","559256","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","gracilis","Peperomia gracilis","Dahlst.","G. F. J. Pabst","4737","1959","02","09","South America","Brazil","São Paulo","Serra da Bocaina, sertao da Bocaina, entre a Casa do Peise e o rio Jacutinga","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=244989' target='other'> <mi>dwc_moreinfo</mi></a>","NY00559256","NY00559256_01 NY00559256_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2015-09-03 18:41:12-03","MNHN","RECOLNAT_MNHN_P","P01656465","PreservedSpecimen",NA,NA,NA,"Piperaceae","Peperomia","gracilis","Peperomia gracilis","C.DC.","Glaziou, A.",NA,"1877","4","6",NA,"Brasil","Rio de Janeiro","Brésil. (Rio Jan.).","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01656465' target='other'> <mi>dwc_moreinfo</mi></a>","P01656465","P01656465_01","8953",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-12-07 16:00:50-02","MNHN","RECOLNAT_MNHN_P","P01656464","PreservedSpecimen",NA,NA,NA,"Piperaceae","Peperomia","gracilis","Peperomia gracilis","C.DC.","Glaziou, A.",NA,"1882","5","27",NA,"Brasil","Rio de Janeiro","Haut du Morro da Bandeira, Petrópolis.","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01656464' target='other'> <mi>dwc_moreinfo</mi></a>","P01656464","P01656464_01","14283","Petrópolis","-43.1786003112793","-22.5049991607666","36524","auto",NA,NA,NA,NA,NA,NA,NA,NA
"4","2009-07-27 09:31:00-03","MO","MOBOT","2861092","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Peperomia","gracilis","Peperomia gracilis","Dahlst.","Auguste F.M. Glaziou","Glaziou 14283","1861",NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-06-10 10:11:25-03","FZB-BH","BHZB","7870","S","Plantae",NA,NA,"Piperaceae","Peperomia","gracilis","Peperomia gracilis",NA,"Ferreira Junior, C.A. et al.",NA,"2009","11","24",NA,"Brasil","MG","FZB-BH - Coleção Plantas Vivas Jardim Botânico SBA.",NA,"Ponto 30. Origem: Santana do Pirapama - MG. Caminho da Senhorinha., Cerrado, afloramento rochoso Coord errada Lat: 18°56'85.2 S; Long: 43°45'46.1W.Planta pequena de 10 cm de altura. Forma maciços grandes entre as rochas. Pilosa. Duas folhas por nó: v",NA,NA,NA,"Belo Horizonte",NA,"-19.920833",NA,NA,"C.A., Ferreira Junior","2015","01","29","43°W55' 16","19S 55' 15",NA,NA
"6","2019-09-04 19:24:15-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Piperaceae","Peperomia","gracilis","Peperomia gracilis",NA,"A. Glaziou","14283",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae","Type [status unknown]"
"7","2019-07-09 14:03:09-03","F","FMNH-SEEDPLANTS","V0454184F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Piperaceae","Peperomia","gracilis","Peperomia gracilis",NA,"G. F. J. Pabst","4737","1959","2","9","South America","Brazil",NA,NA,NA,NA,"V0454184F","V0454184F_01",NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA
"8","2019-07-09 14:03:09-03","F","FMNH-SEEDPLANTS","V0454185F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Piperaceae","Peperomia","gracilis","Peperomia gracilis",NA,"L. B. Holm-Nielsen & et al.","5015","1973","5","4","South America","Ecuador",NA,NA,NA,NA,"V0454185F","V0454185F_01",NA,NA,"-78.1869","-1.4628",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA
"9","2014-09-23 11:02:07-03","G","G-DC","G00329758","S","Plantae",NA,NA,"Piperaceae","Peperomia","gracilis","Peperomia gracilis","Dahlst.","Glaziou, A. F. M.","8953",NA,NA,NA,"AMERIQUE DU SUD","Brazil","Rio de Janeiro",NA,NA,"Coordinate uncertainty: Precision at the level of departement/region Image URL: No picture available on the institution's web site","G00329758",NA,NA,NA,"-42.9125","-22.48222222",NA,NA,"CAT.HERB.PRODR.","2012","01","01","-42.9125","-22.48222222",NA,"ISOSYNTYPUS of Peperomia gracilis Dahlst."
"10","2019-11-21 10:14:15-03","IBt","SP","183473","S","Plantae",NA,NA,"Piperaceae","Peperomia","gracilis","Peperomia gracilis","Dahlst.","Pirani, JR; Vital, DM; Favalli, E","331","1982","07","17",NA,"Brasil","Minas Gerais","Serra do Caraça",NA,NA,"SP010994","SP010994",NA,"Santa Bárbara","-43.4152984619141","-19.959400177002","33136","auto","Callejas, R","1984","01","06",NA,NA,NA,NA
