"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","decimalLongitude","decimalLatitude","imagecode","locality","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","class","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","typeStatus","relatedCatalogItem"
"1","2020-09-23 10:40:48-03","E","E","205559","PreservedSpecimen","Plantae","Leguminosae","Periandra","heterophylla","Periandra heterophylla","Ratter, J.A.; Bridgewater, S.; Filho, J. Fonsêca; Ribeiro, J.F. & Proença, C.","1798","1997","11","11","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:218562","<a href=http://data.rbge.org.uk/herb/E00205559 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00205559",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01044674","PreservedSpecimen","Plantae","Fabaceae","Periandra","heterophylla","Periandra heterophylla","E. P. Heringer","s.n.","1963","03","23","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1185644' target='other'> <mi>dwc_moreinfo</mi></a>","NY01044674","Magnoliophyta","Fabales","Benth.","L. T. Silveira","Goiás","Cristalina","-47.6133","-16.7686","NY01044674_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01044778","PreservedSpecimen","Plantae","Fabaceae","Periandra","heterophylla","Periandra heterophylla","G. G. Hatschbach","38325","1976","03","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1185707' target='other'> <mi>dwc_moreinfo</mi></a>","NY01044778","Magnoliophyta","Fabales","Benth.","L. T. Silveira","Tocantins","Gurupi","-49.0683","-11.7294","NY01044778_01","Rod. Belem-Brasilia; 10 km N de Gurupi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01044702","PreservedSpecimen","Plantae","Fabaceae","Periandra","heterophylla","Periandra heterophylla","D. Philcox","3392","1967","12","05","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1185680' target='other'> <mi>dwc_moreinfo</mi></a>","NY01044702","Magnoliophyta","Fabales","Benth.","L. T. Silveira","Mato Grosso",NA,"-51.77","-12.82","NY01044702_01","km. 242, Xavantina-Cachimbo road.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01044804","PreservedSpecimen","Plantae","Fabaceae","Periandra","heterophylla","Periandra heterophylla","G. Pereira-Silva","3474","1996","03","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1185741' target='other'> <mi>dwc_moreinfo</mi></a>","NY01044804","Magnoliophyta","Fabales","Benth.","R. C. Barneby","Maranhão","Balsas","-46.0356","-7.5325","NY01044804_01","Projeto de Balsas; condominio Kissy; lote 23","470","470",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01044776","PreservedSpecimen","Plantae","Fabaceae","Periandra","heterophylla","Periandra heterophylla","G. Gardner","3102",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1185703' target='other'> <mi>dwc_moreinfo</mi></a>","NY01044776","Magnoliophyta","Fabales","Benth.","L. T. Silveira","Goiás",NA,NA,NA,"NY01044776_01","Goyaz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01044701","PreservedSpecimen","Plantae","Fabaceae","Periandra","heterophylla","Periandra heterophylla","D. Philcox","3874","1968","01","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1185678' target='other'> <mi>dwc_moreinfo</mi></a>","NY01044701","Magnoliophyta","Fabales","Benth.","L. T. Silveira","Mato Grosso",NA,"-51.77","-12.82","NY01044701_01","E. of km. 242, Xavantina-Cachimbo road.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01044669","PreservedSpecimen","Plantae","Fabaceae","Periandra","heterophylla","Periandra heterophylla","H. S. Irwin","18911","1968","01","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1185548' target='other'> <mi>dwc_moreinfo</mi></a>","NY01044669","Magnoliophyta","Fabales","Benth.","L. T. Silveira","Goiás","Cocalzinho de Goiás","-48.63","-15.35","NY01044669_01","70 km N. of Corumbá de Goiás on road to Niquelândia, valley of Rio Maranhão. Serra dos Pirineus.","700","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01044727","PreservedSpecimen","Plantae","Fabaceae","Periandra","heterophylla","Periandra heterophylla","T. C. Plowman","8151","1980","01","31","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1185688' target='other'> <mi>dwc_moreinfo</mi></a>","NY01044727","Magnoliophyta","Fabales","Benth.","L. T. Silveira","Tocantins","Presidente Kennedy","-48.6008","-8.5006","NY01044727_01","Road from highway BR-153 to Itapora, 12 km. west of village of Presidente Kennedy, Fazenda Primavera along Ribeirao Féinho","400","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01044691","PreservedSpecimen","Plantae","Fabaceae","Periandra","heterophylla","Periandra heterophylla","H. S. Irwin","15211","1966","04","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1185545' target='other'> <mi>dwc_moreinfo</mi></a>","NY01044691","Magnoliophyta","Fabales","Benth.","L. T. Silveira","Goiás","Formosa","-47.08283","-15.2905556","NY01044691_01","Serra do Morcêgo, near Côrrego Estrema, ca. 38 km N.E. of Formosa","800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
