"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","class","order","typeStatus","year","month","individualCount"
"1","2020-12-21 16:29:48-03","MBM","MBM","3784","PreservedSpecimen","Plantae","Iridaceae","Gelasine","caldensis","Gelasine caldensis","Ravenna","Ravenna, P.","Hatschbach, G.","17549","Southern America","Brazil","Paraná","Contenda","Rodovia do Xisto","-49.5346984863281","-25.6756000518799","22732","MBM003784","MBM003784","auto",NA,NA,NA,NA,NA,NA
"2","2020-12-21 16:29:48-03","MBM","MBM","12065","PreservedSpecimen","Plantae","Iridaceae","Gelasine","caldensis","Gelasine caldensis","Ravenna","Ravenna, P.","Hatschbach, G.","22665","Southern America","Brazil","Paraná","Marmeleiro","Estrada Marmeleiro - Campo Erê","-53.0261001586914","-26.1494007110596","27396","MBM012065","MBM012065","auto",NA,NA,NA,NA,NA,NA
"3","2020-09-12 05:00:02-03","US","US","209396","PreservedSpecimen","Plantae","Iridaceae","Sphenostigma","caerulea","Sphenostigma caerulea","Klatt",NA,"A. F. Regnell","1217 III","South America - Neotropics","Brazil","Minas Gerais",NA,NA,NA,NA,NA,"US00092697","US00092697_01",NA,"Monocotyledonae","Liliales","Isotype","1859","10","1"
