"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","fieldNumber","individualCount","typeStatus","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","00942405","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","hexaphylla","Pavonia hexaphylla","(S.Moore) Krapov.","A. Krapovickas","P. I. Oliveira","445","1982","02","24","South America","Brazil","Mato Grosso","Barra do Garças","Barra de Garça, 5 km N.","-52.2567","-15.8903","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1036642' target='other'> <mi>dwc_moreinfo</mi></a>","NY00942405","NY00942405_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00942406","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","hexaphylla","Pavonia hexaphylla","(S.Moore) Krapov.","S. F. Smith","M. C. D. Macedo","5702","2001","01","30","South America","Brazil","Minas Gerais","Campina Verde","Campina Verde","-49.4864","-19.5358","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1036741' target='other'> <mi>dwc_moreinfo</mi></a>","NY00942406","NY00942406_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1114028","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","hexaphylla","Pavonia hexaphylla","(S.Moore) Krapov.","G. L. Esteves","G. G. Hatschbach","39448","1977","01","12","South America","Brazil","Bahia","Barreiras","Roda Velha","-44.99","-12.1531","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1257001' target='other'> <mi>dwc_moreinfo</mi></a>","NY01114028","NY01114028_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00942390","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","hexaphylla","Pavonia hexaphylla","(S.Moore) Krapov.","P. A. Fryxell","G. G. Hatschbach","23694","1970","02","17","South America","Brazil","Mato Grosso do Sul","Terenos","Terenos","-54.8603","-20.4422","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1035849' target='other'> <mi>dwc_moreinfo</mi></a>","NY00942390","NY00942390_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00942397","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","hexaphylla","Pavonia hexaphylla","(S.Moore) Krapov.","P. A. Fryxell","W. R. Anderson","9854","1973","05","06","South America","Brazil","Mato Grosso",NA,"Ca. 20 km (straight line) ENE of Barra do Garças","-52.07747","-15.81413","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1035958' target='other'> <mi>dwc_moreinfo</mi></a>","NY00942397","NY00942397_01","460","460",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00942402","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","hexaphylla","Pavonia hexaphylla","(S.Moore) Krapov.",NA,"A. Krapovickas","42755","1989","01","03","South America","Brazil","Minas Gerais",NA,"Itapagipe- MG-255.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1036303' target='other'> <mi>dwc_moreinfo</mi></a>","NY00942402","NY00942402_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00942400","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","hexaphylla","Pavonia hexaphylla","(S.Moore) Krapov.","P. A. Fryxell","A. D. de Andrade-Lima","58-3030","1958","04","09","South America","Brazil","Goiás","Aragarças","Próximo margem rio Araguaia.","-52.2506","-15.8978","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1036160' target='other'> <mi>dwc_moreinfo</mi></a>","NY00942400","NY00942400_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","407184","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","hexaphylla","Pavonia hexaphylla","(S.Moore) Krapov.","P. A. Fryxell","W. R. Anderson","36883","1972","03","09","South America","Brazil","Bahia","Barreiras","Espigao Mestre, ca. 10km N of Rio Roda Velha, ca. 100km WSW of Barreiras","-44.99","-12.15","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=322665' target='other'> <mi>dwc_moreinfo</mi></a>","NY00407184","NY00407184_01","800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00942393","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","hexaphylla","Pavonia hexaphylla","(S.Moore) Krapov.","P. A. Fryxell","G. G. Hatschbach","38024","1976","01","31","South America","Brazil","Goiás","Jaraguá","Rio das Almas","-49.3342","-15.7569","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1035902' target='other'> <mi>dwc_moreinfo</mi></a>","NY00942393","NY00942393_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00942395","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","hexaphylla","Pavonia hexaphylla","(S.Moore) Krapov.","P. A. Fryxell","H. S. Irwin","14974","1966","04","18","South America","Brazil","Goiás","Formosa","Serra do Morcêgo, Côrrego Estrema, 35 km N.E. of Formosa","-47.10261","-15.30964","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1035956' target='other'> <mi>dwc_moreinfo</mi></a>","NY00942395","NY00942395_01","800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
