"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","yearIdentified","maximumElevationInMeters","coordinatePrecision","geoFlag","class","infraspecificEpithet","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","typeStatus","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","1843326","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lychnophora","brunioides","Lychnophora brunioides","Mart.","J. Semir","W. R. Anderson","35749","1972","02","10","South America","Brazil","Minas Gerais","Serra do Espinhaço, summit of the Pico do Itambé","-43.3919444","-18.43185","2250","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2049975' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843326","NY01843326_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-06-29 11:29:18-03","UFRJ","RFA","674","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lychnophora","brunioides","Lychnophora brunioides","Mart.","P. Occhioni","P. Occhioni",NA,"1957","09","00",NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,"RFA10691",NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:34:55-03","EAO","IAN","123021","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Lychnophora","brunioides","Lychnophora brunioides","Mart.","Barroso, GM","Irwin, HS; Souza, R","11803","1966","01","19","Southern America","Brasil","Goiás","Campo and cerrado, sandstone summit, Serra Dourada, 20km SE of Goiás Velho.",NA,NA,"800",NA,"Shrub to ca. 2m tall. Infructescence dried. Wood voucher.","IAN123021",NA,NA,"1966","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:34:55-03","EAO","IAN","123083","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Lychnophora","brunioides","Lychnophora brunioides","Mart.","Barroso, GM","Irwin, HS; Grear Jr., JW; Grear Jr., JW","12916","1966","02","16","Southern America","Brasil","Goiás","Granitic mountain, ca. 20km W of Veadeiros.",NA,NA,"1000",NA,"Shrub ca. 1.5m tall. Heads magenta.","IAN123083",NA,NA,"1966","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:34:55-03","EAO","IAN","123131","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Lychnophora","brunioides","Lychnophora brunioides","Mart.","Barroso, GM","Irwin, HS; Grear Jr., JW; Grear Jr., JW","13646","1966","03","06","Southern America","Brasil","Goiás","Cerrado, ca. 8km S of Cristalina.",NA,NA,"1200",NA,"Shrub ca. 2m tall. Heads lavender-purple.","IAN123131",NA,NA,"1966","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-08 17:37:05-03","EAO","IAN","34686","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Lychnophora","brunioides","Lychnophora brunioides","Mart.",NA,"sc","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,"IAN034686",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-30 12:34:55-03","EAO","IAN","93625","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Lychnophora","brunioides","Lychnophora brunioides","Mart.",NA,"Glaziou, AFM","14966",NA,NA,NA,"Southern America","Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,"IAN093625",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-30 12:34:55-03","EAO","IAN","102495","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Lychnophora","brunioides","Lychnophora brunioides","Mart.","Barreto, M","Magalhães, MG","1582","1942","05","05","Southern America","Brasil","Minas Gerais","Campo. Alto do Pico do Itambé.","-43.3793983459473","-18.604700088501",NA,NA,"Arbusto de 1m de altura; flores violáceas. Muito frequente.","IAN102495",NA,"Serro",NA,NA,"37754","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:34:55-03","EAO","IAN","13920x","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Lychnophora","brunioides","Lychnophora brunioides","Mart.","Barreto, M","Magalhães, MG","1582","1942","05","05","Southern America","Brasil","Minas Gerais","Campo. Alto do Pico do Itambé.","-43.3793983459473","-18.604700088501",NA,NA,"Arbusto de 1m de altura; flores violáceas. Muito frequente.","IAN13920x",NA,"Serro",NA,NA,"37754","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-30 12:34:55-03","EAO","IAN","102494","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Lychnophora","brunioides","Lychnophora brunioides","Mart.","Barreto, M","Magalhães, MG","1581","1942","05","05","Southern America","Brasil","Minas Gerais","Campo, nas rochas areníticas. Alto do Pico do Itambé.","-43.3793983459473","-18.604700088501",NA,NA,"Arbusto de 1-1,50m de altura, isladas. Flor violácea. Pappus interna violácea e externa muito curto, somente 2 flores.","IAN102494",NA,"Serro",NA,NA,"37754","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-02-08 08:50:19-03","NBC","NL-BOTANY","L.3653717","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Lychnophora","brunioides","Lychnophora brunioides","Mart.",NA,"Glaziou AFM",NA,"1884","06","20","Southern America","Brazil",NA,"Aout de la Serra de Palmital. Bresil Niñas. *.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3653717 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3653717","NL-L3653717",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-11-04 11:01:55-03","ESALQ","ESA","117245","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Lychnophora","brunioides","Lychnophora brunioides",NA,"Loeuille, B.","Romão, G.O.; Latvis, M.; Gissi, D.S.","2543.0","2010","04","01",NA,"Brasil","Minas Gerais","Pico do Itambé, subida para o Pico; campo rupestre","-43.3067016601562","-18.465799331665",NA,NA,"Arbusto, 1m alt.; capítulos roxos.","ESA117245","ESA117245","Santo Antônio do Itambé",NA,NA,"19014","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-31 13:36:08-03","MN","R","15550","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lychnophora","brunioides","Lychnophora brunioides","Mart.",NA,"Glaziou, A.F.M.","14950","1884","02","25",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,"Plantas do Brasil Central","R000015550","R000015550_001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-01-14 15:24:08-03","MN","R","15554","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lychnophora","brunioides","Lychnophora brunioides var.affinis","Baker",NA,"Glaziou, A.F.M.",NA,"1895","10","04",NA,"Brasil","Goiás",NA,NA,NA,NA,NA,"Plantas do Brasil Central","R000015554","R000015554_001",NA,NA,NA,NA,NA,NA,"var.affinis",NA,NA,NA,NA,NA,NA,NA
"15","2020-08-10 12:05:31-03","UFPI","TEPB","2577","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lychnophora","brunioides","Lychnophora brunioides","Mart. Var. Brunioides",NA,"Gibbs, P.E",NA,"1977","05","18",NA,"Brasil","Minas Gerais","Cerca de 15Km E da cidade",NA,NA,NA,NA,"flor lilás Ambiente: Campo rupestre",NA,NA,"Lauras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-12-20 21:15:56-03","UFV","VIC","7082","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lychnophora","brunioides","Lychnophora brunioides","Mart.",NA,"Leitão Filho, H.F.; et al.","s.n.","1980","12","09",NA,"Brasil","Minas Gerais","Cerrado, próximo à cidade.","-44.999698638916","-21.2453002929688",NA,NA,"Arbusto, c.a. de 1,5 metros de altura; flores roxas; capítulos com 3 - 5 flores. Comum em campo rupestre.","VIC007082","VIC007082","Lavras",NA,NA,"20044","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-12-20 21:15:56-03","UFV","VIC","26685","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lychnophora","brunioides","Lychnophora brunioides","Mart.","Paula, C.C. de","Paula, C.C. de","s.n.","2002","07","15",NA,"Brasil","Minas Gerais","Área da Mina da Casa de Pedra / CSN, Afloramento rochoso.","-43.8577995300293","-20.4997005462646",NA,NA,"Saxícola, c.a. de 50 cm de altura; pétalas lilás.","VIC026685","VIC026685","Congonhas",NA,NA,"16368","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-01 16:24:32-03","UNICAMP","UEC","176402","S","Plantae","Magnoliopsida",NA,"Asteraceae","Lychnophora","brunioides","Lychnophora brunioides","Mart.","Loeuille, BFP","Romão, GO; Latvis, M; Gissi, DS","2543","2010","04","08",NA,"Brazil","Minas Gerais","Pico do Itambé, subida para o Pico","-43.348333","-18.395833",NA,NA,"Arbusto, 1m alt., capítulos roxos; Campo rupestre","UEC128412","UEC128412","Santo Antônio de Itambé","2012",NA,NA,NA,NA,NA,"12","-43.348333","-18.395833",NA,NA,NA,NA
"19","2021-03-01 16:24:32-03","UNICAMP","UEC","34761","S","Plantae","Magnoliopsida",NA,"Asteraceae","Lychnophora","brunioides","Lychnophora brunioides","Mart.","Semir, J","Furlan, A; Rossi, L; Hensold, N","23260","1982","04","05",NA,"Brazil","Minas Gerais","Subida ao Pico do Itambé","-43.35","-18.4","2050",NA,"Subarbusto 1.20m, flores roxas","UEC128411","UEC128411","Santo Antônio de Itambé","1992","2050",NA,NA,NA,NA,"11","-43.35","-18.4",NA,NA,NA,NA
