"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","coordinatePrecision","geoFlag","typeStatus","individualCount","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","02705668","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Marlierea","suaveolens","Marlierea suaveolens","Cambess.","M. F. Santos","791","2012","01","09","South America","Brazil","Rio de Janeiro","Casimiro de Abreu","Reserva Biolgoica União. T1, ramal da Trilha Principal, acesso pela Estrada da Macuca. No sub-bosque da baixada, na beira de curso d'agua.","-42.02617","-22.43636","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3005060' target='other'> <mi>dwc_moreinfo</mi></a>","NY02705668","NY02705668_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","615538","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Marlierea","suaveolens","Marlierea suaveolens","Cambess.","G. G. Hatschbach","16878","1967","08","03","South America","Brazil","Paraná","Campina Grande do Sul","Sitio do Belizário","-49.0553","-25.3058","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=308118' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615538","NY00615538_01","M. L. Kawasaki",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","615539","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Marlierea","suaveolens","Marlierea suaveolens","Cambess.","R. Reitz","2048","1954","08","20","South America","Brazil","Santa Catarina","Luis Alves","Braço Joaquim, Luis Alves, Itajaí","-48.941177","-26.748537","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=308119' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615539","NY00615539_01","C. M. D. E. Legrand","300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","615540","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Marlierea","suaveolens","Marlierea suaveolens","Cambess.","R. M. Klein","2055","1956","05","24","South America","Brazil","Santa Catarina","Luis Alves","Braço Joaquim, Luis Alves, Itajaí","-48.941177","-26.748537","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=308120' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615540","NY00615540_01","C. M. D. E. Legrand","300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","615537","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Marlierea","suaveolens","Marlierea suaveolens","Cambess.","G. Martinelli","12387","1988","04","26","South America","Brazil","Rio de Janeiro","Nova Friburgo","Nova Friburgo, Reserva Ecológica Municipal de Macaé de Cima, Nascente do Rio da Flores. Parc. 1A, microp. 1a","-42.05","-22","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=308122' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615537","NY00615537_01",NA,"1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","615536","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Marlierea","suaveolens","Marlierea suaveolens","Cambess.","S. de V. A. Pessôa","489","1989","08","30","South America","Brazil","Rio de Janeiro","Nova Friburgo","Nova Friburgo, Reserva Ecológica Municipal de Macaé de Cima, Sitio Sophronites","-42.05","-22","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=308121' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615536","NY00615536_01",NA,"1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-13 09:20:24-03","UFRJ","RFA","26154","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Marlierea","suaveolens","Marlierea suaveolens","Cambess.","A. Quinet","15/64","2001","01","13",NA,"Brasil","Rio de Janeiro","Magé","Distrito de Piabetá, Estrada do Matão.","-43.118889","-22.576111",NA,"Árvore. 5 m de altura, 37 cm de DAP, folha discolor verde, botões brancos, comum no local.","RFA42092",NA,"G. M. Barroso","300","300","2001","12","20","43º7'8''W","22º34'34''S",NA,NA,NA,NA,NA,NA
"8","2020-11-13 09:20:24-03","UFRJ","RFA","26182","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Marlierea","suaveolens","Marlierea suaveolens","Cambess.","A. Quinet","43/64","2001","01","15",NA,"Brasil","Rio de Janeiro","Magé","Distrito de Piabetá, Estrada do Matão.","-43.121667","-22.568889",NA,"Árvore, 3 m de altura, 19 cm de DAP, folha discolor verde, flor com botões verdes, comum no local.","RFA42090",NA,"G. M. Barroso","280","280","2001","12","20","43º7'18''W","22º34'8''S",NA,NA,NA,NA,NA,NA
"9","2020-02-08 10:06:43-03","NBC","NL-BOTANY","L.2521799","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Marlierea","suaveolens","Marlierea suaveolens","Cambess.","Vincent",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,"Mines Goraes - Rio Pardo.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2521799 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2521799","NL-L2521799",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"10","2020-11-04 11:14:42-03","ESALQ","ESA","109813","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Marlierea","suaveolens","Marlierea suaveolens",NA,"Souza, V.C.; Duarte, A.R.; Rando, J.G.; Ferreira, M.P.; et al.","29346.0",NA,NA,NA,NA,"Brasil","São Paulo","Sete Barras","Parque Estadual Carlos Botelho. Área do projeto Parcelas Permanentes","-47.9199981689453","-24.3799991607666",NA,NA,"ESA109813",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"34059","auto",NA,NA,NA
