"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","2240727","PreservedSpecimen","Plantae","Pteridophyta","Schizaeales","Anemiaceae","Anemia","espiritosantensis","Anemia espiritosantensis","Brade","T. E. Almeida","665","2007","02","08","South America","Brazil","Espírito Santo","Linhares","Reserva Florestal de Linhares (CVRD). Estrada Flamengo entre a sede e a Torre de Observação. mussununga e Floresta da Tabuleiro.","-40.0425","-19.155","30","60","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2667448' target='other'> <mi>dwc_moreinfo</mi></a>","NY02240727","NY02240727_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","2240728","PreservedSpecimen","Plantae","Pteridophyta","Schizaeales","Anemiaceae","Anemia","espiritosantensis","Anemia espiritosantensis","Brade","T. E. Almeida","677","2007","02","09","South America","Brazil","Espírito Santo","Linhares","Reserva Florestal de Linhares (CVRD). Estrada Gávea, córrego do Pau Atravessado.","-39.92997","-19.152","30","60","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2667449' target='other'> <mi>dwc_moreinfo</mi></a>","NY02240728","NY02240728_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","2240725","PreservedSpecimen","Plantae","Pteridophyta","Schizaeales","Anemiaceae","Anemia","espiritosantensis","Anemia espiritosantensis","Brade","T. E. Almeida","689","2007","02","09","South America","Brazil","Espírito Santo","Linhares","Reserva Florestal de Linhares (CVRD). Cruzamento das estrada Flamengo e Gávea. Mussununga.","-39.93697","-19.16503","30","60","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2667444' target='other'> <mi>dwc_moreinfo</mi></a>","NY02240725","NY02240725_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-01-10 18:17:05-03","UFJF","CESJ","72880","PreservedSpecimen","Plantae","Polypodiopsida",NA,"Anemiaceae","Anemia","x espiritosantensis","Anemia x espiritosantensis","Brade","C. Mynssen; J.M.A. Braga; L.C.S. Giordano; D. Folli","519","2003","12","04","América do Sul","Brasil","Espirito Santo","Linhares","Reserva Natural Vale do Rio Doce, Estrada do Flamengo Km 2","-40.070556","-19.151667",NA,NA,NA,NA,"CESJ072880",NA,"C.E. Jascone","2007","01","18","-40.070556","-19.151667",NA,NA,NA
"5","2021-02-11 17:21:44-03","UFPR","UPCB","93881","PreservedSpecimen","Plantae",NA,NA,"Schizaeaceae","Anemia","espiritosantensis","Anemia espiritosantensis","Brade.","Mynssen, C. M. | Braga, J. M. A. | Giordano, L. C. s. | Folli, D.","519","2003","12","04",NA,"Brasil","Espirito Santo","Linhares","Reserva Natural Vale do Rio Doce (Particular). Estrada do Flamengo Km 2.","-40.0722007751465","-19.3910999298096",NA,NA,NA,"Formando grande população na margebns da estrada, em formação de Tabuleiro.","UPCB0041745","UPCB0041745","Kjascone, C. E.","2007","01","18",NA,NA,"48094","auto",NA
"6","2011-08-17 13:55:00-03","MO","MOBOT","3628433","PreservedSpecimen","Plantae",NA,NA,"Anemiaceae","Anemia","espiritosantensis","Anemia espiritosantensis","Brade","Eric Schuettpelz|Jefferson Prado|Pedro B. Schwartsburd|George Yatskievych","Schuettpelz 1394","2010","1","12","South America","Brazil","Minas Gerais",NA,"Diamantina. Serra do Espinhaço: about 4 km N of Mendanha along unnamed road to Inhaí, near Rio Jequitinhonha.","-43.5341666","-18.0858333","705.00000000",NA,NA,NA,NA,NA,"J.T. Mickel",NA,NA,NA,NA,NA,NA,NA,"1"
"7","2020-07-10 09:49:21-03","MBML","MBML-HERBARIO","24256",NA,"Plantae",NA,NA,"Schizaeaceae","Anemia","espiritosantensis","Anemia espiritosantensis","Brade","L. Kollmann; et al","7782","2005","05","13",NA,"Brasil","Espírito Santo","Santa Teresa","Rio Saltinho","-40.506944","-19.936111",NA,NA,NA,"Erva na meia sombra.","MBML024256","MBML024256","C. E. Jascone/19-III-2007",NA,NA,NA,"40W30'25","19S56'10",NA,NA,NA
"8","2020-07-10 09:49:21-03","MBML","MBML-HERBARIO","54072",NA,"Plantae",NA,NA,"Schizaeaceae","Anemia","espiritosantensis","Anemia espiritosantensis","Brade","C. M. Mynssen; J.M.A. Braga, L.C.S. Giordano & D. Folli","519","2003","12","04",NA,"Brasil","Espírito Santo","Linhares","Reserva Natural Vale do Rio Doce (Particular). Estrada do Flamengo km 2","-40.070556","-19.151667",NA,NA,NA,"Formando grande população na margens da estrada, em formação de Tabuleiro","MBML054072","MBML054072","C.E.Jascone/18-01-2007",NA,NA,NA,"40W4'14","19S9'6",NA,NA,NA
"9","2021-02-25 10:13:29-03","CVRD","CVRD","12218","PreservedSpecimen","Plantae","Pteridophyta",NA,"Anemiaceae","Anemia","cf. espiritosantensis","Anemia cf. espiritosantensis","Brade","Almeida, T.E.","665","2007","02","08","América do Sul","BRASIL","ES","Linhares","Estr. Flamengo entre a sede e a Torre de Observação. Mussununga e Floresta de Tabuleiro","-40.0425","-19.155","30","60",NA,"Terrestre na borda de mata, beira de estrada. Próximo a córrego na Mussununga <ll>dwc_commonname:</ll> Anemia do bosque","CVRD012218",NA,"T.E. Almeida & A. Salino, III/2007","2007","02","08","40°02'33,0W","19°09'18,0S",NA,NA,NA
"10","2021-02-25 10:13:29-03","CVRD","CVRD","12228","PreservedSpecimen","Plantae","Pteridophyta",NA,"Anemiaceae","Anemia","cf. espiritosantensis","Anemia cf. espiritosantensis","Brade","Almeida, T.E.","689","2007","02","09","América do Sul","BRASIL","ES","Linhares","Cruzamento das estr. do Flamengo e Gávea. Mussununga","-39.936139","-19.165028","30","60",NA,"Terrestre na beira de estrada, em Mussununga. Na estrada Gávea <ll>dwc_commonname:</ll> Anemia do bosque","CVRD012228",NA,"T.E. Almeida & A. Salino, III/2007","2007","02","09","39°56'10,1W","19°09'54,1S",NA,NA,NA
"11","2021-02-25 10:13:29-03","CVRD","CVRD","12221","PreservedSpecimen","Plantae","Pteridophyta",NA,"Anemiaceae","Anemia","cf. espiritosantensis","Anemia cf. espiritosantensis","Brade","Almeida, T.E.","677","2007","02","09","América do Sul","BRASIL","ES","Linhares","Estr. Gávea, córrego do Pau Atravessado. Várzea periodicamente alagável e Floresta de Tabuleiro","-39.929972","-19.152","30","60",NA,"Terrestre, na beira da estrada, em área sombreada. Mussununga <ll>dwc_commonname:</ll> Anemia do bosque","CVRD012221",NA,"T.E. Almeida & A. Salino, III/2007","2007","02","09","39°55'47,9W","19°09'07,2S",NA,NA,NA
"12","2021-02-25 10:13:29-03","CVRD","CVRD","12311","PreservedSpecimen","Plantae","Pteridophyta",NA,"Anemiaceae","Anemia","cf. espiritosantensis","Anemia cf. espiritosantensis","Brade","Almeida, T.E.","727","2007","02","13","América do Sul","BRASIL","ES","Linhares","Estr. Paraju. Floresta de Tabuleiro","-39.895806","-19.148167","30","60",NA,"Terrestre à beira de estrada no interior de mata <ll>dwc_commonname:</ll> Anemia do bosque","CVRD012311",NA,"T.E. Almeida & A. Salino, III/2007","2007","02","12","39°53'44,9W","19°08'53,4S",NA,NA,NA
"13","2019-12-19 16:18:50-03","UFMG","BHCB-SL","85057","PreservedSpecimen","Plantae",NA,NA,"Anemiaceae","Anemia","espiritosantensis","Anemia espiritosantensis","Brade","Salino, A; Mota, RC; Mota, NFO; Melo, PHA","8977","2003","10","04","América","Brasil","Minas Gerais","Bandeira","Mata do Boi Rajado, A ca. 14 km da sede de Bandeira, na divisa com a Bahia. Floresta Ombrófila Densa Submontana.","-40.516611","-15.805194","620","800",NA,"Barranco beira de estrada.",NA,NA,"Salino, A",NA,NA,NA,"-40.516611","-15.805194",NA,NA,NA
"14","2019-11-07 11:13:45-03","UFMG","BHCB-SL","150054","PreservedSpecimen","Plantae",NA,NA,"Anemiaceae","Anemia","espiritosantensis","Anemia espiritosantensis","Brade","Salino, A; Lopes, RR; Martins, ER; Mangueira, JR","15054","2011","04","15","América","Brasil","Espírito Santo","Linhares","Reserva Natural da Vale","-39.978889","-19.15","61","61",NA,NA,NA,NA,"Salino, A","2011","04","15","-39.978889","-19.15",NA,NA,NA
"15","2019-11-07 11:13:45-03","UFMG","BHCB-SL","141410","PreservedSpecimen","Plantae",NA,NA,"Anemiaceae","Anemia","espiritosantensis","Anemia espiritosantensis","Brade","Salino, A; Almeida, TE; Heringer, G; Souza, FF; Ramalho, AJ","14919","2010","06","12","América","Brasil","Espírito Santo","Cariacica","Reserva Biológica de Duas Bocas, Floresta Ombrófila Densa","-40.487056","-20.303861","425","425",NA,"Terrestre, em barranco à beira de estrada e borda de floresta",NA,NA,"Salino, A","2010","06","12","-40.487056","-20.303861",NA,NA,NA
"16","2019-11-07 11:13:45-03","UFMG","BHCB-SL","134880","PreservedSpecimen","Plantae",NA,NA,"Anemiaceae","Anemia","espiritosantensis","Anemia espiritosantensis","Brade","Almeida, TE; Souza, DT; Gontijo, FD","2139","2009","12","08","América","Brasil","Minas Gerais","Caratinga","Margens do rio Manhuaçu, Floresta Estacional Semidecidual","-41.785583","-19.794639","390","390",NA,"Erva terrestre no interior de floresta",NA,NA,"Almeida, TE","2010","11","20","-41.785583","-19.794639",NA,NA,NA
"17","2019-11-07 11:13:45-03","UFMG","BHCB-SL","133966","PreservedSpecimen","Plantae",NA,NA,"Anemiaceae","Anemia","espiritosantensis","Anemia espiritosantensis","Brade","Salino, A; Viveros, RS","14612","2009","10","28","América","Brasil","Espírito Santo","Cachoeiro do Itapemirim","Floresta Nacional de Pacotuba","-41.296222","-20.753639","65","65",NA,NA,NA,NA,"Almeida, TE; Salino, A","2010","07",NA,"-41.296222","-20.753639",NA,NA,NA
"18","2019-11-07 11:13:45-03","UFMG","BHCB-SL","150032","PreservedSpecimen","Plantae",NA,NA,"Anemiaceae","Anemia","espiritosantensis","Anemia espiritosantensis","Brade","Salino, A; Martins, MV; Morokawa, R; Barreto, TE","15032","2011","04","14","América","Brasil","Espírito Santo","Linhares","Reserva Natural da Vale","-40.026944","-19.189444","40","40",NA,NA,NA,NA,"Salino, A","2011","04","14","-40.026944","-19.189444",NA,NA,NA
"19","2019-11-07 11:13:45-03","UFMG","BHCB-SL","134026","PreservedSpecimen","Plantae",NA,NA,"Anemiaceae","Anemia","espiritosantensis","Anemia espiritosantensis","Brade","Salino, A; Viveros, RS","14672","2009","10","30","América","Brasil","Espírito Santo","Rio Novo do Sul","Comunidade Couro do Monos","-40.89375","-20.837611","135","135",NA,NA,NA,NA,"Almeida, TE; Salino, A","2010","07",NA,"-40.89375","-20.837611",NA,NA,NA
"20","2019-11-07 11:13:45-03","UFMG","BHCB-SL","134886","PreservedSpecimen","Plantae",NA,NA,"Anemiaceae","Anemia","espiritosantensis","Anemia espiritosantensis","Brade","Almeida, TE; Souza, DT; Gontijo, FD","2145","2009","12","09","América","Brasil","Minas Gerais","Caratinga","Margens do rio Manhuaçu, Floresta Estacional Semidecidual","-41.786111","-19.796222","440","440",NA,"Erva terrestre em beira de estrada, no interior de floresta",NA,NA,"Almeida, TE","2009","12","09","-41.786111","-19.796222",NA,NA,NA
