"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","county","decimalLongitude","decimalLatitude","imagecode","identifiedBy","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","dayIdentified","relatedCatalogItem","typeStatus","fieldNumber","infraspecificEpithet","individualCount"
"1","2020-09-23 10:41:32-03","E","E","84285","PreservedSpecimen","Plantae","Melastomataceae","Miconia","dodecandra","Miconia dodecandra","Munhoz, C. & Rodrigues, N.","284","1995","07","26","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:93293","<a href=http://data.rbge.org.uk/herb/E00084285 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00084285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:41:32-03","E","E","274890","PreservedSpecimen","Plantae","Melastomataceae","Miconia","dodecandra","Miconia dodecandra","Howorth, R.","44","1999","06","01","W. Tropical South America","VE","herbarium specimen of unspecif","BGBASE:287632","<a href=http://data.rbge.org.uk/herb/E00274890 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00274890",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","3271657","PreservedSpecimen","Plantae","Melastomataceae","Miconia","dodecandra","Miconia dodecandra","K. D. Phelps","329","1948","01","27","South America","Venezuela","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3588278' target='other'> <mi>dwc_moreinfo</mi></a>","NY03271657","Magnoliophyta","Myrtales","Cogn.","Bolivar","Savanna, W slope of Uaipan","1400","1700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","3271576","PreservedSpecimen","Plantae","Melastomataceae","Miconia","dodecandra","Miconia dodecandra","A. Fuentes","6215","2003","11","16","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3588128' target='other'> <mi>dwc_moreinfo</mi></a>","NY03271576","Magnoliophyta","Myrtales","Cogn.","La Paz","Area Natural de Manejo Integrado Apolobamba, entre Paujeyuyo y Calzada. Bosque yungueno subandino inferior pluvial con oenocarpus bataua","1140","1140","Bautista Saavedra","-68.4822","-15.1283",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-30 23:51:00-03","NY","NYBG","2530342","PreservedSpecimen","Plantae","Melastomataceae","Miconia","dodecandra","Miconia dodecandra","A. Fernandez","18226","2001","12","14","South America","Venezuela","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2767857' target='other'> <mi>dwc_moreinfo</mi></a>","NY02530342","Magnoliophyta","Myrtales",NA,"Sucre","Península de Paria. Camino entre Las Melenas y Cerro Humo.","750","815","Mariño","-62.6311","10.6889","NY02530342_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","3271585","PreservedSpecimen","Plantae","Melastomataceae","Miconia","dodecandra","Miconia dodecandra","O. Buchtien","1709","1907","08","01","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3588193' target='other'> <mi>dwc_moreinfo</mi></a>","NY03271585","Magnoliophyta","Myrtales","Cogn.","La Paz","San Carlos, b. Mapiri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","3271609","PreservedSpecimen","Plantae","Melastomataceae","Miconia","dodecandra","Miconia dodecandra","L. J. Gillespie","2720","1989","12","16","South America","Guyana","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3588230' target='other'> <mi>dwc_moreinfo</mi></a>","NY03271609","Magnoliophyta","Myrtales","Cogn.","Cuyuni-Mazaruni","Maipuri Falls; Karowrieng River, ±10 km from mouth.","570","600",NA,"-60.23","5.68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","3271673","PreservedSpecimen","Plantae","Melastomataceae","Miconia","dodecandra","Miconia dodecandra","A. Fendler","399",NA,NA,NA,"South America","Venezuela","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3588294' target='other'> <mi>dwc_moreinfo</mi></a>","NY03271673","Magnoliophyta","Myrtales","Cogn.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","02514345","PreservedSpecimen","Plantae","Melastomataceae","Miconia","dodecandra","Miconia dodecandra","Collector unknown","337","2012","04","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2744225' target='other'> <mi>dwc_moreinfo</mi></a>","NY02514345","Magnoliophyta","Myrtales","Cogn.","São Paulo","Parque Ecológico Perequê. Início de trilha de Cachoeira, beira do riacho. Mata ciliar. Floresta Atlântica.",NA,NA,"Cubatao","-46.41589","-23.84697","NY02514345_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","3271581","PreservedSpecimen","Plantae","Melastomataceae","Miconia","dodecandra","Miconia dodecandra","H. H. Rusby","2293","1886","04","01","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3588189' target='other'> <mi>dwc_moreinfo</mi></a>","NY03271581","Magnoliophyta","Myrtales","Cogn.","La Paz","Mapiri","1524","1524",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","1722333","PreservedSpecimen","Plantae","Melastomataceae","Miconia","dodecandra","Miconia dodecandra","M. J. M. Christenhusz","2455","2003","02","21","South America","French Guiana","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1047003' target='other'> <mi>dwc_moreinfo</mi></a>","NY01722333","Magnoliophyta","Myrtales","Cogn.",NA,"Commune Montsinéry-Tonnégrande. Bagne des Annamites, km 15 along Route Départementale 5, near Rivière de Tonnégrande, path on whitesand dike, leadingto the ruins of the former prisons.",NA,NA,NA,"-52.48","4.8","NY01722333_01","F. A. Michelangeli",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2016-09-27 14:47:00-03","NY","NYBG","1596630","PreservedSpecimen","Plantae","Melastomataceae","Miconia","dodecandra","Miconia dodecandra","C. Ulloa Ulloa","1779","2010","05","30","South America","Ecuador","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1518321' target='other'> <mi>dwc_moreinfo</mi></a>","NY01596630","Magnoliophyta","Myrtales",NA,"Zamora-Chinchipe","Parque Nacional Podocarpus, entrada Bombuscaro, camino desde la entrada por el sendero Nogales.","1100",NA,NA,"-78.9633","-4.1103","NY01596630_01","F. A. Michelangeli",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","521537","PreservedSpecimen","Plantae","Melastomataceae","Miconia","dodecandra","Miconia dodecandra","A. H. Gentry","49394","1985","01","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=439073' target='other'> <mi>dwc_moreinfo</mi></a>","NY00521537","Magnoliophyta","Myrtales","Cogn.","São Paulo","SW edge of Ubatuba","100","100","Ubatuba","-45.0697","-23.4303","NY00521537_01","R. Goldenberg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","3271615","PreservedSpecimen","Plantae","Melastomataceae","Miconia","dodecandra","Miconia dodecandra","R. S. Cowan","1886","1962","02","18","South America","Guyana","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3588236' target='other'> <mi>dwc_moreinfo</mi></a>","NY03271615","Magnoliophyta","Myrtales","Cogn.","Potaro-Siparuni","Kaieteur Falls, Potaro Gorge","427","427",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
