"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","year","month","locality","decimalLongitude","decimalLatitude","day","county","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","class","relatedCatalogItem","dayIdentified","fieldNumber","individualCount"
"1","2016-09-26 23:50:00-03","NY","NYBG","01173115","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Linderniaceae","Lindernia","diffusa","Lindernia diffusa","D. Philcox","W. R. Anderson","10717","South America","Brazil","Pará","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1387004' target='other'> <mi>dwc_moreinfo</mi></a>","NY01173115","NY01173115_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01173119","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Linderniaceae","Lindernia","diffusa","Lindernia diffusa","D. A. Qualls","H. H. Rusby","1775","South America","Brazil","Rondônia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1387013' target='other'> <mi>dwc_moreinfo</mi></a>","NY01173119","NY01173119_01","(L.) Wettst.","1886","10","Falls of Madeira","-65.3465375","-10.7798649",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01173114","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Linderniaceae","Lindernia","diffusa","Lindernia diffusa","D. Philcox","G. T. Prance","3864","South America","Brazil","Amazonas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1317529' target='other'> <mi>dwc_moreinfo</mi></a>","NY01173114","NY01173114_01","(L.) Wettst.","1967","01","Cachoeira Baixa do Tarumã. Beside river, on sandy soil.","-60.0962609","-2.8743255","02","Manaus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-30 01:34:00-03","NY","NYBG","01173142","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Linderniaceae","Lindernia","diffusa","Lindernia diffusa","O. Kosovsky","T. B. Croat","62439","South America","Brazil","Acre","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1317510' target='other'> <mi>dwc_moreinfo</mi></a>","NY01173142","NY01173142_01",NA,"1986","08","Along rio Moa, upstream from its mouth at rio Juruá. Vicinity of International airport.","-72.6","-7.633333","21","Cruzeiro do Sul","150","150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01173117","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Linderniaceae","Lindernia","diffusa","Lindernia diffusa","D. Philcox","C. A. Cid Ferreira","1050","South America","Brazil","Pará","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1317525' target='other'> <mi>dwc_moreinfo</mi></a>","NY01173117","NY01173117_01","(L.) Wettst.","1980","06","Margem esquerda da estrada da cachoeira Porteira, paralela ao rio Trombetas, km 5. Terra firme, mata secundária, solo argiloso.","-57.0335162","-1.0460463","18","Oriximiná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-30 01:34:00-03","NY","NYBG","01173106","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Linderniaceae","Lindernia","diffusa","Lindernia diffusa","K. A. Vincent","W. C. Steward","141","South America","Brazil","Roraima","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1317527' target='other'> <mi>dwc_moreinfo</mi></a>","NY01173106","NY01173106_01",NA,"1977","11","Estrada Manaus-Boa Vista, between Mucajai & Boa Vista. On west side of Rio Branco opposite Serra Grande. Damp savanna on sand.",NA,NA,"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","499575","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Linderniaceae","Lindernia","diffusa","Lindernia diffusa","D. A. Qualls","G. H. H. Tate","1111","South America","Bolivia",NA,"sheet","Collected on the Ladew Expedition <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=556592' target='other'> <mi>dwc_moreinfo</mi></a>","NY00499575",NA,"(L.) Wettst.","1926","04","Ticunhuaya.",NA,NA,"20",NA,"1524.0","1524.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","499573","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Linderniaceae","Lindernia","diffusa","Lindernia diffusa","K. A. Vincent","T. C. Plowman","11562","South America","Peru","San Martín","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=556598' target='other'> <mi>dwc_moreinfo</mi></a>","NY00499573",NA,"(L.) Wettst.","1981","12","Distrito Tocache Nuevo. Hills behind Recreo La Charapita, ca. 3 km southeast of Tocache Nuevo on road to Tingo María.","-76.47","-8.2","20","Mariscal Cáceres","530","530",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01173108","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Linderniaceae","Lindernia","diffusa","Lindernia diffusa","K. A. Vincent","T. M. Sanaiotti","s.n.","South America","Brazil","Pará","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1386966' target='other'> <mi>dwc_moreinfo</mi></a>","NY01173108","NY01173108_01 NY01173108_02","(L.) Wettst.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01173116","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Linderniaceae","Lindernia","diffusa","Lindernia diffusa","D. Philcox","G. T. Prance","11274","South America","Brazil","Amazonas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1317523' target='other'> <mi>dwc_moreinfo</mi></a>","NY01173116","NY01173116_01","(L.) Wettst.","1971","04","Lower Rio Negro - INPA flutuante.","-60.025","-3.10194","01","Manaus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
