"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","occurrenceRemarks","recordNumber","minimumElevationInMeters","maximumElevationInMeters","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","infraspecificEpithet","typeStatus","class","relatedCatalogItem","individualCount","fieldNumber","sex"
"1","2021-04-05 14:26:00-03","UNESC","CRI","14554","PreservedSpecimen","Plantae","Rubiaceae","Coffea","arabica","Coffea arabica","L.","Custódio, S. Z.","2012","08","27","Padilha, P. T.; Ceron, K. & Santos, R.","2012","06","28","Brasil","Santa Catarina","Criciúma","Morro do Céu","-49.370278","-28.678333","49º22'13''W","28º40'42''S","CRI013857","CRI013857",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:26:00-03","UNESC","CRI","12608","PreservedSpecimen","Plantae","Rubiaceae","Coffea","arabica","Coffea arabica","L.","Aline Votri Guislon","2017","09","11","Alexandre Medeiros","2017","07","19","Brasil","Santa Catarina","Balneário Camboriú","Praia da Barra.","-48.595556","-27.006111","48º35'44''W","27º0'22''S","CRI010815","CRI010815","Coleta 493.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:34:03-03","UNESC","CRI","408","PreservedSpecimen","Plantae","Rubiaceae","Coffea","arabica","Coffea arabica","L.","Jane Bento Knabben",NA,NA,NA,"Angela","1986","10","23","Brasil","Santa Catarina","Criciúma",NA,"-49.37","-28.678056","49º22'12''W","28º40'41''S","CRI009004","CRI009004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:34:03-03","UNESC","CRI","3512","PreservedSpecimen","Plantae","Rubiaceae","Coffea","arabica","Coffea arabica","L.","Piero Delprete","1995","01","02","R. dos Santos","1994","09","22","Brasil","Santa Catarina","Santa Rosa do Sul",NA,"-49.700278","-29.136667","49º42'1''W","29º8'12''S","CRI009003","CRI009003",NA,"121",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:34:03-03","UNESC","CRI","6992","PreservedSpecimen","Plantae","Rubiaceae","Coffea","arabica","Coffea arabica","L.","Andressa Biava",NA,NA,NA,"Andressa Biava; Enilda Sebastiana e Marlete Borges","1999","10","16","Brasil","Santa Catarina","Criciúma",NA,"-49.37","-28.678056","49º22'12''W","28º40'41''S","CRI009001","CRI009001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:34:03-03","UNESC","CRI","4509","PreservedSpecimen","Plantae","Rubiaceae","Coffea","arabica","Coffea arabica","L.","Elaine T. G. Carvalho",NA,NA,NA,"E. T. G. Carvalho",NA,NA,NA,"Brasil","Santa Catarina","Araranguá",NA,"-49.486111","-28.935278","49º29'10''W","28º56'7''S","CRI009006","CRI009006",NA,NA,"4","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:43:11-03","E","E","85615","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","sclerocalyx","Rudgea sclerocalyx",NA,NA,NA,NA,NA,"Spruce, R.",NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,NA,"E00085615",NA,"<a href=http://data.rbge.org.uk/herb/E00085615 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","1655",NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:94948",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-23 10:43:11-03","E","E","85614","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","sclerocalyx","Rudgea sclerocalyx",NA,NA,NA,NA,NA,"Spruce, R.",NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,NA,"E00085614",NA,"<a href=http://data.rbge.org.uk/herb/E00085614 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","1902",NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:94949",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-09-23 10:43:11-03","E","E","85613","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","sclerocalyx","Rudgea sclerocalyx",NA,NA,NA,NA,NA,"Spruce, R.",NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,NA,"E00085613",NA,"<a href=http://data.rbge.org.uk/herb/E00085613 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","1723",NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:94950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-09-23 10:43:11-03","E","E","85612","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","sclerocalyx","Rudgea sclerocalyx",NA,NA,NA,NA,NA,"Spruce, R.","1905","01","25","BR",NA,NA,NA,NA,NA,NA,NA,"E00085612",NA,"<a href=http://data.rbge.org.uk/herb/E00085612 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","2477",NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:94951",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-09-23 10:43:11-03","E","E","85610","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","sclerocalyx","Rudgea sclerocalyx",NA,NA,NA,NA,NA,"Spruce, R.","1905","01","26","BR",NA,NA,NA,NA,NA,NA,NA,"E00085610",NA,"<a href=http://data.rbge.org.uk/herb/E00085610 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","3282",NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:94953",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","949397","PreservedSpecimen","Plantae","Rubiaceae","Coffea","arabica","Coffea arabica","L.",NA,NA,NA,NA,"H. C. Cutler","1944","08","12","Brazil","Ceará","Quixeramobim","Near Belem do Machado. About 50 km. west of Caninde.","-39.2928","-5.1994",NA,NA,"NY00949397","NY00949397_01","Coffee from a planting about 80 years old. This is of some historic interest because some of the stock for the large coffee plantings of the state of Sao Paulo is reported to have come from Ceara. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1026411' target='other'> <mi>dwc_moreinfo</mi></a>","8204","420","420","South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","632451","PreservedSpecimen","Plantae","Rubiaceae","Coffea","arabica","Coffea arabica","L.","P. G. Delprete",NA,NA,NA,"F. M. O. Villarouco","1996","01","08","Brazil","Pernambuco","Sao Vicente Ferrer","Mata do Estado","-35.5","-7.58333333",NA,NA,"NY00632451","NY00632451_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=16658' target='other'> <mi>dwc_moreinfo</mi></a>","163","600","600","South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","00907171","PreservedSpecimen","Plantae","Rubiaceae","Coffea","arabica","Coffea arabica","L.","P. G. Delprete",NA,NA,NA,"A. Barbosa","1974","04","04","Brazil","Goiás","Goiânia","Quintal casa 33. Rua 133 setor Universitário","-49.2539","-16.6786",NA,NA,"NY00907171","NY00907171_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=984770' target='other'> <mi>dwc_moreinfo</mi></a>","s.n.",NA,NA,"South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2016-09-27 14:03:00-03","NY","NYBG","01157579","PreservedSpecimen","Plantae","Rubiaceae","Coffea","arabica","Coffea arabica",NA,"B. M. Boom",NA,NA,NA,"B. C. Bennett","1989","07","29","Ecuador","Napo",NA,"Playa along Rio Napo, ca 20km W of Puerto Napo, S side of Rio Napo, Road to Jatun Sacha Biol. Station.","-77.65","-1.05",NA,NA,"NY01157579",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=16650' target='other'> <mi>dwc_moreinfo</mi></a>","3889","400","400","South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2017-06-21 11:38:00-03","NY","NYBG","01157577","PreservedSpecimen","Plantae","Rubiaceae","Coffea","arabica","Coffea arabica",NA,"B. M. Boom",NA,NA,NA,"B. C. Bennett","1989","08","07","Ecuador","Napo",NA,"Jatun Sacha Biological Station","-77.6","-1.07",NA,NA,"NY01157577","NY01157577_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=16651' target='other'> <mi>dwc_moreinfo</mi></a>","3965","400","400","South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","01240735","PreservedSpecimen","Plantae","Rubiaceae","Coffea","arabica","Coffea arabica","L.","A. P. Davis",NA,NA,NA,"W. W. Thomas","2002","11","04","Brazil","Bahia","Uruçuca","Uruçuca, Escola Média de Agropecuária Regional da CEPLAC (EMARC), Reserva Florestal Gregorio Bondar","-39.27","-14.6",NA,NA,"NY01240735","NY01240735_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=676379' target='other'> <mi>dwc_moreinfo</mi></a>","13311",NA,NA,"South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","887168","PreservedSpecimen","Plantae","Rubiaceae","Coffea","arabica","Coffea arabica","L.","C. D. Rennó",NA,NA,NA,"D. S. Silva","1986","09","19","Brazil","São Paulo","Jacareí","Mata da Escola Técnica Agrícola Cônego José Bento","-45.96","-23.3",NA,NA,"NY00887168","NY00887168_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1085310' target='other'> <mi>dwc_moreinfo</mi></a>","34",NA,NA,"South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","813717","PreservedSpecimen","Plantae","Rubiaceae","Coffea","arabica","Coffea arabica","L.","G. Eiten",NA,NA,NA,"G. Eiten","1961","06","22","Brazil","São Paulo","Sao Carlos","Fazenda Canchim, 8 km NE of city of São Carlos.","-47.8897","-22.0103",NA,NA,"NY00813717","NY00813717_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=806858' target='other'> <mi>dwc_moreinfo</mi></a>","3185",NA,NA,"South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
