"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","year","month","day","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","minimumElevationInMeters","geoFlag","identifiedBy","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","class","yearIdentified","monthIdentified","dayIdentified","fieldNumber","infraspecificEpithet","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","404903","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","curvato-petiolata","Eugenia curvato-petiolata","Kiaersk.","isotype","A. F. M. Glaziou","13889","South America","Brazil","Rio de Janeiro","sheet","donné par Mme Simard, sa fille, en 1907 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=561397' target='other'> <mi>dwc_moreinfo</mi></a>","NY00404903","NY00404903_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1921340","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","curvatopetiolata","Eugenia curvatopetiolata","Kiaersk.",NA,"H. C. de Lima","3587","South America","Brazil","Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2271723' target='other'> <mi>dwc_moreinfo</mi></a>","NY01921340","NY01921340_01","1989","06","06","Nova Friburgo","Reserva Ecológica Municipal de Macaé de Cima, próx. ao Sítio Fazenda Velha, margens do rio Macaé.","-42.5311012268066","-22.2819004058838","33190","1100","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1921339","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","curvatopetiolata","Eugenia curvatopetiolata","Kiaersk.",NA,"H. C. de Lima","3587","South America","Brazil","Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2271722' target='other'> <mi>dwc_moreinfo</mi></a>","NY01921339","NY01921339_01","1989","06","06","Nova Friburgo","Reserva Ecológica Municipal de Macaé de Cima, próx. ao Sítio Fazenda Velha, margens do rio Macaé.","-42.5311012268066","-22.2819004058838","33190","1100","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","594881","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","dodonaeifolia","Eugenia dodonaeifolia","Cambess.",NA,"P. K. H. Dusén","13135","South America","Brazil","Paraná","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479699' target='other'> <mi>dwc_moreinfo</mi></a>","NY00594881",NA,"1911","10","07","Jaguariaíva","Jaguariahyva","-49.713647","-24.340602",NA,NA,NA,"M. Sobral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00907563","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","dodonaeifolia","Eugenia dodonaeifolia","Cambess.",NA,"Y. E. J. Mexia","4688","South America","Brazil","Minas Gerais","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986224' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907563","NY00907563_01","1930","05","12","Viçosa","Viçosa. Fazenda do Deserto; Buraco Frio","-42.8817","-20.7542",NA,"700",NA,"B. K. Holst","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","579922","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","dodonaeifolia","Eugenia dodonaeifolia","Cambess.",NA,"G. Jönsson","494a","South America","Brazil","Paraná","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=66244' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579922","NY00579922_01","1914","06","02","Jaguariaíva","Jaguariahyva opp.","-49.713647","-24.340602",NA,"740",NA,"B. K. Holst","740",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00907562","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","dodonaeifolia","Eugenia dodonaeifolia","Cambess.",NA,"H. S. Irwin","28001","South America","Brazil","Minas Gerais","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986221' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907562","NY00907562_01","1970","03","21",NA,"Serra do Espinhaço, Rio Jequití, ca. 25 km E. of Diamantina","-43.50795","-18.1448",NA,"790",NA,"B. K. Holst","790",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00907564","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","dodonaeifolia","Eugenia dodonaeifolia","Cambess.",NA,"Y. E. J. Mexia","5066","South America","Brazil","Minas Gerais","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986234' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907564","NY00907564_01","1930","09","19","Viçosa","Viçosa. Fazenda de Aguada; slope above ranch","-42.8817","-20.7542",NA,"700",NA,"P. C. Standley","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","533267","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","dodonaeifolia","Eugenia dodonaeifolia","Cambess.",NA,"F. C. Hoehne","SP28417","South America","Brazil","São Paulo","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=66243' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533267","NY00533267_01","1931","10","30","Sao Paulo","Sao Paulo, nativa no Parque do Estado e Jardim Botânico.","-46.621883","-23.654505",NA,NA,NA,"M. L. Kawasaki",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02532158","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","dodonaeifolia","Eugenia dodonaeifolia","Cambess.",NA,"M. F. d. Santos","590","South America","Brazil","Minas Gerais","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2823135' target='other'> <mi>dwc_moreinfo</mi></a>","NY02532158","NY02532158_01","2010","11","18","Diamantina","Parque Estadual do Biribiri. Trilha para o alto da Cachoeira da Sentinela, na beira da trilha. Campo rupestre, proximo ao curso d'agua.","-43.60792","-18.21581",NA,"1227",NA,"M. Sobral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
