"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","scientificNameAuthorship","yearIdentified","typeStatus","barcode","imagecode","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters"
"1","2020-07-23 12:11:51-03","CEPLAC","CEPEC","84486","PreservedSpecimen","Plantae","Malpighiaceae","Stigmaphyllon","carautae","Stigmaphyllon carautae","R.F.Almeida","P. L. Krieger","18435","1981","07","16","Brasil","Minas Gerais","araçaí","Terra revolvida d emineração.","-44.2481002807617","-19.198600769043","15819","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-02-23 13:22:40-03","MN","R-TIPOS","145660","PreservedSpecimen","Plantae","Malpighiaceae","Stigmaphyllon","carautae","Stigmaphyllon carautae","Amorim,A.","Carauta, J.P.P.; Somner, G.V.; Silva, J.G. & Oliveira, C.A.L.","4309","1982","06","08","Brasil","Rio de Janeiro","Bom Jesus do Itabapoana","Fazenda do Dr. Colombino","-41.6796989440918","-21.1338996887207","30210","auto","C.E. Anderson","1999","Isotypus","R000145660","R000145660_001",NA,NA,NA,NA
"3","2019-11-21 10:09:12-03","IBt","SP","472090","S","Plantae","Malpighiaceae","Stigmaphyllon","carautae","Stigmaphyllon carautae",NA,"Mansano, VF; Marquete, R","06-337","2006","12","06","Brasil","Rio de Janeiro","Resende",NA,"-44.447222","-20.346111",NA,NA,"C.E.Anderson",NA,NA,"SP031277","SP031277","-44.447222","-20.346111","485","485"
