"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","stateProvince","county","typeStatus","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","03195515","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Thelypteridaceae","Meniscium","macrophyllum","Meniscium macrophyllum","Kunze","R. S. Fernandes","B. Maguire","54343","1963","07","26","South America","Suriname","Hills 3 km south of Juliana Top, 12 km north of Lucie River.","-56.533","3.642","300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3459954' target='other'> <mi>dwc_moreinfo</mi></a>","NY03195515","NY03195515_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","3195517","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Thelypteridaceae","Meniscium","macrophyllum","Meniscium macrophyllum","Kunze","R. S. Fernandes","H. H. van der Werff","12956","1993","08","11","South America","French Guiana","Eau Claire, near Saul.",NA,NA,"200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3459966' target='other'> <mi>dwc_moreinfo</mi></a>","NY03195517",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","3195516","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Thelypteridaceae","Meniscium","macrophyllum","Meniscium macrophyllum","Kunze","R. S. Fernandes","H. H. van der Werff","12956","1993","08","11","South America","French Guiana","Eau Claire, near Saul.",NA,NA,"200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3459962' target='other'> <mi>dwc_moreinfo</mi></a>","NY03195516",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","03195519","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Thelypteridaceae","Meniscium","macrophyllum","Meniscium macrophyllum","Kunze","R. S. Fernandes","R. Vásquez Martínez","22327","1997","01","26","South America","Peru","Distrito El Cenepa, Comunidad de Mamayaque, Río Cenepa, Quebrada Saasa.","-78.1944","-4.5278","300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3460048' target='other'> <mi>dwc_moreinfo</mi></a>","NY03195519",NA,"Amazonas","Condorcanqui",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","99427","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Thelypteridaceae","Meniscium","macrophyllum","Meniscium macrophyllum","Kunze","Unspecified Determiner","Martii Herbar. Florae Brasil.","363",NA,NA,NA,"South America","Brazil","Serra do Mas prope Ilheos",NA,NA,NA,"sheet","The 1839 on the label is probably NOT the Collection Year. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=638588' target='other'> <mi>dwc_moreinfo</mi></a>","NY00099427","NY00099427_01",NA,NA,"isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","4032417","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Thelypteridaceae","Thelypteris","macrophylla","Thelypteris macrophylla","(Kunze) C.V.Morton",NA,"G. S. Jenman","s.n.",NA,NA,NA,"South America","Guyana","Barima River. British Guiana.",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4336464' target='other'> <mi>dwc_moreinfo</mi></a>","NY04032417",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","4032424","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Thelypteridaceae","Thelypteris","macrophylla","Thelypteris macrophylla","(Kunze) C.V.Morton",NA,"N. L. Britton","2142","1921","03","06","South America","Trinidad and Tobago","Trinidad. Forest, Brazil",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4336471' target='other'> <mi>dwc_moreinfo</mi></a>","NY04032424",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1016573","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Thelypteridaceae","Thelypteris","macrophylla","Thelypteris macrophylla","(Kunze) C.V.Morton","A. Salino","W. W. Thomas","11971","1999","02","05","South America","Brazil","Parque Nacional Monte Pascoal, along road from entrance to visitor's center and road to E side of park.","-39.415","-16.86722222","50","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=337067' target='other'> <mi>dwc_moreinfo</mi></a>","NY01016573","NY01016573_01","Bahia","Porto Seguro",NA,"50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","4032423","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Thelypteridaceae","Thelypteris","macrophylla","Thelypteris macrophylla","(Kunze) C.V.Morton",NA,"T. D. McDowell","3469","1990","10","10","South America","Guyana","Ridge of Eagle Mountain, near trail of Golden Star, upper plateau to ridge.","-59.12","5.2","304","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4336470' target='other'> <mi>dwc_moreinfo</mi></a>","NY04032423",NA,"Potaro-Siparuni",NA,NA,"685",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02111142","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Thelypteridaceae","Thelypteris","macrophylla","Thelypteris macrophylla","(Kunze) C.V.Morton","J. T. Mickel","M. A. Baker","6910","1986","04","08","South America","Ecuador","Reserva El Chuncho, 1 k al oeste del Rio Payamino, NW del Coca","-77.02","-0.45","280","sheet","Programa Nacional Forestal - MAG; Herbarios QAME-QCNE-MO-NY; ayuda de USAID. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1460662' target='other'> <mi>dwc_moreinfo</mi></a>","NY02111142","NY02111142_01","Napo",NA,NA,"280",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
