"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","minimumElevationInMeters","maximumElevationInMeters","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","stateProvince","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","phylum","order","scientificNameAuthorship","identifiedBy","imagecode","county","infraspecificEpithet","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","individualCount","fieldNumber","sex"
"1","2020-09-23 10:36:01-03","E","E","247984","PreservedSpecimen","Plantae","Anacardiaceae","Spondias","mombin","Spondias mombin","Smith, Herbert H.","912","1905","03","12","W. Tropical South America","CO","762","762","herbarium specimen of unspecif","BGBASE:278027","<a href=http://data.rbge.org.uk/herb/E00247984 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00247984",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:36:01-03","E","E","212659","PreservedSpecimen","Plantae","Anacardiaceae","Spondias","mombin","Spondias mombin","Ratter, J.A.; Rocha, M.P. & de Castro, R.A.",NA,"1980","09","12","E. Tropical South America","BR",NA,NA,"herbarium specimen of unspecif","BGBASE:227598","<a href=http://data.rbge.org.uk/herb/E00212659 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00212659","Goias","Ilha do Bananal, Parque Nacional do Araguaia (IBDF), near HQ (c. 2 km from Macauba, approx.)","-50.5","-10.5","-50.500000","-10.500000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","867420","PreservedSpecimen","Plantae","Anacardiaceae","Spondias","mombin","Spondias mombin","B. W. Nelson","749","1980","10","19","South America","Brazil",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=632487' target='other'> <mi>dwc_moreinfo</mi></a>","NY00867420","Acre","Quixadá. 30 km abaixo de Rio Branco ao longo do Rio Acre.","-67.83","-10",NA,NA,"Magnoliophyta","Sapindales","L.","J. D. Mitchell","NY00867420_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00981346","PreservedSpecimen","Plantae","Anacardiaceae","Spondias","mombin","Spondias mombin","G. Pereira-Silva","5575","2001","10","16","South America","Brazil","320","320","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1098550' target='other'> <mi>dwc_moreinfo</mi></a>","NY00981346","Goiás","Margem direita do rio Bonito, fazenda do Sr. Zezinho do açougue. Area de infuencia da futura Hidrelétrica de Cana Brava, influência direta (lago)","-48.1942","-13.5094",NA,NA,"Magnoliophyta","Sapindales","L.","G. Pereira-Silva","NY00981346_01","Minaçú",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1030817","PreservedSpecimen","Plantae","Anacardiaceae","Spondias","mombin","Spondias mombin","B. A. S. Pereira","2046","1992","03","04","South America","Brazil",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1131134' target='other'> <mi>dwc_moreinfo</mi></a>","NY01030817","Goiás","Km 14 da rodovia Formosa/Salto do Itiquira.","-47.3342","-15.5372",NA,NA,"Magnoliophyta","Sapindales","L.","J. D. Mitchell","NY01030817_01","Formosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1030812","PreservedSpecimen","Plantae","Anacardiaceae","Spondias","mombin","Spondias mombin","M. Aparecida da Silva","3377","1997","10","09","South America","Brazil",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1131128' target='other'> <mi>dwc_moreinfo</mi></a>","NY01030812","Tocantins","Fazenda Palha entre Aurora do Tocantins e Combinado. Floresta Estacional.",NA,NA,NA,NA,"Magnoliophyta","Sapindales","L.","B. A. S. Pereira","NY01030812_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","195171","PreservedSpecimen","Plantae","Anacardiaceae","Spondias","mombin","Spondias mombin","W. L. Balée","2569","1986","06","14","South America","Brazil",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=632505' target='other'> <mi>dwc_moreinfo</mi></a>","NY00195171","Pará","Xingu River. Assurini Indians","-52.5854588","-7.2040035",NA,NA,"Magnoliophyta","Sapindales","L.",NA,"NY00195171_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","447439","PreservedSpecimen","Plantae","Anacardiaceae","Spondias","mombin","Spondias mombin","R. S. Pinheiro","33","1966","03","03","South America","Brazil",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=632490' target='other'> <mi>dwc_moreinfo</mi></a>","NY00447439","Bahia","Plantaçao de cacau.","-39.63","-14.7",NA,NA,"Magnoliophyta","Sapindales","L.","J. D. Mitchell","NY00447439_01","Almadina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1802183","PreservedSpecimen","Plantae","Anacardiaceae","Spondias","mombin","Spondias mombin","M. V. Stefano","251","2011","03","08","South America","Brazil",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1501371' target='other'> <mi>dwc_moreinfo</mi></a>","NY01802183","Rio de Janeiro","Jardim Botânico do Rio de Janeiro","-43.23","-22.9686",NA,NA,"Magnoliophyta","Sapindales","L.",NA,"NY01802183_01","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-29 16:23:00-03","NY","NYBG","41606","PreservedSpecimen","Plantae","Anacardiaceae","Spondias","mombin","Spondias mombin","B. C. Bennett","3711","1989","04","18","South America","Ecuador",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=632498' target='other'> <mi>dwc_moreinfo</mi></a>","NY00041606","Morona-Santiago","Centro Shuar Yukutais, chacras of Mario Kunkumas' brother.","-78.17","-3.5",NA,NA,"Magnoliophyta","Sapindales",NA,"B. C. Bennett",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
