"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","county","typeStatus","coordinatePrecision","geoFlag","individualCount","class","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","873240","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Billbergia","meyeri","Billbergia meyeri","Mez","L. B. Smith","H. S. Irwin","6835","1964","10","14","South America","Brazil","Mato Grosso","Ca. 50 km. N. of Barra do Garças, on rd. to Xavantina.","-52.22","-15.4","300","400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=953476' target='other'> <mi>dwc_moreinfo</mi></a>","NY00873240","NY00873240_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","873239","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Billbergia","meyeri","Billbergia meyeri","Mez",NA,"H. S. Irwin","6835","1964","10","14","South America","Brazil","Mato Grosso","Ca. 50 km. N. of Barra do Garças, on rd. to Xavantina.","-52.22","-15.4","300","400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=953473' target='other'> <mi>dwc_moreinfo</mi></a>","NY00873239","NY00873239_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","873238","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Billbergia","meyeri","Billbergia meyeri","Mez","L. B. Smith","H. S. Irwin","17037","1966","06","12","South America","Brazil","Mato Grosso","Ca. 20 km. S. of Xavantina. Drainage of the Upper Rio Araguaia.","-52.32","-14.82","400","400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=953451' target='other'> <mi>dwc_moreinfo</mi></a>","NY00873238","NY00873238_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","873241","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Billbergia","meyeri","Billbergia meyeri","Mez",NA,"H. S. Irwin","6835","1964","10","14","South America","Brazil","Mato Grosso","Ca. 50 km. N. of Barra do Garças, on rd. to Xavantina.","-52.22","-15.4","300","400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=953478' target='other'> <mi>dwc_moreinfo</mi></a>","NY00873241","NY00873241_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-08 17:44:51-03","EAO","IAN","36747","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Bromeliaceae","Billbergia","meyeri","Billbergia meyeri","Mez",NA,"Pilger, R","705",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,"IAN036747","IAN036747_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:51:40-03","EAO","IAN","77099","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Bromeliaceae","Billbergia","meyeri","Billbergia meyeri","Mez","Smith, LB","Black, GA; Cordeiro, E","15214","1952","06","20","Southern America","Brasil","Rondônia","Rio São Miguel, afluente do Guaporé, campo do Limoeiro.",NA,NA,NA,NA,NA,"Epífita; folha em mosaico; branco e verde-cinzento.","IAN077099",NA,"1960","07",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-01-14 15:25:46-03","MN","R","193491","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Billbergia","meyeri","Billbergia meyeri","Mez","Silva, B.R.","Silva, B.R.","105","1988","06","20",NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,"R010004967",NA,"1998","06","20","América Central",NA,NA,NA,NA,NA,NA,NA
"8","2016-02-02 14:37:51-02","BGBM","B","B 10 0244074","S","Plantae",NA,NA,"Bromeliaceae","Billbergia","meyeri","Billbergia meyeri","Mez",NA,"R. Pilger","705","1899","06","30","Middle and South America","Brazil",NA,"Mattogrosso, oberer Kuliseku (Culiseu).",NA,NA,NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100244074 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100244074","B100244074",NA,NA,NA,NA,"holotype",NA,NA,NA,NA,NA,NA
"9","2016-02-02 14:37:51-02","BGBM","B","B 10 0244075","S","Plantae",NA,NA,"Bromeliaceae","Billbergia","meyeri","Billbergia meyeri","Mez",NA,"R. Pilger","705","1899",NA,NA,"Middle and South America","Brazil",NA,"Mattogrosso.",NA,NA,NA,NA,NA,"Dr. Herm. Meyer: iter II. brasiliense <a href=http://herbarium.bgbm.org/object/B100244075 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100244075","B100244075",NA,NA,NA,NA,"isotype",NA,NA,NA,NA,NA,NA
"10","2020-12-21 16:19:20-03","MBM","MBM","412251","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Billbergia","meyeri","Billbergia meyeri","Mez","Engels, M.E.","Engels, M.E.","4705","2016","07","15","Southern America","Brazil","Mato Grosso","Resgate de Flora da UHE Colíder, Lote A de supressão.","-55.9530982971191","-10.5580997467041",NA,NA,NA,"Epífita. Folhas organizadas em um fino jarro. Folhas verdes escuras acastanhadas, maculadas de alvacento. Inflorescência pendente, com brácteas e bractéolas roseas. Flores com pétalas vináceas e cobertas por cera alva na face abaxial","MBM412251","MBM412251","2016","07","15","Nova Canaã do Norte",NA,"88792","auto",NA,NA,NA,NA
"11","2020-10-01 14:26:22-03","JBB","HEPH","20419","S","Plantae","Monocotyledon","Poales","Bromeliaceae","Billbergia","meyeri","Billbergia meyeri","Mez","Miranda, ZJG","Gonçalves, LR","s.n.","2000",NA,NA,"Southern America","Brasil","Distrito Federal","Estação Ecológica do Jardim Botânico de Brasília, Viveiro BAG número 341/342","-47.9296989440918","-15.7797002792358",NA,NA,NA,NA,NA,NA,"2006","10","27","Brasília",NA,"70570","auto",NA,NA,NA,NA
"12","2020-12-11 11:43:29-03","UFMG","BHCB","44056","PreservedSpecimen","Plantae","Monocotyledon",NA,"Bromeliaceae","Billbergia","meyeri","Billbergia meyeri","Mez",NA,"Vasconcelos, MF de","s.n.","1998","08","20","Southern America","Brasil","Minas Gerais","UHE Miranda.","-47.9169006347656","-19.0386009216309",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Indianópolis",NA,"30244","auto",NA,NA,NA,NA
"13","2015-10-25 20:39:00-02","MO","MOBOT","2909750","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Billbergia","meyeri","Billbergia meyeri","Mez",NA,"R. Pilger","Pilger 705","1899",NA,NA,"South America","Brazil","Mato Grosso","Mattogrosso. Filed Museum Type Photograph Negative 11340 of the specimen at B (destroyed).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2013-01-28 05:13:00-02","MO","MOBOT","942582","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Billbergia","meyeri","Billbergia meyeri","Mez","H. Luther (SEL)","René Guillén V.","Guillén Villarroel 1910","1994","6","17","South America","Bolivia","Santa Cruz","Campamento EL REFUGIO, a 1500 m al SE de la casa, yendo al empalme Río Tarbo Paraguá. Bosque ribereño pionero. Suelos arcillosos con presencia de arena.","-61.02861","-14.77944","150.00000000",NA,NA,NA,NA,NA,NA,NA,NA,"Velasco",NA,NA,NA,NA,NA,NA,NA
"15","2012-03-18 05:12:00-03","MO","MOBOT","965557","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Billbergia","meyeri","Billbergia meyeri","Mez","I. Ramirez (MO)","Fabiana Mamani M.","Mamani M. 899","1995","6","19","South America","Bolivia","Santa Cruz","Area de estudio del proyecto BOLFOR, Las Trancas-95. Bosque semideciduo, vegetación de fondo de valles húmedos.","-61.84638","-16.52027","450.00000000",NA,NA,NA,NA,NA,NA,NA,NA,"Nuflo de Chavez",NA,NA,NA,"1",NA,NA,NA
"16","2013-01-28 05:13:00-02","MO","MOBOT","967949","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Billbergia","meyeri","Billbergia meyeri","Mez","H.E. Luther (SEL)","René Guillén V.|F. Mayle|Pablo Solíz|Juan Surubí","Guillén Villarroel 4019","1995","8","17","South America","Bolivia","Santa Cruz","Parque Nacional Noel Kempff Mercado, Bella Vista, 27-32 km de la laguna Bella Vista hacia el aserradero Choré. Bosque húmedo, anegado temporalmente.","-61.38805","-13.73388","180.00000000",NA,NA,NA,NA,NA,NA,NA,NA,"Velasco",NA,NA,NA,"8",NA,NA,NA
"17","2020-09-12 05:00:02-03","US","US","1906424","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Billbergia","meyeri","Billbergia meyeri","Mez",NA,"M. B. Foster & R. Foster","1102","1940","9","29","South America - Neotropics","Brazil","São Paulo","Itapura, Rio Tiete.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Monocotyledonae",NA,NA
"18","2020-09-12 05:00:02-03","US","US","2829302","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Billbergia","meyeri","Billbergia meyeri","Mez",NA,"A. Krapovickas & A. Schinini","32214","1977","5","3","South America - Neotropics","Bolivia","Santa Cruz","Dep. Santa Cruz, prov. Ñuflo de Chavez. 20 Km W de Concepción, camino a S.Javier.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Monocotyledonae",NA,NA
"19","2020-09-12 05:00:02-03","US","US","2046571","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Billbergia","meyeri","Billbergia meyeri","Mez",NA,"A. Macedo","3223",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Monocotyledonae",NA,NA
"20","2020-09-02 16:22:25-03","Cenargen","CEN","28013","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Billbergia","meyeri","Billbergia meyeri","Mez","Z. J. G. Miranda","Bruno Machado Teles Walter","3376","1996","06","27",NA,"Brasil","GO","Estrada de terra da BR-153; Passando Pela Vila Água Branca; para a Fazenda Porteira Grande e Rio Maranhão.",NA,NA,"410","410","Exsicatas","Folhas verde-escuro com pintalgado de argênteo. Brácteas vermelho-claras. Filetes esverdeados. Sobre angico. Futuro reservatório do AHE Serra.","CEN00028013","CEN00028013","2001","09",NA,"URUACU",NA,NA,NA,"2",NA,"-4900000.0","-1438333.0"
