"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","locality","barcode","year","month","day","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag"
"1","2021-03-30 12:49:27-03","EAO","IAN","174252","PreservedSpecimen","Plantae","Dicotiledônea","Sapotaceae","Pouteria","brevensis","Pouteria brevensis","Pires","sc","s.n.","Southern America","Brasil","Q. 1-7-12. Q 3-2-3.","IAN174252",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-30 12:49:27-03","EAO","IAN","53599","PreservedSpecimen","Plantae","Dicotiledônea","Sapotaceae","Pouteria","brevensis","Pouteria brevensis","Pires","Black, GA","8231","Southern America","Brasil","Estrada para o campo de aviação.","IAN053599","1949","10","30","Amapá","Oiapoque","-51.8349990844727","3.84306001663208","254902","Árvore; flor esverdeada.","auto"
