"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","county","minimumElevationInMeters","maximumElevationInMeters","class","yearIdentified","monthIdentified","dayIdentified","relatedCatalogItem","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","typeStatus","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","00935882","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Annona","glaucophylla","Annona glaucophylla","R.E.Fr.","W. Morawetz; H. Rainer","G. C. G. Argent","6736","1967","10","12","South America","Brazil","Mato Grosso","Olaria, just S.W. of Xavantina","-52.23","-14.63","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1015257' target='other'> <mi>dwc_moreinfo</mi></a>","NY00935882","NY00935882_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00836212","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Annona","glaucophylla","Annona glaucophylla","R.E.Fr.","W. Morawetz; H. Rainer","G. G. Hatschbach","45860","1982","12","10","South America","Brazil","Mato Grosso do Sul","Amambai, arredores","-55.2256","-23.1044","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=920823' target='other'> <mi>dwc_moreinfo</mi></a>","NY00836212","NY00836212_01","Amambaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00836236","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Annona","glaucophylla","Annona glaucophylla","R.E.Fr.","W. Morawetz; H. Rainer","H. S. Irwin","6679","1964","10","09","South America","Brazil","Mato Grosso","Ca. 75 km. N. of Xavantina.","-52.3657","-13.585","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=920820' target='other'> <mi>dwc_moreinfo</mi></a>","NY00836236","NY00836236_01",NA,"300","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 09:38:17-03","NBC","NL-BOTANY","U.1071919","PreservedSpecimen","Plantae",NA,"Magnoliales","Annonaceae","Annona","glaucophylla","Annona glaucophylla","R.E.Fr.",NA,"Hatschbach GG",NA,"1971","01","24","Southern America","Brazil","Minas Gerais",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1071919 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1071919","NL-U1071919",NA,NA,NA,"Magnoliopsidae","1992","08","01","U 0144945",NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 09:38:17-03","NBC","NL-BOTANY","U.1071920","PreservedSpecimen","Plantae",NA,"Magnoliales","Annonaceae","Annona","glaucophylla","Annona glaucophylla","R.E.Fr.",NA,"Hatschbach GG",NA,"1982","12","10","Southern America","Brazil","Mato Grosso","Amambai arrededores, Mato Grosso do Sul",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1071920 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1071920","NL-U1071920",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,"U 0011073",NA,NA,NA,NA,NA,NA,NA
"6","2020-11-19 10:22:34-03","CPAP","CPAP","16296","PreserverdSpecimen","Plantae",NA,NA,"Annonaceae","Annona","glaucophylla","Annona glaucophylla","R.E.Fr.","R. M. Silva","Hatschbach, G.","63671","1995","10","20",NA,"Brasil","MT","Rodovia Chapada dos Guimarães a Água Fria, km 30-35",NA,NA,NA,"Ereta. FLOR: creme. AMBIENTE: Campo cerrado.",NA,NA,"Chapa dos Guimarães",NA,NA,NA,"1996",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-19 10:22:34-03","CPAP","CPAP","23984","PreserverdSpecimen","Plantae",NA,NA,"Annonaceae","Annona","glaucophylla","Annona glaucophylla","R.E.Fr.","A.Pott","Pott, A.","11903","2004","10","12",NA,"Brasil","MS","Rodovia BR-163, km 330, fazenda Santa Maria.","-54.842778","-21.726111",NA,"Subarbusto ereto 30-80cm de altura, com xilopódio. FLOR: botão esverdeado. FRUTO: ausente. INTERESSE: Invasora de pastagem.. FREQUÊNCIA: Esparsa. AMBIENTE: Pastagem degradada em área de cerradão.. SUBSTRATO: Solo latossolo vermelho. RELEVO: plano.",NA,NA,"Rio Brilhante","345","345",NA,NA,NA,NA,NA,"54°50'34W","21°43'34S",NA,NA,NA,NA,NA
"8","2021-04-07 11:40:44-03","UFMS","CGMS","14505","PreservedSpecimen","Plantae",NA,NA,"Annonaceae","Annona","glaucophylla","Annona glaucophylla","R.E.Fr.",NA,"A. Pott; V.J. Pott; A.C.M. Cristaldo; O.A. Corsino Jr.","12261","2004","11","12",NA,"Brasil","Mato Grosso do Sul","Fazenda Ponte Nova, SW de Paranaíba.","-52.9944444","-19.0575",NA,"Flor amarelada. Folha verde-clara. Discolor. Habitat: Cerrado sensu stricto. Solo arenoso, concrecionário, laterítico. Relevo encosta. Habito: Subarbusto subereto. Ocasional. 60 cm de altura.","CGMS1043983",NA,"Paranaíba","460","460",NA,NA,NA,NA,NA,"-52,9944444","-19,0575",NA,NA,NA,NA,NA
"9","2021-04-07 11:40:44-03","UFMS","CGMS","58835","PreservedSpecimen","Plantae",NA,NA,"Annonaceae","Annona","glaucophylla","Annona glaucophylla","R.E.Fr.","A. Pott","A. Pott; V.J. Pott","11903","2004","10","12",NA,"Brasil","Mato Grosso do Sul","Rodovia BR-163 Km 330, Fazenda Santa Maria.","-54.8427777","-21.7261111",NA,"Botão floral esverdeado. Fruto ausente. Habitat: Pastagem degradada em área de cerradão. Solo latossolo vermelho. Relevo plano. Habito: Subarbusto ereto. 30-80 cm de altura, com xilopódio. Freqüente.","CGMS001563",NA,"Rio Brilhante","345","345",NA,"2009",NA,NA,NA,"-54,8427777","-21,7261111",NA,NA,NA,NA,NA
"10","2021-04-07 11:40:44-03","UFMS","CGMS","60816","PreservedSpecimen","Plantae",NA,NA,"Annonaceae","Annona","glaucophylla","Annona glaucophylla","R.E.Fr.",NA,"Josiane F. Santos; A.C.M. Cristaldo","89","2002","03","01",NA,"Brasil","Mato Grosso do Sul","Reserva Embrapa-CNPGC.","-54.6464004516602","-20.4428005218506",NA,"Verde. ausente. Parte inferior da pétala rosada. Habitat: Cerrado. Solo latossolo vermelho. Releva plano. Habito: Subarbusto. 0,5 m de altura.","CGMS1093820",NA,"Campo Grande",NA,NA,NA,NA,NA,NA,NA,NA,NA,"161190","auto",NA,NA,NA
