"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relatedCatalogItem","infraspecificEpithet","fieldNumber","typeStatus","individualCount","sex"
"1","2021-04-05 14:25:31-03","UNESC","CRI","9664","PreservedSpecimen","Plantae","Melastomataceae","Miconia","cinnamomifolia","Miconia cinnamomifolia","(DC.) Naudin","A. Stival-Santos","2009","11","20","A. Stival-Santos; E. Legal & S. Silveira","1261","2009","11","20","Brasil","Santa Catarina","Itajaí","Brilhante.","-48.780278","-26.999722","48º46'49''W","26º59'59''S","72","72","Floresta Ombrófila Densa Habitat: comum no fragmento Habito: arbórea","CRI004376","CRI004376",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:31-03","UNESC","CRI","14264","PreservedSpecimen","Plantae","Melastomataceae","Miconia","cinnamomifolia","Miconia cinnamomifolia","(DC.) Naudin","Stival-Santos, A","2010","03","29","Stival-Santos, A.; Legal, E. & Silveira, S.","1840","2010","02","20","Brasil","Santa Catarina","Águas Mornas","Canto do Schutch. Canto do Schutch.","-48.87","-27.63","48º52'12''W","27º37'48''S","413","413","Florística IFFSC 316 (Arbórea) Habitat: Floresta Ombrófila Densa; Estágio Avançado; entorno do fragmento, beira de estrada Habito: arbórea; Fruto verde;","CRI013370","CRI013370",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:31-03","UNESC","CRI","4752","PreservedSpecimen","Plantae","Melastomataceae","Miconia","cinnamomifolia","Miconia cinnamomifolia","(DC.) Naudin","Daniel B. Falkenberg",NA,NA,NA,"R. dos Santos",NA,"1996","02","17","Brasil",NA,"Brasil","Lot. Palmar, Praia das Palmas.","-48.559444","-27.315278","48º33'34''W","27º18'55''S",NA,NA,NA,"CRI004375","CRI004375",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:31-03","UNESC","CRI","14017","PreservedSpecimen","Plantae","Melastomataceae","Miconia","cinnamomifolia","Miconia cinnamomifolia","(DC.) Naudin","Marcos Sobral","1999","01","12","Vanilde Citadini-Zanette",NA,"1996","12","17","Brasil","Santa Catarina","Siderópolis",NA,"-49.425278","-28.598889","49º25'31''W","28º35'56''S",NA,NA,"Habitat: Terrestre Habito: Arbustivo","CRI012667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00916999","PreservedSpecimen","Plantae","Melastomataceae","Miconia","cinnamomifolia","Miconia cinnamomifolia","(DC.) Naudin","R. Goldenberg",NA,NA,NA,"H. de F. Leitão Filho","12264","1981","01","07","Brazil","Minas Gerais","Andradas","Andradas, saída da cidade, rumo a Poços de Caldas. Alto da Serra do Caracol.","-46.5692","-22.0683",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=989537' target='other'> <mi>dwc_moreinfo</mi></a>","NY00916999","NY00916999_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","521436","PreservedSpecimen","Plantae","Melastomataceae","Miconia","cinnamomifolia","Miconia cinnamomifolia","(DC.) Naudin","J. J. Wurdack",NA,NA,NA,"G. M. Felippe","41","1961","12","05","Brazil","São Paulo","Sao Paulo","Parque do Estado; do Instituto de Botanica de Sao Paulo","-46.618358","-23.646109",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=755317' target='other'> <mi>dwc_moreinfo</mi></a>","NY00521436","NY00521436_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","521448","PreservedSpecimen","Plantae","Melastomataceae","Miconia","cinnamomifolia","Miconia cinnamomifolia","(DC.) Naudin",NA,NA,NA,NA,"A. S. Grotta","5819","1956","12","23","Brazil","São Paulo","Jundiaí","Via Anhanguera, próximo Jundiaí","-46.88","-23.1803",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=755339' target='other'> <mi>dwc_moreinfo</mi></a>","NY00521448","NY00521448_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","521426","PreservedSpecimen","Plantae","Melastomataceae","Miconia","cinnamomifolia","Miconia cinnamomifolia","(DC.) Naudin","J. J. Wurdack",NA,NA,NA,"G. F. J. Pabst","7013","1962","08","12","Brazil","Rio de Janeiro","Casimiro de Abreu","Pr. Barra de Sao Joao","-41.989285","-22.571814",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=755318' target='other'> <mi>dwc_moreinfo</mi></a>","NY00521426","NY00521426_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","521459","PreservedSpecimen","Plantae","Melastomataceae","Miconia","cinnamomifolia","Miconia cinnamomifolia","(DC.) Naudin",NA,NA,NA,NA,"R. de Lemos Fróes","1775","1932","07","12","Brazil","Maranhão","Cândido Mendes","Maracassumé River Region.","-45.7278872","-1.456347",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=755337' target='other'> <mi>dwc_moreinfo</mi></a>","NY00521459","NY00521459_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","777156","PreservedSpecimen","Plantae","Melastomataceae","Miconia","cinnamomifolia","Miconia cinnamomifolia","(DC.) Naudin","S. M. Silva",NA,NA,NA,"M. F. R. Paula","30","1998","11","27","Brazil","Paraná","Morretes","Estrada da Graciosa, Recanto Engenheiro Lacerda","-48.85","-25.37",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=755321' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777156","NY00777156_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
