"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","stateProvince","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","recordNumber","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","scientificNameAuthorship","identifiedBy","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","yearIdentified","monthIdentified","infraspecificEpithet","dayIdentified","relatedCatalogItem","fieldNumber","typeStatus","individualCount","sex"
"1","2020-09-23 10:40:47-03","E","E","304843","PreservedSpecimen","Plantae","Leguminosae","Macroptilium","bracteatum","Macroptilium bracteatum","Stannard, B.; Ganev, W.; Queiroz, R.F.","1993","03","11","E. Tropical South America","BR","Bahia","herbarium specimen of unspecif","BGBASE:315123","<a href=http://data.rbge.org.uk/herb/E00304843 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00304843",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-30 11:08:00-03","NY","NYBG","1843603","PreservedSpecimen","Plantae","Fabaceae","Macroptilium","bracteatum","Macroptilium bracteatum","L. Coradin","1983","06","16","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2077916' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843603","Magnoliophyta","Fabales","5740","Riachao das Neves","Estrada Barreiras/Corrente km 73","-44.92","-11.62","550","550","NY01843603_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02679274","PreservedSpecimen","Plantae","Fabaceae","Macroptilium","bracteatum","Macroptilium bracteatum","L. Coradin","1987","06","30","South America","Brazil","Ceará","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2946231' target='other'> <mi>dwc_moreinfo</mi></a>","NY02679274","Magnoliophyta","Fabales","7860","Sobral","Banco ativo de Germoplasma de forrageiras do centro nacional de pesquisa de caprinos-CNP Caprinos","-40.35","-3.68","200","200","NY02679274_01","(Nees & Mart.) Maréchal & Baudet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","298872","PreservedSpecimen","Plantae","Fabaceae","Macroptilium","bracteatum","Macroptilium bracteatum","M. H. Nee","1998","02","27","South America","Bolivia","Santa Cruz","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=207519' target='other'> <mi>dwc_moreinfo</mi></a>","NY00298872","Magnoliophyta","Fabales","48482","Andrés Ibáñez","Along highway from Santa Cruz to Abapó, 3 km S of crossing of railroad and 2 km S of bridge over Quebrada Pejí.","-63.18","-17.97","450","450",NA,"(Nees & Mart.) Maréchal & Baudet","M. H. Nee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-29 23:46:00-03","NY","NYBG","01054982","PreservedSpecimen","Plantae","Fabaceae","Macroptilium","bracteatum","Macroptilium bracteatum","L. Coradin","1980","05","23","South America","Brazil","Ceará","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1178207' target='other'> <mi>dwc_moreinfo</mi></a>","NY01054982","Magnoliophyta","Fabales","2527","Crato","Subindo a Serra do Araripe, partindo de Crato","-39.4092","-7.2344","500","500","NY01054982_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-30 11:08:00-03","NY","NYBG","1843602","PreservedSpecimen","Plantae","Fabaceae","Macroptilium","bracteatum","Macroptilium bracteatum","L. Coradin","1983","06","28","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2077910' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843602","Magnoliophyta","Fabales","6153","Jacobina","Estrada Jacobina-Lage do Batata km 1","-40.53","-11.15","540","540","NY01843602_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","306141","PreservedSpecimen","Plantae","Fabaceae","Macroptilium","bracteatum","Macroptilium bracteatum","M. H. Nee","1998","03","12","South America","Bolivia","Santa Cruz","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=207522' target='other'> <mi>dwc_moreinfo</mi></a>","NY00306141","Magnoliophyta","Fabales","48635","Andrés Ibáñez","On far SW side of Santa Cruz, 8.5 km SW of center of Santa Cruz, near highway to Samaipata.","-63.23","-17.83","420","420",NA,"(Nees & Mart.) Maréchal & Baudet","M. H. Nee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","604349","PreservedSpecimen","Plantae","Fabaceae","Macroptilium","bracteatum","Macroptilium bracteatum","R. M. Harley","1988","11","02","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=767923' target='other'> <mi>dwc_moreinfo</mi></a>","NY00604349","Magnoliophyta","Fabales","25851",NA,"Livramento do Brumado. Lagoa Vargem de Dentro, c.8km ao oeste da cidade","-41.78","-13.63","500","520","NY00604349_01","(Nees & Mart.) Maréchal & Baudet","G. P. Lewis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","604351","PreservedSpecimen","Plantae","Fabaceae","Macroptilium","bracteatum","Macroptilium bracteatum","J. Mostacero León","1983","10","06","South America","Peru","La Libertad","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=767918' target='other'> <mi>dwc_moreinfo</mi></a>","NY00604351","Magnoliophyta","Fabales","643","Trujillo","Cerro Cabezón",NA,NA,"500","500",NA,"(Nees & Mart.) Maréchal & Baudet","B. C. Pengelly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-11-01 12:20:00-02","NY","NYBG","604348","PreservedSpecimen","Plantae","Fabaceae","Macroptilium","bracteatum","Macroptilium bracteatum","L. Coradin","1980","05","22","South America","Brazil","Pernambuco","sheet",NA,"Interesse Econômico Forrageiro. Interessado: Pesquisa. Côdigo do Produto 19844. Côdigo da cultivar 1449. Material coletado: exsicata <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=767925' target='other'> <mi>dwc_moreinfo</mi></a>","NY00604348","Magnoliophyta","Fabales","2496","Bodocó","BR-122 Ouricuri - Exu, km 29","-39.9408","-7.7783","490","490","NY00604348_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
