"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","recordNumber","continentOcean","preparationType","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","individualCount","infraspecificEpithet","fieldNumber","typeStatus","sex"
"1","2021-04-05 14:33:29-03","UNESC","CRI","1956","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","macrobothrys","Croton macrobothrys","Baill.","L. B. Smith","R. M. Klein; et al.","1974","12","06","Brasil","Santa Catarina","Santo Amaro da Imperatriz","Pilões.","-48.778889","-27.688611","48º46'44''W","27º41'19''S","44","44","Habito: arbórea","CRI002396","CRI002396",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","504256","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","macrobothrys","Croton macrobothrys","Baill.","L. B. Smith","R. Reitz","1956","10","26","Brazil","Santa Catarina","Palhoça","Piloes, Palhoça","-48.694057","-27.77489",NA,NA,"200","200","Lenho na xiloteca <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=577718' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504256","NY00504256_01","Magnoliophyta","Malpighiales","3910","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","504259","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","macrobothrys","Croton macrobothrys","Baill.",NA,"L. Riedel",NA,NA,NA,"Brazil",NA,NA,"{From protologue: Ad Serra da Piedade]",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=577723' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504259","NY00504259_01","Magnoliophyta","Malpighiales","s.n.","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","685856","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","macrobothrys","Croton macrobothrys","Baill.","R. Riina","S. C. de Sant'Ana","1991","12","11","Brazil","Bahia","Santa Cruz Cabrália","Km. 5 da estrada antiga que liga a Estação Ecológica do Pau-Brasil/Santa Cruz da Cabarália, com entroncamento no km 17 da Rod. Porto Seguro/Eunapólis.","-39.0244","-16.2783",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=821834' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685856","NY00685856_01","Magnoliophyta","Malpighiales","46","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","504251","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","macrobothrys","Croton macrobothrys","Baill.","G. L. Webster","S. A. Mori","1979","11","10","Brazil","Bahia","Ilhéus","Estrada entre Sururú e Vila Brasil, a 6-14 km de Sururú. A 12-20 km ao SE de Buerarema","-39.0492","-14.7892",NA,NA,"100","100","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=577713' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504251","NY00504251_01","Magnoliophyta","Malpighiales","12987","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01095457","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","macrobothrys","Croton macrobothrys","Baill.","P. E. Berry","J. G. Jardim","2005","02","13","Brazil","Bahia","Camacan","RPPN Serra Bonita, 9,7 km W de Camacan na estrada para Jacareci, entrada para a RPPN e Torre de transmissão, ca. 6 Km da entrada","-39.5653","-15.3917",NA,NA,"835","835","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1390533' target='other'> <mi>dwc_moreinfo</mi></a>","NY01095457","NY01095457_01","Magnoliophyta","Malpighiales","4459","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01195982","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","macrobothrys","Croton macrobothrys","Baill.","R. Riina","A. M. Amorim","2006","02","08","Brazil","Minas Gerais",NA,"Santa Maria do Salto, divisa entre Bahia e Minas Gerais, Fazenda Duas Barras, Reserva do Alto Cariri. Trilha da caixa d'agua.","-40.0544","-16.4064",NA,NA,"950","950","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1319321' target='other'> <mi>dwc_moreinfo</mi></a>","NY01195982","NY01195982_01","Magnoliophyta","Malpighiales","5574","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","504252","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","macrobothrys","Croton macrobothrys","Baill.","G. L. Webster","S. A. Mori","1978","02","25","Brazil","Bahia","Una","Rodovia BA-265. A 19-22 km de Una.","-39.2715633","-15.2405451",NA,NA,"50","75","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=577714' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504252","NY00504252_01","Magnoliophyta","Malpighiales","9274","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","227800","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","macrobothrys","Croton macrobothrys","Baill.","J. A. Kallunki","W. W. Thomas","1996","11","11","Brazil","Bahia","Una","N edge of Una Biological Reserve, ca. 500 m N of Rio Maruim.","-39.0853","-15.1508",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=577717' target='other'> <mi>dwc_moreinfo</mi></a>","NY00227800","NY00227800_01","Magnoliophyta","Malpighiales","11197","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02098735","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","macrobothrys","Croton macrobothrys","Baill.","P. E. Berry","S. C. de Sant'Ana","2004","02","19","Brazil","Bahia","Una","3 km de Uma na estrada para canavieiras.","-39.0622","-15.3214",NA,NA,"95",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1479878' target='other'> <mi>dwc_moreinfo</mi></a>","NY02098735","NY02098735_01","Magnoliophyta","Malpighiales","1128","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","776991","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","macrobothrys","Croton macrobothrys","Baill.","I. Cordeiro","L. Rossi","2000","09","21","Brazil","São Paulo","Caraguatatuba","Parque Estadual da Serra do Mar, Núcleo Caraguatatuba, Trilha do Poçao","-45.43","-23.58",NA,NA,"60","85","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=577712' target='other'> <mi>dwc_moreinfo</mi></a>","NY00776991","NY00776991_01","Magnoliophyta","Malpighiales","2181","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","01874609","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","macrobothrys","Croton macrobothrys","Baill.","R. Riina","S. C. de Sant'Ana","2004","02","19","Brazil","Bahia","Una","Estação Experimental Lemos Maia(CEPLAC).","-39.09","-15.2828",NA,NA,"50",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2475460' target='other'> <mi>dwc_moreinfo</mi></a>","NY01874609","NY01874609_01","Magnoliophyta","Malpighiales","1124","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","504255","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","macrobothrys","Croton macrobothrys","Baill.","J. A. Kallunki","R. de Lemos Fróes","1943","02","08","Brazil","Bahia","Iramaia","Entre Brejao e Jiquy, regian da Serra de Sincorá","-40.9508","-13.2858",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=577716' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504255","NY00504255_01","Magnoliophyta","Malpighiales","20215","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","01196011","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","macrobothrys","Croton macrobothrys","Baill.","R. Riina","P. Fiaschi","2005","03","18","Brazil","Bahia",NA,"Camacã. RPPN Serra Bonita, 9,7 km W de Camacã na estrada para Jacareci, ramal para a RPPN, ca. 6 km da entrada","-39.5653","-15.3917",NA,NA,"850","850","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1275858' target='other'> <mi>dwc_moreinfo</mi></a>","NY01196011","NY01196011_01","Magnoliophyta","Malpighiales","2862","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","1019650","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","macrobothrys","Croton macrobothrys","Baill.",NA,"S. F. Conceição","2005","12","28","Brazil","Bahia","Una","Fazenda com plantação de seringueira.","-39.06","-15.2825",NA,NA,"47","47","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1287114' target='other'> <mi>dwc_moreinfo</mi></a>","NY01019650","NY01019650_01","Magnoliophyta","Malpighiales","437","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","504258","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","macrobothrys","Croton macrobothrys","Baill.",NA,"L. Riedel",NA,NA,NA,"Brazil","Rio de Janeiro","Magé","Mandioca","-43.184668","-22.564777",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=577722' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504258","NY00504258_01","Magnoliophyta","Malpighiales","s.n.","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","504249","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","macrobothrys","Croton macrobothrys","Baill.","S. L. Ginzbarg","S. A. Mori","1979","05","17","Brazil","Bahia","Santa Cruz Cabrália","Estrada velha para Sta. Cruz de Cabrália, entre a Estaçao Ecológica Pau-brasil e Sta. Cruz de Cabrália. Cerca de 15 km a NW de Porto Seguro","-39.1332364","-16.3567685",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=577720' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504249","NY00504249_01","Magnoliophyta","Malpighiales","11872","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","01095455","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","macrobothrys","Croton macrobothrys","Baill.","P. E. Berry","R. A. X. Borges","2006","12","09","Brazil","Bahia","Camacan","RPPN Serra Bonita. 9,7 km de Camacan na estrada para Jacareci. Dai 6 km SW na estrada para a RPPN e torre da Embratel","-39.5653","-15.3917",NA,NA,"900","1000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1390637' target='other'> <mi>dwc_moreinfo</mi></a>","NY01095455","NY01095455_01","Magnoliophyta","Malpighiales","322","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","886248","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","macrobothrys","Croton macrobothrys","Baill.","R. Riina","P. Fiaschi","2004","04","05","Brazil","Bahia","Uruçuca","Estrada de Itacaré para Serra Grande, pouco após km 43, ramal à direita após acesso para a cachoeira do Tijuípe.","-39.0792","-14.3867",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1015123' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886248","NY00886248_01","Magnoliophyta","Malpighiales","2268","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","504257","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","macrobothrys","Croton macrobothrys","Baill.","L. B. Smith","M. Koscinsky","1938","11","01","Brazil","São Paulo","Sao Paulo","Serra de Cantareira, Instituto Florestal","-46.63","-23.5403",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=577719' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504257","NY00504257_01","Magnoliophyta","Malpighiales","s.n.","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","504254","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","macrobothrys","Croton macrobothrys","Baill.","J. A. Kallunki","R. de Lemos Fróes","1943","02","18","Brazil","Bahia","Ibicoara","Campos gerais, Brejao, regiao Serra Sincorá","-41.22","-13.33",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=577715' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504254","NY00504254_01","Magnoliophyta","Malpighiales","20175","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","02674940","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","macrobothrys","Croton macrobothrys","Baill.","D. Piotto","D. Piotto","2010","06","10","Brazil","Bahia","Uruçuca","Parque Est. Serra do Conduru","-39.08","-14.42",NA,NA,"120","300","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3671060' target='other'> <mi>dwc_moreinfo</mi></a>","NY02674940",NA,"Magnoliophyta","Malpighiales","1330","South America","Sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","1262205","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","macrobothrys","Croton macrobothrys","Baill.","P. E. Berry","J. L. Paixão","2004","05","01","Brazil","Bahia","Almadina","Rod. Almadina/Ibitupa, entrada a 7 km. Serra do Sete Paus, ca. 12 km da entrada. Fazenda Cruzeiro do Sul","-39.6794444","-14.735",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1275824' target='other'> <mi>dwc_moreinfo</mi></a>","NY01262205","NY01262205_01","Magnoliophyta","Malpighiales","351","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
