"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","year","month","day","minimumElevationInMeters","maximumElevationInMeters","typeStatus","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","yearIdentified","monthIdentified","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","2862030","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","petiolata","Pouteria petiolata","T.D.Penn.","A. Alves-Araújo","W. W. Thomas","8879","South America","Brazil","Bahia","Uruçuca","7.3 km N of Serra Grande on rd to Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz. Southern Bahian moist forest.","-39.0617","-14.4231","sheet","Site: SG <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=216767' target='other'> <mi>dwc_moreinfo</mi></a>","NY02862030","NY02862030_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1183772","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","petiolata","Pouteria petiolata","T.D.Penn.",NA,"C. Dick","150","South America","Brazil","Amazonas",NA,"Manaus. Ca 90 km N de Manaus, Distrito Agropecuario da Suframa, Rodovia BR-174, km 64, depois 21 km leste na ZF-3, Fazenda Porto Alegre. Reserva nº 3402.","-59.9048156","-2.4341821","separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1453452' target='other'> <mi>dwc_moreinfo</mi></a>","NY01183772","NY01183772_01","1992","06","11","50","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","2862031","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","petiolata","Pouteria petiolata","T.D.Penn.","A. Alves-Araújo","W. W. Thomas","7241","South America","Brazil","Bahia","Uruçuca","7.3 km N of Serra Grande on rd to Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz. Southern Bahian moist forest.","-39.0617","-14.4231","sheet","Site: SG <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=216766' target='other'> <mi>dwc_moreinfo</mi></a>","NY02862031","NY02862031_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02447106","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","petiolata","Pouteria petiolata","T.D.Penn.","T. D. Pennington","C. A. Cid Ferreira","8986","South America","Brazil","Rondônia","Alvorada do Oeste","Linha 64, a 04 km da MR-429 em direçao a Costa Marques.","-62","-11.416667","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1331211' target='other'> <mi>dwc_moreinfo</mi></a>","NY02447106","NY02447106_01","1987","05","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00924538","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","petiolata","Pouteria petiolata","T.D.Penn.","T. D. Pennington","C. C. Berg","P18588","South America","Brazil","Mato Grosso",NA,"On road from Humboldt Centre to port on Rio Aripuanã","-59.35","-10.2","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1004093' target='other'> <mi>dwc_moreinfo</mi></a>","NY00924538","NY00924538_01","1973","10","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00924539","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","petiolata","Pouteria petiolata","T.D.Penn.","T. D. Pennington","C. C. Berg","P18588","South America","Brazil","Mato Grosso",NA,"On road from Humboldt Centre to port on Rio Aripuanã","-59.35","-10.2","separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1004096' target='other'> <mi>dwc_moreinfo</mi></a>","NY00924539","NY00924539_01","1973","10","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01212034","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","petiolata","Pouteria petiolata","T.D.Penn.","A. Alves-Araújo","C. A. Cid Ferreira","2363","South America","Brazil","Pará","Oriximiná","Rio Paru do Oeste, margem direita.","-55.922217","0.433352","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1330956' target='other'> <mi>dwc_moreinfo</mi></a>","NY01212034","NY01212034_01 NY01212034_02","1980","09","10",NA,NA,"holotype",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1183920","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","petiolata","Pouteria petiolata","T.D.Penn.",NA,"C. Dick","150","South America","Brazil","Amazonas",NA,"Manaus. Ca 90 km N de Manaus, Distrito Agropecuario da Suframa, Rodovia BR-174, km 64, depois 21 km leste na ZF-3, Fazenda Porto Alegre. Reserva nº 3402.","-59.9048156","-2.4341821","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1328727' target='other'> <mi>dwc_moreinfo</mi></a>","NY01183920","NY01183920_01","1992","06","11","50","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01212599","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","petiolata","Pouteria petiolata","T.D.Penn.","T. D. Pennington","C. A. Sothers","946","South America","Brazil","Amazonas","Manaus","Reserva Florestal Ducke, Manaus-Itacoatiara, Km 26. Floresta de Vertente.","-60.0250015258789","-3.10193991661072","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1328205' target='other'> <mi>dwc_moreinfo</mi></a>","NY01212599","NY01212599_01","1996","11","28",NA,NA,NA,"138090","auto",NA,NA,NA,NA,NA,NA,NA
"10","2016-02-02 14:39:09-02","BGBM","B","B 18 0018833","S","Plantae",NA,NA,"Sapotaceae","Pouteria","petiolata","Pouteria petiolata","T. D. Penn.",NA,"C. C. Berg, W. C. Steward, J. F. Ramos, O. P. Monteiro & J. F. Lima","P18588","Middle and South America","Brazil",NA,NA,"State of Mato Grosso. on road from Humboldt Centre to port on Rio Aripuana.","-59.3499984741","-10.1999998093",NA,"Habitat: rocky soil. <a href=http://herbarium.bgbm.org/object/B180018833 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B180018833",NA,"1973","10","16",NA,NA,NA,NA,NA,"-59.3499984741","-10.1999998093",NA,NA,NA,NA,NA
