"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","county","imagecode","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","class","dayIdentified","relatedCatalogItem","individualCount","fieldNumber","infraspecificEpithet","typeStatus","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","781530","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","viarum","Solanum viarum","Dunal","M. H. Nee","E. M. Zardini","28170","1991","08","03","South America","Paraguay","Central","Lake Ypoá basin. Lake Yabeby. Near Cerro Pé.","-57.43","-25.67","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=617609' target='other'> <mi>dwc_moreinfo</mi></a>","NY00781530",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00707689","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","viarum","Solanum viarum","Dunal","J. R. Stehmann","J. R. Stehmann","2265","1997","05","28","South America","Brazil","Minas Gerais","Moeda, Serra da Moeda","-44.0528","-20.3331","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=841131' target='other'> <mi>dwc_moreinfo</mi></a>","NY00707689","Moeda","NY00707689_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00707682","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","viarum","Solanum viarum","Dunal","M. H. Nee","H. S. Irwin","17908","1966","06","28","South America","Brazil","Goiás","Serra do Caiapó. Ca. 45 km. S. of Caiapônia, road to Jataí.","-51.7142","-17.8817","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=841126' target='other'> <mi>dwc_moreinfo</mi></a>","NY00707682","Jataí","NY00707682_01","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00707680","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","viarum","Solanum viarum","Dunal","L. B. Smith; S. F. Smith","H. S. Irwin","5706","1964","08","28","South America","Brazil","Distrito Federal","Ca. 15 km S. of Brasília on road to Belo Horizonte","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=841124' target='other'> <mi>dwc_moreinfo</mi></a>","NY00707680","Brasília","NY00707680_01","700","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","781529","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","viarum","Solanum viarum","Dunal","L. de F. de Carvalho","A. Castellanos","24871","1964","03","03","South America","Brazil","Santa Catarina","Arredores.","-53.7119","-27.1694","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=617614' target='other'> <mi>dwc_moreinfo</mi></a>","NY00781529","Itapiranga","NY00781529_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00731331","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","viarum","Solanum viarum","Dunal","M. H. Nee","E. M. Zardini","33534","1992","11","05","South America","Paraguay","Central","Estero del Ypoá. South of Tacuara","-57.47","-25.63","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=868164' target='other'> <mi>dwc_moreinfo</mi></a>","NY00731331",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-27 03:21:00-03","NY","NYBG","00708252","PreservedSpecimen","Plantae",NA,"Solanales","Solanaceae","Solanum","viarum","Solanum viarum",NA,NA,"E. Hassler","3112","1900","08",NA,"South America","Paraguay",NA,"Lacus Ypacarai",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=843518' target='other'> <mi>dwc_moreinfo</mi></a>","NY00708252",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-27 14:41:00-03","NY","NYBG","00708304","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","viarum","Solanum viarum",NA,"T. M. Pedersen","T. M. Pedersen","1079","1951","05","08","South America","Argentina","Corrientes","Estancia Santa Teresa",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=843790' target='other'> <mi>dwc_moreinfo</mi></a>","NY00708304","Mburucuyá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00707677","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","viarum","Solanum viarum","Dunal","M. H. Nee","M. H. Nee","46290","1995","08","21","South America","Brazil","Amazonas","Ca. 90 km N de Manaus, Distrito Agropecuário da SUFRAMA, Rodovia BR 174, km 72, depois 6 km oeste da BR, Fazenda Dimona. Projeto Dinâmica Biológica de Fragmentos Florestais, vic. Reserva 2303. Along road to the Dimona camp","-60.0917441","-2.326638","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=617608' target='other'> <mi>dwc_moreinfo</mi></a>","NY00707677","Manaus","NY00707677_01","50","125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00708308","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","viarum","Solanum viarum","Dunal","M. H. Nee","W. G. F. Herter","1086","1928","04","02","South America","Uruguay","Treinta y Tres","Yerbal",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=843800' target='other'> <mi>dwc_moreinfo</mi></a>","NY00708308",NA,NA,"200","200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
