"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","locality","occurrenceRemarks","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","class","relatedCatalogItem","typeStatus","individualCount","fieldNumber","infraspecificEpithet","sex"
"1","2021-04-05 14:33:25-03","UNESC","CRI","14305","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","brevifolius","Cyperus brevifolius","(Rottb.) Endl. ex Hassk.","Trevisan, R.","2018","10","29","Kassner-Filho, A.; Santos, D.; Bollmann, G.; Silva, D.A.","1271","2017","10","20","Brasil","Santa Catarina","Turvo","-49.680556","-28.894444","49º40'50''W","28º53'40''S","270","270","CRI013495","CRI013495",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:25-03","UNESC","CRI","8647","PreservedSpecimen","Plantae","Cyperaceae","Kyllinga","brevifolia","Kyllinga brevifolia","Rottb.","Ilsi I. Boldrini","2007","12","12","Polliana Zocche",NA,"2007","12","12","Brasil","Santa Catarina","Siderópolis","-49.424722","-28.598333","49º25'29''W","28º35'54''S","111","111","CRI002174","CRI002174","Mina do Trevo.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:25-03","UNESC","CRI","71","PreservedSpecimen","Plantae","Cyperaceae","Kyllinga","brevifolia","Kyllinga brevifolia","Rottb.","R. Trevisan","2010","10","27","Vanilde C. Zanette; Adhyles Bortot & Ademir Cândido","465","1981","05","04","Brasil","Santa Catarina","Siderópolis","-49.424722","-28.598333","49º25'29''W","28º35'54''S","111","111","CRI002175","CRI002175",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:25-03","UNESC","CRI","11769","PreservedSpecimen","Plantae","Cyperaceae","Kyllinga","brevifolia","Kyllinga brevifolia","Rottb.","P. Weber","2013",NA,NA,"P. Weber; A. S. Mello","387","2013","12","11","Brasil","Santa Catarina","Gaspar","-48.905","-26.940556","48º54'18''W","26º56'26''S",NA,NA,"CRI002172","CRI002172","Logo antes da bifurcação.","Habitat: beira da pastagem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:25-03","UNESC","CRI","4","PreservedSpecimen","Plantae","Cyperaceae","Kyllinga","brevifolia","Kyllinga brevifolia","Rottb.","R. Trevisan","2010","10","27","Vanilde C. Zanette; Adão Zanette","398","1981","03","19","Brasil","Santa Catarina","Siderópolis","-49.424722","-28.598333","49º25'29''W","28º35'54''S","111","111","CRI002177","CRI002177",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:33:25-03","UNESC","CRI","8666","PreservedSpecimen","Plantae","Cyperaceae","Kyllinga","brevifolia","Kyllinga brevifolia","Rottb.","llsi I. Boldrini","2007","12","12","Poliana Zocche",NA,"2007","12","12","Brasil","Santa Catarina","Siderópolis","-49.425278","-28.598889","49º25'31''W","28º35'56''S",NA,NA,"CRI002173","CRI002173",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:33:25-03","UNESC","CRI","8672","PreservedSpecimen","Plantae","Cyperaceae","Kyllinga","brevifolia","Kyllinga brevifolia","Rottb.","R. Trevisan","2010","10","29","Polliana Zocche",NA,"2007","12","12","Brasil","Santa Catarina","Siderópolis","-49.424722","-28.598333","49º25'29''W","28º35'54''S","111","111","CRI002178","CRI002178","Mina do Trevo.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:25:10-03","UNESC","CRI","13447","PreservedSpecimen","Plantae","Cyperaceae","Kyllinga","brevifolia","Kyllinga brevifolia","Rottb.","Renato Colares","2018","05","30","Renato Colares",NA,"2017","01",NA,"Brasil","Santa Catarina","Criciúma","-49.414444","-28.735","49º24'52''W","28º44'6''S","45","45","CRI012054",NA,"Sangão","Habitat: Terrestre Habito: Herbácea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:25:10-03","UNESC","CRI","746","PreservedSpecimen","Plantae","Cyperaceae","Kyllinga","brevifolia","Kyllinga brevifolia","Rottb.","R. Trevisan","2010","10","27","Vanilde C. Zanette; C. M. Martinello",NA,NA,NA,NA,"Brasil","Santa Catarina","Criciúma","-49.37","-28.678056","49º22'12''W","28º40'41''S",NA,NA,"CRI002176","CRI002176","Rua Almirante Barroso,Antônio de Lucca e Av. Humberto de Campos.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-09-23 10:38:32-03","E","E","205644","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","brevifolius","Cyperus brevifolius",NA,NA,NA,NA,NA,"Harley, R.M.","21619","1980","04","23","BR",NA,NA,NA,NA,NA,NA,NA,NA,"E00205644",NA,NA,"<a href=http://data.rbge.org.uk/herb/E00205644 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E. Tropical South America","herbarium specimen of unspecif","BGBASE:218808",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
