"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","phylum","identifiedBy","yearIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","fieldNumber","preparationType","continentOcean","individualCount","class","order","monthIdentified","typeStatus","dayIdentified","relatedCatalogItem","previousCatalogNumber"
"1","2020-01-20 14:40:51-03","UPM","MACK","1578","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","triflora","Rudgea triflora","Benth.","M. Fascina","A4","2011","02","26","Brasil","SP","Campos do Jordão","Floresta Ombrófila Mista","-45.5900001525879","-22.7299995422363","21048","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-01-20 14:40:51-03","UPM","MACK","1579","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","triflora","Rudgea triflora","Benth.","M. Fascina","A67","2011","04","17","Brasil","SP","Campos do Jordão","Floresta Ombrófila Mista","-45.5900001525879","-22.7299995422363","21048","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-01-20 14:40:51-03","UPM","MACK","1580","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","triflora","Rudgea triflora","Benth.","M. Fascina","A233","2011","04","28","Brasil","SP","Campos do Jordão","Floresta Ombrófila Mista","-45.5900001525879","-22.7299995422363","21048","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-01-20 14:40:51-03","UPM","MACK","1581","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","triflora","Rudgea triflora","Benth.","M. Fascina","M1","2011","10","08","Brasil","SP","Campos do Jordão","Floresta Ombrófila Mista","-45.5900001525879","-22.7299995422363","21048","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-01-20 14:40:51-03","UPM","MACK","1582","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","triflora","Rudgea triflora","Benth.","M. Fascina","M1","2011","10","08","Brasil","SP","Campos do Jordão","Floresta Ombrófila Mista","-45.5900001525879","-22.7299995422363","21048","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-12-12 15:31:51-03","UFABC","HUFABC","001137","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","triflora","Rudgea triflora","Benth.","Bruniera, C P; et al.","702","2012","03","27","Brasil","Rio de Janeiro","Itatiaia","Parque Nacional de Itaiaia, Trilha dos três picos, floresta montana.","-44.614389","-22.43375",NA,NA,"Angiospermas","Brunieira, C P; Zappi","2014","-44.614389","-22.43375","1078","1078","Voucher para estudos moleculares, foto, prensada em álcool 70%; Arvoreta ca 5m alt. Folhas cartáceas, levemente discolores, com domácias. Frutps verde-claros.","HUFABC001137","HUFABC001137",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-12-12 15:31:51-03","UFABC","HUFABC","001138","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","triflora","Rudgea triflora","Benth.","Bruniera, C P; et al.","703","2012","03","27","Brasil","Rio de Janeiro","Itatiaia","Parque Nacional de Itaiaia, Trilha dos três picos, floresta montana.","-44.614389","-22.43375",NA,NA,"Angiospermas","Brunieira, C P; Zappi","2014","-44.614389","-22.43375","1078","1078","Voucher para estudos moleculares, prensada em álcool 70%; Arvorera, ca 4m de alt. Folhas cartáceas, levemente discolores, com domácias. Frutps verde-claros.","HUFABC001138","HUFABC001138",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-01 16:40:16-03","UNICAMP","UEC","45901","S","Plantae","Rubiaceae","Rudgea","triflora","Rudgea triflora","Benth.","Souza, HC; et al.","10927","1987","11","19","Brazil","Minas Gerais",NA,"Parque Estadual do Ibitipoca",NA,NA,NA,NA,"Magnoliopsida","Zappi, DC","2007",NA,NA,"1250","1250","Arvoreta de +/-4m de altura.; Mata de galeria em altitude; mata grande.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-01 16:40:16-03","UNICAMP","UEC","069138","S","Plantae","Rubiaceae","Rudgea","triflora","Rudgea triflora","Benth.","Sposito, TC; et al.","26428","1992","06","10","Brazil","São Paulo","Campos do Jordão","Mata do Auditório.","-45.5900001525879","-22.7299995422363","21048","auto","Magnoliopsida","Zappi, DC","2005",NA,NA,NA,NA,"Árvore de 4,5m com frutos verdes.","UEC112781","UEC112781",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-01 16:40:16-03","UNICAMP","UEC","77372","S","Plantae","Rubiaceae","Rudgea","triflora","Rudgea triflora","Benth.","Yamamoto, K; et al.","267533","1992","06","10","Brazil","São Paulo","Campos do Jordão","Morro do Elefante","-45.5900001525879","-22.7299995422363","21048","auto","Magnoliopsida","Zappi, DC","2007",NA,NA,NA,NA,"Arvoreta com a copa bastante ramificada, ca. 4,5m de altura; frutos maduros vermelhos; mata, próximo ao curso d'água.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
