"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","locality","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode"
"1","2020-12-21 16:36:50-03","IAP","PACA-AGP","76933","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliatae","Caryophyllales","Cactaceae","Frailea","buenekeri","subsp. densispina","Frailea buenekeri subsp. densispina","Hofacker & Herm.","A. Hofacker","Isotipo","Heidler, A.","54","1989","04","02","Brasil","RS","São Gabriel","-54.3199996948242","-30.3363990783691","56206","material apenas sementes; material está junto com Notocactus minusculus","PACA076933","auto",NA,NA,NA,NA,NA,NA
"2","2019-10-07 09:18:39-03","UEFS","HUEFS","104868","PreservedSpecimen","Plantae","Angiospermae","Caryophyllanae","Caryophyllales","Cactaceae","Frailea","buenekeri","subsp. densispina","Frailea buenekeri subsp. densispina","Hofacker & Herm.",NA,NA,"Machado, M.","541","2005","11","09","Brasil","Rio Grande do Sul","São Gabriel","-54.14","-30.712778",NA,NA,"HUEFS0104868",NA,"7 km a oeste de Bagé na BR-293, dobra-se à direita em estrada de terra (RS-473). Após 71.5 km na RS-473 (ca. 4.4 km após passar por junção com estrada para Lavras do Sul, ou ca. 8.2 km após passar por junção com estrada para Ibaré), afloramentos de rocha ígnea metamórfica, fazenda Aurora.","54W8'24''","30S42'46''","434","434","HUEFS0104868"
"3","2019-10-07 09:18:39-03","UEFS","HUEFS","104871","PreservedSpecimen","Plantae","Angiospermae","Caryophyllanae","Caryophyllales","Cactaceae","Frailea","buenekeri","subsp. densispina","Frailea buenekeri subsp. densispina","Hofacker & Herm.",NA,NA,"Machado, M.","544","2005","11","09","Brasil","Rio Grande do Sul","São Gabriel","-54.086667","-30.626944",NA,NA,"HUEFS0104871",NA,"5.5 km a leste de São Gabriel na BR-290, dobra-se à direita (sul) em estrada de terra (RS-473) em direção a Bagé, após 40.6 km afloramentos de basalto ao leste da estrada.","54W5'12''","30S37'37''","270","270","HUEFS0104871"
