"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","typeStatus","class","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","894728","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lessingianthus","rosmarinifolius","Lessingianthus rosmarinifolius","(Less.) H.Rob.","R. J. V. Alves","1470","1990","09","18","South America","Brazil","Minas Gerais","Serra de Ouro Branco. TV Tower plateau. Hematite mountain.","1450","1450","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=965067' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894728","NY00894728_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","894727","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lessingianthus","rosmarinifolius","Lessingianthus rosmarinifolius","(Less.) H.Rob.","R. J. V. Alves","1383","1990","09","16","South America","Brazil","Minas Gerais","Serra de Ouro Branco. 1 km by road from TV Tower of summit plateau.","1500","1500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=965062' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894727","NY00894727_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-10-09 11:10:42-03","UFBA","ALCB","101290","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lessingianthus","rosmarinifolius","Lessingianthus rosmarinifolius","(Less.) H.Rob.","Ogasawara, HA; Pataro, L","133","2011","06","24","Southern America","Brasil","Bahia","Chapada Diamantina",NA,NA,NA,"ca 1,30 m alt. Folhas bicolores, face abaxial alvo tomentosa, alternas, filiformes, cartáceas; pápus alvo; corola roxa.",NA,NA,"Ogasawara, HA","2011","08","Mucugê","-41","-13","-41","-13",NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-10-09 11:10:42-03","UFBA","ALCB","62636","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lessingianthus","rosmarinifolius","Lessingianthus rosmarinifolius","(Less.) H.Rob.","Ganev, W","PCD3348","1994","11","11","Southern America","Brasil","Bahia","Chapada Diamantina, Boa Vista, acima do Capão do Mel.","1250","1250",NA,"Delgado de ca. 70 cm. Folhas coriáceas verdes com a face inferior alva. Flores com sépalas verde-vináceas, pétalas, estames e pistilo liláses. Planta em final de floração, comum.; Solo cascalho de quartzo com rochas.",NA,NA,"Bautista, HP; Hind, DJN","2000","09","Abaíra","-41.833333","-13.316667","-41.833333","-13.316667",NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-10-09 11:10:42-03","UFBA","ALCB","69823","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lessingianthus","rosmarinifolius","Lessingianthus rosmarinifolius","(Less.) H.Rob.","Guedes, ML; Velozo, ES; et al.","11886","2005","03","25","Southern America","Brasil","Bahia","Chapada Diamantina, Piatã/Inubia",NA,NA,NA,"de ca 30cm. Folhas membranáceas, com a face abaxial esbranquiçada. Flores liláses. Ocasional.",NA,NA,"Ogasawara, HA","2014","05","Piatã","-41.883333","-13.283333","-41.883333","-13.283333","15",NA,NA,NA,NA,NA,NA,NA
"6","2020-11-04 11:02:44-03","ESALQ","ESA","94181","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Vernonia","rosmarinifolia","Vernonia rosmarinifolia",NA,"Souza, V.C.; Rando, J.G.; Ferreira, M.A.P.","32219.0","2004","07","21",NA,"Brasil","Minas Gerais","Serra do Ouro Branco",NA,NA,NA,NA,"ESA094181","ESA094181","Soares, P","2010",NA,"Ouro Branco","-43.6918983459473","-20.5207996368408",NA,NA,NA,"13809","auto",NA,NA,NA,NA,NA
"7","2021-01-14 15:24:28-03","MN","R","6262","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Vernonia","rosmarinifolia","Vernonia rosmarinifolia","Less.","Glaziou, A.F.M.","21605","1895","01","06",NA,"Brasil","Goiás",NA,NA,NA,NA,"Plantas do Brasil Central","R000006262","R000006262_001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-12-20 21:16:05-03","UFV","VIC","30710","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Vernonia","rosmarinifolia","Vernonia rosmarinifolia","Less.","Paula, C.C. de; et al.","310","2002","09","21",NA,"Brasil","Minas Gerais","Serra de Ouro Branco - Área 2, Afloramento rochoso.",NA,NA,NA,"Terrestre; herbácea, c.a. de 50 cm de altura; frequência abundante; folhas verde; pétalas lilás.","VIC030710","VIC030710","Riveira, V.L.","2005","02","Ouro Branco","-43.638861","-20.506056","-43.638861","-20.506056",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-12-20 21:16:05-03","UFV","VIC","30714","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Vernonia","rosmarinifolia","Vernonia rosmarinifolia","Less.","Paula, C.C. de; et al.","207","2002","08","04",NA,"Brasil","Minas Gerais","Serra de Ouro Branco - Área 2, Campo graminóide.",NA,NA,NA,"Terrestre; herbácea, c.a. de 68 cm de altura; frequência de 1 indivíduo em um raio de 5,0 metros de altura; folhas com face adaxial verde e face abaxial cinza; pétalas lilás; folhas aromáticas.","VIC030714","VIC030714","Nakajima, J.N.","2005","03","Ouro Branco","-43.639083","-20.506028","-43.639083","-20.506028",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-01 16:24:28-03","UNICAMP","UEC","112433","S","Plantae","Magnoliopsida",NA,"Asteraceae","Lessingianthus","rosmarinifolius","Lessingianthus rosmarinifolius","(Less.) H.Rob.","Souza, VC; Souza, JP; Elias, SI; Forster, W; Oliveira, ACP","22666","1999","05","18",NA,"Brazil","Bahia","Estrada Barra da Estiva-Ituaçu, Morro da Antena de Televisão","1020","1020",NA,"Subarbusto, flores lilases; Campo rupestre","UEC045905","UEC045905","Ogasawara, HA",NA,NA,"Barra da Estiva","-41.318083","-13.691611","-41.318083","-13.691611",NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-01 16:24:28-03","UNICAMP","UEC","111369","S","Plantae","Magnoliopsida",NA,"Asteraceae","Lessingianthus","rosmarinifolius","Lessingianthus rosmarinifolius","(Less.) H.Rob.","Moraes, MD; Aona, LYS","511","2000","03","26",NA,"Brazil","Bahia","Trilha para Pico Itobira","1330","1330",NA,"Arbusto 50 cm, flores lilases; Campo rupestre","UEC073517","UEC073517","Ogasawara, HA","2012","11","Rio de Contas","-41.8114013671875","-13.5789003372192",NA,NA,NA,"49773","auto",NA,NA,NA,NA,NA
"12","2021-03-01 16:26:03-03","UNICAMP","UEC","138148","S","Plantae","Magnoliopsida",NA,"Asteraceae","Vernonia","rosmarinifolia","Vernonia rosmarinifolia","Less.","Meireles, LD; Verola, CF; Caiafa, AN; Martins, FM","1399","2003","04","20",NA,"Brazil","Minas Gerais","Serra do Ouro Branco","1500","1500",NA,"Erva, flores magenta, campo de Vellozia.","UEC092048","UEC092048",NA,NA,NA,"Ouro Branco","-43.720278","-20.499944","-43.720278","-20.499944",NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-01 16:26:03-03","UNICAMP","UEC","194450","S","Plantae","Magnoliopsida",NA,"Asteraceae","Vernonia","rosmarinifolia","Vernonia rosmarinifolia","Less.","Monge, M; Shimizu, GH; Brito, VLG; Carmo, JAM","2270","2013","11","19",NA,"Brazil","Minas Gerais","APA Morro do Pedreira. Lapinha da Serra. Subida para Pico do Breu. 1° Plato para Pico do Breu.","1166","1166",NA,"Subarbusto, 20 cm de altura. Vegetativo.; Campo rupestre, solo com grande quantidade de areia.","UEC170974","UEC170974","Monge, M",NA,NA,"Santana do Riacho","-43.699167","-19.1175","-43.699167","-19.1175",NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-01 16:26:03-03","UNICAMP","UEC","200626","S","Plantae","Magnoliopsida",NA,"Asteraceae","Vernonia","rosmarinifolia","Vernonia rosmarinifolia","Less.","Monge, M; Shimizu, GH; Urbanetz, C","525","2008","10","01",NA,"Brazil","Minas Gerais","Serra do Cipó, Cardeal Mota. Estrada MG- 10. para granito",NA,NA,NA,"Erva 20cm de altura. flores velhas. frutos.","UEC155026","UEC155026","Monge, M","2011","04","Santana do Riacho","-43.609056","-19.305778","-43.609056","-19.305778",NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-01 16:26:03-03","UNICAMP","UEC","63642","S","Plantae","Magnoliopsida",NA,"Asteraceae","Vernonia","rosmarinifolia","Vernonia rosmarinifolia","Less.","Prado, PIKL","23758","1989","09","22",NA,"Brazil","Minas Gerais","Serra do Cipó, ao longo da Rodovia MG-010, km 111.",NA,NA,NA,"Herbácea.","UEC131787","UEC131787","Dematteis, M","2007",NA,"Jaboticatubas","-43.7449989318848","-19.513599395752",NA,NA,NA,"31264","auto",NA,NA,NA,NA,NA
"16","2021-03-01 16:26:03-03","UNICAMP","UEC","47640","S","Plantae","Magnoliopsida",NA,"Asteraceae","Vernonia","rosmarinifolia","Vernonia rosmarinifolia","Less.","Leitão Filho, HF; Santin, DA; Grombone-Guaratini, MT; Meira Neto, JAA; Franco, GADC; Francini, R","19371","1987","07","01",NA,"Brazil","Minas Gerais",NA,"1300","1300",NA,"subarbursto 30 cm, flores amarelo-claro.","UEC137291","UEC137291","Dematteis, M","2007",NA,"São Tomé das Letras","-44.9852981567383","-21.7222003936768",NA,NA,NA,"16076","auto",NA,NA,NA,NA,NA
"17","2019-11-05 16:44:59-03","UFOP","OUPR","4525","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lessingianthus","rosmarinifolius","Lessingianthus rosmarinifolius","(Less.) H.Rob.","Lisboa, M.A.","s.n.","1975","02","21",NA,"Brasil","Minas Gerais","Serra de Ouro Branco",NA,NA,NA,NA,NA,NA,"Almeida, G.; Dematteis, M.","2012",NA,"Ouro Branco","-43.6918983459473","-20.5207996368408",NA,NA,NA,"13809","auto",NA,NA,NA,NA,NA
"18","2019-11-05 16:44:59-03","UFOP","OUPR","31888","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lessingianthus","rosmarinifolius","Lessingianthus rosmarinifolius","(Less.) H.Rob.","Pedrosa, L.G.","762","2018","09","12",NA,"Brasil","Minas Gerais","Areião",NA,NA,NA,"Erva lenhosa, ca. 40cm. Flores lilases. Campo rupestre.",NA,NA,"Pedrosa, L.G.","2018","09","Ouro Preto","-43.5080986022949","-20.2875003814697",NA,NA,"12","44599","auto",NA,NA,NA,NA,NA
"19","2019-11-05 16:44:59-03","UFOP","OUPR","2777","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lessingianthus","rosmarinifolius","Lessingianthus rosmarinifolius","(Less.) H.Rob.","Badini, J.","s.n.","1977","08","16",NA,"Brasil","Minas Gerais","Caveira",NA,NA,NA,"Campo. Subarbusto. Flores violáceas",NA,NA,"Almeida, G.; Dematteis, M.","2012",NA,"Ouro Preto","-43.5080986022949","-20.2875003814697",NA,NA,NA,"44599","auto",NA,NA,NA,NA,NA
"20","2020-03-12 10:29:00-03","UFOP","OUPR","34533","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lessingianthus","rosmarinifolius","Lessingianthus rosmarinifolius","(Less.) H.Rob.","Pedrosa, L.G.","2001","2019","09","22",NA,"Brasil","Minas Gerais","Cerâmica",NA,NA,NA,"Subarbusto, 50-80cm. Flores lilases. Cerrado rupestre.",NA,NA,"Pedrosa, L.G.",NA,NA,"Ouro Preto","-43.5080986022949","-20.2875003814697",NA,NA,NA,"44599","auto",NA,NA,NA,NA,NA
"21","2019-11-05 16:44:59-03","UFOP","OUPR","30920","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lessingianthus","rosmarinifolius","Lessingianthus rosmarinifolius","(Less.) H.Rob.","Pedrosa, L.G.","98","2018","03","28",NA,"Brasil","Minas Gerais","Entre Falcão e Venda do Campo.",NA,NA,NA,"Subarbustos de 15-30cm. Flores lilases.",NA,NA,"Nakajima, J.N.","2019","03","Ouro Preto","-43.5080986022949","-20.2875003814697",NA,NA,"15","44599","auto",NA,NA,NA,NA,NA
"22","2019-11-05 16:44:59-03","UFOP","OUPR","2778","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lessingianthus","rosmarinifolius","Lessingianthus rosmarinifolius","(Less.) H.Rob.","Badini, J.","s.n.","1977","08","16",NA,"Brasil","Minas Gerais","Falcão",NA,NA,NA,"Campo. Subarbusto. Flores violáceas",NA,NA,"Almeida, G.; Dematteis, M.","2012",NA,"Ouro Preto","-43.5080986022949","-20.2875003814697",NA,NA,NA,"44599","auto",NA,NA,NA,NA,NA
"23","2019-11-05 16:44:59-03","UFOP","OUPR","2779","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lessingianthus","rosmarinifolius","Lessingianthus rosmarinifolius","(Less.) H.Rob.","Magalhães-Gomes, C.T.; Magalhães-Gomes, F. & Schwacke, C.A.W.","s.n.","1893","09","19",NA,"Brasil","Minas Gerais","Serra de Capanema",NA,NA,NA,"Herba. Cap. rosea. Campis.",NA,NA,"Lisboa, M.A.","1975","06","Ouro Preto","-43.5080986022949","-20.2875003814697",NA,NA,"16","44599","auto",NA,NA,NA,NA,NA
"24","2019-11-05 16:44:59-03","UFOP","OUPR","2776","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lessingianthus","rosmarinifolius","Lessingianthus rosmarinifolius","(Less.) H.Rob.","Badini, J.","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Serra de Lavras Novas",NA,NA,NA,"Campo. Erva. Flores violáceas",NA,NA,"Almeida, G.; Dematteis, M.","2012",NA,"Ouro Preto","-43.5080986022949","-20.2875003814697",NA,NA,NA,"44599","auto",NA,NA,NA,NA,NA
"25","2019-11-05 16:44:59-03","UFOP","OUPR","22428","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lessingianthus","rosmarinifolius","Lessingianthus rosmarinifolius","(Less.) H.Rob.","Lisboa, M.A.","s.n.","1972","06","17",NA,"Brasil","Minas Gerais","Serra de Lavras Novas",NA,NA,NA,NA,NA,NA,"Almeida, G.; Dematteis, M.","2012",NA,"Ouro Preto","-43.5080986022949","-20.2875003814697",NA,NA,NA,"44599","auto",NA,NA,NA,NA,NA
"26","2019-11-05 16:44:59-03","UFOP","OUPR","22429","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lessingianthus","rosmarinifolius","Lessingianthus rosmarinifolius","(Less.) H.Rob.","Lisboa, M.A.","s.n.","1973","08","31",NA,"Brasil","Minas Gerais","Serra do Capanema",NA,NA,NA,NA,NA,NA,"Almeida, G.; Dematteis, M.","2012",NA,"Ouro Preto","-43.5080986022949","-20.2875003814697",NA,NA,NA,"44599","auto",NA,NA,NA,NA,NA
