"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","class","verbatimLongitude","verbatimLatitude","identifiedBy","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","individualCount","fieldNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","894754","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lessingianthus","souzae","Lessingianthus souzae","(H.Rob.) H.Rob.","W. R. Anderson","6709","1973","03","09","South America","Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, ca. 27 km by road N of Alto Paraíso.","-47.3451","-13.9457","1750","1750","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=965268' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894754","NY00894754_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","894753","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lessingianthus","souzae","Lessingianthus souzae","(H.Rob.) H.Rob.","H. S. Irwin","12441","1966","02","09","South America","Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, ca. 20 km W. of Alto Paraíso de Goiás (formerly Veadeiros).","-47.70192","-14.1167","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=965262' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894753","NY00894753_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","277682","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Vernonia","souzae","Vernonia souzae","H.Rob.","H. S. Irwin","32990","1971","03","22","South America","Brazil","Goiás","Alto Paraíso de Goiás","Chapada do Veadeiros: ca. 25 km. N of Alto de Paraíso","-47.5097","-14.1325","1250","1250","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=217281' target='other'> <mi>dwc_moreinfo</mi></a>","NY00277682","NY00277682_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-11-19 15:43:22-03","UNEB","HUNEB","6499","PreservedSpecimen","Plantae","Angiospermae","Florideophycidae","Asteraceae","Lessingianthus","souzae","Lessingianthus souzae","(H.Rob) H.Rob.","Jardim, J.G.","3598","2001","04","17",NA,"Brasil","Bahia","Feira da Mata","Rod. Cocos/ Feira da Mata, 23 Km de Cocos","-44.369444","-14.251111","500","500",NA,"Floresta Ciliar, bacia do rio Carinhanha","HUNEB0006499",NA,NA,"Dicotyledoneae","44W22'10''","14S15'4''",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-01 16:26:08-03","UNICAMP","UEC","3677","S","Plantae","Magnoliopsida",NA,"Asteraceae","Vernonia","souzae","Vernonia souzae","H.Rob.","Semir, J","s.n.","1976","03","18",NA,"Brazil","Goiás","Chapada dos Viadeiros","A 15km após Alto Paraízo.",NA,NA,NA,NA,NA,"Subarbusto até1m; Flores lilás.; Nativo em campo rupestre.","UEC132835","UEC132835",NA,NA,NA,NA,"Sposito, TC","1992","05","13",NA,NA,NA,NA,NA
"6","2021-03-01 16:26:08-03","UNICAMP","UEC","42402","S","Plantae","Magnoliopsida",NA,"Asteraceae","Vernonia","souzae","Vernonia souzae","H.Rob.","Anderson, WR","6709","1973","03","09",NA,"Brazil","Goiás","Chapada dos Veadeiros","27 km by road N of Alto Paraíso;wet, seeping sedge meadow, sloping up to rocky with sandstone outcrops.",NA,NA,"1750","1750",NA,"Perennial in wet meadow; Flowers lilac.; Cerrado.","UEC132834","UEC132834",NA,NA,NA,NA,"Leitão Filho, HF","1985","09","06",NA,NA,NA,NA,NA
"7","2020-12-21 16:17:47-03","MBM","MBM","87410","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Vernonia","souzae","Vernonia souzae","H. Rob.","Anderson, W.R.","6709","1973","03","09","Southern America","Brazil","Goiás","Alto Paraíso","Alto Paraíso, 27km N",NA,NA,NA,NA,NA,NA,"MBM087410","MBM087410",NA,NA,NA,NA,"Robinson, H.",NA,NA,NA,NA,NA,NA,NA,NA
"8","2015-08-13 05:50:00-03","MO","MOBOT","2696988","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Vernonia","souzae","Vernonia souzae","H. Rob.","Howard S. Irwin|R.M. Harley|Gary L. Smith","Irwin 32990","1971","3","22","South America","Brazil","Goiás",NA,"Cerrado. Chapada dos Veadeiros. Campo and cerrado on outcrops, ca. 25 km. N. of Alto do Paraíso.",NA,NA,"1250.00000000",NA,NA,NA,NA,NA,"Isotype",NA,NA,NA,"H. Robinson",NA,NA,NA,NA,NA,NA,NA,NA
"9","2009-06-25 13:32:00-03","MO","MOBOT","3355206","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Vernonia","souzae","Vernonia souzae","H. Rob.","William R. Anderson","Anderson 6709","1973","3","9","South America","Brazil","Goiás",NA,"27 km by road N of alto Paraiso. Wet seeping sedge meadow, sloping up to rocky cerrado with sandstone outcrops.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H. Robinson",NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-12-19 11:17:31-03","UFG","UFG","7931","S","Plantae",NA,NA,"Asteraceae","Vernonia","souzae","Vernonia souzae","H. Rob.","Rizzo, J.A.","7944","1972","04","06",NA,"Brasil","Goiás","Alto Paraíso de Goiás","Parque Nacional da Chapada dos Veadeiros","-47.5099983215332","-14.1324996948242",NA,NA,NA,NA,"UFG0007931","UFG0007931",NA,NA,NA,NA,"Calago, K.","1999","10","20","44724","auto",NA,NA,NA
