"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","fieldNumber","year","month","day","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","kingdom","phylum","recordNumber","continentOcean","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","identifiedBy","yearIdentified","monthIdentified","dayIdentified","individualCount","verbatimLongitude","verbatimLatitude","typeStatus","minimumElevationInMeters","maximumElevationInMeters","sex"
"1","2015-09-03 19:56:51-03","MNHN","RECOLNAT_MNHN_P","P00485333","PreservedSpecimen","Orchidaceae","Octomeria","praestans","Octomeria praestans","Barb.Rodr.","Glaziou, A.","5491","1871","9","20","Brésil","Rio de Janeiro","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00485333' target='other'> <mi>dwc_moreinfo</mi></a>","P00485333","P00485333_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2015-09-03 19:56:51-03","MNHN","RECOLNAT_MNHN_P","P00485334","PreservedSpecimen","Orchidaceae","Octomeria","praestans","Octomeria praestans","Barb.Rodr.","Glaziou, A.","16374","1886","10","7","Brésil","Therezopolis : Quinta Imperial","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00485334' target='other'> <mi>dwc_moreinfo</mi></a>","P00485334","P00485334_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-12-11 11:44:47-03","UFMG","BHCB","181971","PreservedSpecimen","Orchidaceae","Octomeria","praestans","Octomeria praestans","Barb.Rodr.","Gontijo, SL",NA,"2008","05","17","Brasil","Pedreira do Guilherme",NA,"Planta em cultivo no Museu de História Natural e Jardim Botânico da UFMG número MHNJB00427 a MHNJB00448.; Erva epífita associada a mata de galeria",NA,NA,"Plantae","Monocotyledon","s.n.","Southern America","Minas Gerais","Carrancas","-44.6425018310547","-21.4874992370605","21143","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-02-11 17:20:58-03","UFPR","UPCB","83152","PreservedSpecimen","Orchidaceae","Octomeria","praestans","Octomeria praestans","Barb. Rodr.","Toscano de Brito, A.L.V.",NA,"2012","06","12","Brasil",NA,NA,"Cespitosa. Ramicaules verdes com nós atropurpúreos; bainhas paleáceas, levemente castanhas. Folhas verdes, esparsamente maculadas de púrpura. Pedicelo e ovário verde-claros; sépalas e pétalas branco-marfins com listras púpuras; labelo amarelado; coluna a",NA,NA,"Plantae",NA,"3030",NA,NA,NA,NA,NA,NA,NA,"Santos, T.F.","2019","08","28",NA,NA,NA,NA,NA,NA,NA
"5","2009-10-30 10:00:00-02","MO","MOBOT","2834692","PreservedSpecimen","Orchidaceae","Octomeria","praestans","Octomeria praestans","Barb. Rodr.","V. Krause",NA,"1988","11","6","Brazil","Santa Leopoldina, Santo Antônio.",NA,NA,NA,NA,"Plantae",NA,"Krause s.n.","South America","Espírito Santo",NA,NA,NA,NA,NA,"C.A. Luer",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"6","2013-08-23 04:12:00-03","MO","MOBOT","2834717","PreservedSpecimen","Orchidaceae","Octomeria","praestans","Octomeria praestans","Barb. Rodr.","Ludovic Kollmann",NA,"1988","7","21","Brazil","Fundão, Alto Piaba.",NA,NA,NA,NA,"Plantae",NA,"Kollmann 32","South America","Espírito Santo",NA,NA,NA,NA,NA,"C.A. Luer",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"7","2020-10-20 09:56:47-03","MBML","MBML-HERBARIO","12378",NA,"Orchidaceae","Octomeria","praestans","Octomeria praestans","Barb.Rodr.","L. Kollmann; et al",NA,"2000","04","19","Brasil","Estação Biológica de Santa Lúcia",NA,"Mata de encosta. Epifita em galho caido. Frutos verdes.","MBML012378",NA,"Plantae",NA,"2868",NA,"Espírito Santo","Santa Teresa","-40.530278","-19.971389",NA,NA,"R. R. Vervloet/2002",NA,NA,NA,NA,"40W31'49","19S58'17",NA,NA,NA,NA
"8","2020-10-20 09:56:47-03","MBML","MBML-HERBARIO","13962",NA,"Orchidaceae","Octomeria","praestans","Octomeria praestans","Barb.Rodr.","L. Kollmann",NA,"2001","02","03","Brasil","Estação Biológica de Santa Lúcia",NA,"Epífita em galho caído. Flores brancas com uma pinta vinácea no labelo. Álcool/Herb.","MBML013962",NA,"Plantae",NA,"3558",NA,"Espírito Santo","Santa Teresa","-40.530278","-19.971389",NA,NA,"L. Kollmann/17-09-2001",NA,NA,NA,NA,"40W31'49","19S58'17",NA,NA,NA,NA
"9","2020-10-20 09:56:47-03","MBML","MBML-HERBARIO","14254",NA,"Orchidaceae","Octomeria","praestans","Octomeria praestans","Barb.Rodr.","L. Kollmann; et al",NA,"2001","05","22","Brasil","Estação Biológica de Santa Lúcia",NA,"Epífita na luz forte. Flores amarelas.","MBML014254",NA,"Plantae",NA,"3668",NA,"Espírito Santo","Santa Teresa","-40.530278","-19.971389",NA,NA,"Fraga/10-11-2002",NA,NA,NA,NA,"40W31'49","19S58'17",NA,NA,NA,NA
"10","2020-07-10 09:48:26-03","MBML","MBML-HERBARIO","15131",NA,"Orchidaceae","Octomeria","praestans","Octomeria praestans","Barb. Rodr.","L. Kollmann",NA,"2001","08","31","Brasil","Estação Biológica de Santa Lúcia",NA,"Sépalas e pétalas brancas amareladas com 3 listras vináceas. Labelo com 3 linhas roxas na base, calos roxos, ápice com 1 listra central. Coluna vinácea, ápice amarelo.","MBML015131",NA,"Plantae",NA,"4466",NA,"Espírito Santo","Santa Teresa","-40.530278","-19.971389",NA,NA,"W. Forster/Fev.2013",NA,NA,NA,NA,"40W31'49","19S58'17",NA,NA,NA,NA
