"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","decimalLongitude","decimalLatitude","maximumElevationInMeters","imagecode","identifiedBy","county","typeStatus","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","class","relatedCatalogItem","coordinatePrecision","geoFlag","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","4070643","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Elleanthus","graminifolius","Elleanthus graminifolius","(Barb.Rodr.) Løjtnant","T. M. Koyama","7400","1967","03","02","South America","Venezuela","Bolívar","Uaipan-tepui, plateau at SE foot of the peaks of Uaipan, upstream of Rio Hacha, above Salto Hacha","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4386800' target='other'> <mi>dwc_moreinfo</mi></a>","NY04070643",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","4070617","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Elleanthus","graminifolius","Elleanthus graminifolius","(Barb.Rodr.) Løjtnant","M. J. Jansen-Jacobs","6030","1999","09","20","South America","Guyana",NA,"Upper Essequibo Region, Rewa River, Spider Mountains.","500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4386748' target='other'> <mi>dwc_moreinfo</mi></a>","NY04070617","-58.53","3.13","620",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","4070623","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Elleanthus","graminifolius","Elleanthus graminifolius","(Barb.Rodr.) Løjtnant","B. Maguire","24523","1944","08","26","South America","Suriname",NA,"Tafelberg (Table Mountain), base south escarpment Arrowhead Basin","625","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4386780' target='other'> <mi>dwc_moreinfo</mi></a>","NY04070623",NA,NA,NA,"NY04070623_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","493242","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Elleanthus","graminifolius","Elleanthus graminifolius","(Barb.Rodr.) Løjtnant","S. A. Mori","25140","2000","09","12","South America","French Guiana",NA,"Pic Matécho, ca. 22.5 km NE of Les Eaux Claires.","515","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=628661' target='other'> <mi>dwc_moreinfo</mi></a>","NY00493242","-53.03","3.75","515","NY00493242_01","S. A. Mori",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","4070644","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Elleanthus","graminifolius","Elleanthus graminifolius","(Barb.Rodr.) Løjtnant","W. A. Palacios","00220","1985","03","21","South America","Ecuador","Pastaza","Shell.","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4386801' target='other'> <mi>dwc_moreinfo</mi></a>","NY04070644","-78.05","-1.5",NA,"NY04070644_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","4070630","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Elleanthus","graminifolius","Elleanthus graminifolius","(Barb.Rodr.) Løjtnant","H. S. Irwin","54804","1963","08","15","South America","Suriname",NA,"Wilhelmina Gebergte. On forested lower slopes of Juliana Top, 14 km north of Lucie Rivier.","500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4386787' target='other'> <mi>dwc_moreinfo</mi></a>","NY04070630",NA,NA,"600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","4038095","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Elleanthus","graminifolius","Elleanthus graminifolius","(Barb.Rodr.) Løjtnant","K. J. Wurdack","4923","2009","05","10","South America","Guyana","Cuyuni-Mazaruni","Kako River, near rapids","505","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4343717' target='other'> <mi>dwc_moreinfo</mi></a>","NY04038095","-60.8417","5.5008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","4070631","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Elleanthus","graminifolius","Elleanthus graminifolius","(Barb.Rodr.) Løjtnant","H. S. Irwin","54940","1963","08","21","South America","Suriname",NA,"Wilhelmina Gebergte. Common on forested lower slopes of Frederik Top, 3 km south of Juliana Top.","500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4386788' target='other'> <mi>dwc_moreinfo</mi></a>","NY04070631",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","4070634","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Elleanthus","graminifolius","Elleanthus graminifolius","(Barb.Rodr.) Løjtnant","H. S. Irwin","54807","1963","08","15","South America","Suriname",NA,"Wilhelmina Gebergte. On forested lower slopes of Juliana Top, 14 km north of Lucie Rivier.","500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4386791' target='other'> <mi>dwc_moreinfo</mi></a>","NY04070634",NA,NA,"600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","4070642","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Elleanthus","graminifolius","Elleanthus graminifolius","(Barb.Rodr.) Løjtnant","J. A. Steyermark","130023","1984","02","14","South America","Venezuela","Bolívar","Macizo del Chimantá. Sector SSE. Altiplancicie sur-oriental del Acopán-tepui, cabeceras del río Arauác. Praderas húmedas y arbustales enanos sobre turberas, bosquecillos ribereños y vegetació sobre rocas abiertas","1920","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4386799' target='other'> <mi>dwc_moreinfo</mi></a>","NY04070642","-62","5.18",NA,NA,NA,"Piar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","4070636","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Elleanthus","graminifolius","Elleanthus graminifolius","(Barb.Rodr.) Løjtnant","H. D. Clarke","8673","1999","09","16","South America","Guyana","Upper Takutu-Upper Essequibo","Wassarai Mts., summit of unnamed peak, 12 km S of S. Kassikaityu R.","975","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4386793' target='other'> <mi>dwc_moreinfo</mi></a>","NY04070636","-59.2086","1.5619",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
