"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","class","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","individualCount","fieldNumber","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","00862674","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Eriochrysis","filiformis","Eriochrysis filiformis","(Hack.) Filg.","C. A. D. Welker","H. S. Irwin","8923","1965","10","04","South America","Brazil","Distrito Federal","Brasília","Ca. 15 km. E. of Brasília, near Planaltina","-47.83071","-15.68385","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=945821' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862674","NY00862674_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","787118","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Eriochrysis","filiformis","Eriochrysis filiformis","(Hack.) Filg.","T. de S. Filgueiras","H. S. Irwin","8179","1965","09","11","South America","Brazil","Distrito Federal","Brasília","Summit of Chapada da Contagem, ca. 10 km. N.E. of Brasília","-47.9294","-15.7797","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=282038' target='other'> <mi>dwc_moreinfo</mi></a>","NY00787118","NY00787118_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","787117","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Eriochrysis","filiformis","Eriochrysis filiformis","(Hack.) Filg.",NA,"G. Jönsson","1328a","1914","10","22","South America","Brazil","Paraná",NA,"23. Turma",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=282039' target='other'> <mi>dwc_moreinfo</mi></a>","NY00787117","NY00787117_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:53:23-03","EAO","IAN","67412","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Eriochrysis","filiformis","Eriochrysis filiformis","(Hack.) Filg.","Nascimento, EAP","Rojas, G","6334","1933","09",NA,NA,"Paraguai",NA,NA,"Cabecera de Aquidaban.",NA,NA,NA,NA,NA,NA,"IAN067412",NA,"2015","07","08",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 10:18:12-03","NBC","NL-BOTANY","L.1288691","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Leptosaccharum","filiforme","Leptosaccharum filiforme","(Hack.) A.Camus",NA,"Balansa B",NA,"1874","11","06","Southern America","Paraguay",NA,NA,"Souche cespiteuse, Caaguaza, dans les prairies marecagueses. *.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1288691 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1288691","NL-L1288691",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 10:18:12-03","NBC","NL-BOTANY","L.1288691","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Leptosaccharum","filiforme","Leptosaccharum filiforme","(Hack.) A.Camus",NA,"Balansa B",NA,"1874","11","06","Southern America","Paraguay",NA,NA,"Souche cespiteuse, Caaguaza, dans les prairies marecagueses. *.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1288691 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1288691","NL-L1288691",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"7","2021-02-12 10:02:13-03","UNICAMP","UEC","42882","S","Plantae","Liliopsida",NA,"Poaceae","Eriochrysis","filiformis","Eriochrysis filiformis","(Hack.) Filg.","Neves, BT","Filgueiras, TS; Mendonça, RC","1219","1986","09","30",NA,"Brazil","Distrito Federal","Brasília","Reserva Ecológica do IBGE, Brejo. Córrego Escondido. Área recentemente queimada.","-47.907778","-15.912222",NA,NA,NA,NA,"UEC071251","UEC071251","2013","08",NA,NA,"-47.907778","-15.912222",NA,NA,NA,NA,NA
"8","2021-02-12 10:02:13-03","UNICAMP","UEC","42931","S","Plantae","Liliopsida",NA,"Poaceae","Eriochrysis","filiformis","Eriochrysis filiformis","(Hack.) Filg.","Neves, BT","Mendonça, RC; Alvarenga, D","631","1986","05","22",NA,"Brazil","Distrito Federal","Brasília","Reserva Ecológica do IBGE, Vereda queimada no dia 24/04/1986.","-47.907778","-15.912222",NA,NA,NA,"Capim florindo 28 dias após a passagem do fogo.","UEC071261","UEC071261","2013","08",NA,NA,"-47.907778","-15.912222",NA,NA,NA,NA,NA
"9","2021-02-12 10:02:13-03","UNICAMP","UEC","39046","S","Plantae","Liliopsida",NA,"Poaceae","Leptosaccharum","filiforme","Leptosaccharum filiforme","(Hack.) A.Camus","Filgueiras, TS","Filgueiras, TS; Mendonça, RC","1183","1985","09","25",NA,"Brazil","Distrito Federal","Brasília","Reserva Ecológica do IBGE, Brejo.","-47.896111","-15.915",NA,NA,NA,"Capim com espiguetas pilosas, amareladas. Floresceu após poda drástica.","UEC096855","UEC096855","1985",NA,NA,NA,"-47.896111","-15.915",NA,NA,NA,NA,NA
"10","2019-08-20 10:01:25-03","UNICAMP","UEC","39026","S","Plantae","Liliopsida",NA,"Poaceae","Leptosaccharum","filiforme","Leptosaccharum filiforme","(Hack.) A.Camus","Filgueiras, TS","Mendonça, RC; Ribeiro, M","518","1985","09","09",NA,"Brazil","Distrito Federal","Brasília","APA do São Bartolomeu., Córrego Mato Grande afluente do Ribeirão Papuda.","-47.9296989440918","-15.7797002792358",NA,NA,NA,"Capim crescendo em brejo seco, queimado recentemente; inflorescência verde esbranquiçadas ocorrendo misturada com Arthropogon filifolium.","UEC096856","UEC096856","1985","09",NA,NA,NA,NA,"70570","auto",NA,NA,NA
"11","2021-02-12 10:02:13-03","UNICAMP","UEC","39046","S","Plantae","Liliopsida",NA,"Poaceae","Leptosaccharum","filiforme","Leptosaccharum filiforme","(Hack.) A.Camus","Filgueiras, TS","Filgueiras, TS; Mendonça, RC","1183","1985","09","25",NA,"Brazil","Distrito Federal","Brasília","Reserva Ecológica do IBGE, Brejo.","-47.896111","-15.915",NA,NA,NA,"Capim com espiguetas pilosas, amareladas. Floresceu após poda drástica.","UEC096855","UEC096855","1985",NA,NA,NA,"-47.896111","-15.915",NA,NA,NA,NA,NA
"12","2019-08-20 10:01:25-03","UNICAMP","UEC","39026","S","Plantae","Liliopsida",NA,"Poaceae","Leptosaccharum","filiforme","Leptosaccharum filiforme","(Hack.) A.Camus","Filgueiras, TS","Mendonça, RC; Ribeiro, M","518","1985","09","09",NA,"Brazil","Distrito Federal","Brasília","APA do São Bartolomeu., Córrego Mato Grande afluente do Ribeirão Papuda.","-47.9296989440918","-15.7797002792358",NA,NA,NA,"Capim crescendo em brejo seco, queimado recentemente; inflorescência verde esbranquiçadas ocorrendo misturada com Arthropogon filifolium.","UEC096856","UEC096856","1985","09",NA,NA,NA,NA,"70570","auto",NA,NA,NA
