"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","recordNumber","year","month","day","locality","barcode","dayIdentified","imagecode","verbatimLongitude","verbatimLatitude","typeStatus"
"1","2019-06-10 10:10:45-03","FZB-BH","CVJBFZB","582","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Neoregelia","hoehneana","Neoregelia hoehneana","L.B.Sm.","Elton. C. M. Leme","2011","08","Edmundo Silva;","Brasil","Bahia","Porto Seguro","-39.0647010803223","-16.4496994018555","68835","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-06-29 11:29:40-03","UFRJ","RFA","31087","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Neoregelia","hoehneana","Neoregelia hoehneana","L.B.Sm.",NA,NA,NA,"T. Wendt; L.O.F. Sousa; G.K. Brown","Brasil","Rio de Janeiro","Angra dos Reis","-44.3180999755859","-23.0067005157471","32988",NA,"Epífita, muito comum no local. Folhas verdes, sépalas e brácteas verdes, pétalas no botão floral azul.","auto","499","2003","10","15","Ilha Grande, Trilha da Jararaca","RFA20451",NA,NA,NA,NA,NA
"3","2020-06-29 11:29:40-03","UFRJ","RFA","28600","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Neoregelia","hoehneana","Neoregelia hoehneana","L.B.Sm.","T. Wendt","2003","10","T. Wendt; L.O.F. Sousa; G.K. Brown","Brasil","Rio de Janeiro","Angra dos Reis","-44.3180999755859","-23.0067005157471","32988",NA,"Epífita, muito comum no local. Folhas verdes, sépalas e brácteas verdes, pétalas no botão floral azul","auto","499","2003","10","15","Ilha Grande, Dois Rios, Trilha da Jararaca","RFA52230","15",NA,NA,NA,NA
"4","2020-11-04 11:03:56-03","ESALQ","ESA","83160","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Neoregelia","hoehneana","Neoregelia hoehneana","L.B.Smith","Matteo, B.C.",NA,NA,"Matteo, B.C. et al.","Brasil","São Paulo","São Luiz do Paraitinga",NA,NA,NA,NA,NA,NA,"533.0","1999","07","30",NA,"ESA083160",NA,"ESA083160",NA,NA,NA
"5","2020-11-04 11:03:56-03","ESALQ","ESA","83150","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Neoregelia","hoehneana","Neoregelia hoehneana","L.B.Smith","Matteo, B.C.",NA,NA,"Matteo, B.C. et al.","Brasil","São Paulo","São Luiz do Paraitinga",NA,NA,NA,NA,NA,NA,"469.0","1999","07","30",NA,"ESA083150",NA,"ESA083150",NA,NA,NA
"6","2021-01-14 15:25:53-03","MN","R","239910","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Neoregelia","hoehneana","Neoregelia hoehneana","L.B. Sm.","Kessous, I.M.","2017","03","Kessous, I.M. 273; Aguiar, C. & Costa, A.F.","Brasil","São Paulo","São Luiz do Paraitinga",NA,NA,NA,NA,NA,NA,NA,"2017","03","14","PESM, sede, Trilha do Pirapitinga.","R010071850","14",NA,NA,NA,NA
"7","2020-06-29 09:29:55-03","UFRRJ","RBR","44742","S","Plantae",NA,NA,"Bromeliaceae","Neoregelia","hoehneana","Neoregelia hoehneana","L.B.Sm.",NA,NA,NA,"T.C. Rocha-Pessôa","Brasil","Rio de Janeiro","Angra dos Reis","-44.3180999755859","-23.0067005157471","32988",NA,NA,"auto","24","2001","02",NA,"Ilha Grande. Jararaca, Vila Dois Rios.","RBR00044742",NA,"RBR00044742",NA,NA,NA
"8","2020-06-29 09:29:55-03","UFRRJ","RBR","44737","S","Plantae",NA,NA,"Bromeliaceae","Neoregelia","hoehneana","Neoregelia hoehneana","L.B.Sm.",NA,NA,NA,"T.C. Rocha-Pessôa","Brasil","Rio de Janeiro","Angra dos Reis","-44.3180999755859","-23.0067005157471","32988",NA,NA,"auto","25","2001","02",NA,"Ilha Grande. Jararaca, Vila Dois Rios.","RBR00044737",NA,"RBR00044737",NA,NA,NA
"9","2020-06-29 09:29:55-03","UFRRJ","RBR","44566","S","Plantae",NA,NA,"Bromeliaceae","Neoregelia","hoehneana","Neoregelia hoehneana","L.B.Sm.",NA,NA,NA,"A.F. Nunes-Freitas; T.C. Rocha-Pessôa","Brasil","Rio de Janeiro","Angra dos Reis","-44.3180999755859","-23.0067005157471","32988",NA,NA,"auto","63","2002","10","13","Ilha Grande. Grid da Jararaca, Vila Dois Rios.","RBR00044566",NA,"RBR00044566",NA,NA,NA
"10","2020-06-29 09:29:55-03","UFRRJ","RBR","44740","S","Plantae",NA,NA,"Bromeliaceae","Neoregelia","hoehneana","Neoregelia hoehneana","L.B.Sm.",NA,NA,NA,"C.F.D. Rocha","Brasil","Rio de Janeiro","Angra dos Reis","-44.3180999755859","-23.0067005157471","32988",NA,NA,"auto","66","2002","11","04","Ilha Grande. Grid da Jararaca, Vila Dois Rios.","RBR00044740",NA,"RBR00044740",NA,NA,NA
"11","2020-06-29 09:29:55-03","UFRRJ","RBR","44741","S","Plantae",NA,NA,"Bromeliaceae","Neoregelia","hoehneana","Neoregelia hoehneana","L.B.Sm.",NA,NA,NA,"A.F. Nunes-Freitas; A.S. Dias","Brasil","Rio de Janeiro","Angra dos Reis","-44.3180999755859","-23.0067005157471","32988",NA,NA,"auto","100","2004","02",NA,"Ilha Grande. Mata da jararaca, Vila Dois Rios.","RBR00044741",NA,"RBR00044741",NA,NA,NA
"12","2020-06-29 09:29:55-03","UFRRJ","RBR","44565","S","Plantae",NA,NA,"Bromeliaceae","Neoregelia","hoehneana","Neoregelia hoehneana","L.B.Sm.",NA,NA,NA,"A.F. Nunes-Freitas; T.C. Rocha-Pessôa","Brasil","Rio de Janeiro","Angra dos Reis","-44.3180999755859","-23.0067005157471","32988",NA,NA,"auto","62","2002","10","13","Ilha Grande. Restinga da Praia do Sul.","RBR00044565",NA,"RBR00044565",NA,NA,NA
"13","2020-06-15 15:29:40-03","UNESP-RC","HRCB","70703","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Neoregelia","hoehneana","Neoregelia hoehneana","L.B.Sm.","Marcusso, G. M.",NA,NA,"Taxonomia de campo 2017/grupo verde","Brasil","São Paulo","Cunha",NA,"-23.233333",NA,NA,NA,NA,NA,NA,NA,NA,"Parque Estadual da Serra do Mar, Núcleo Cunha",NA,NA,NA,"45º01O","23°14'S",NA
"14","2019-11-21 10:02:40-03","IBt","SP","409537","S","Plantae",NA,NA,"Bromeliaceae","Neoregelia","hoehneana","Neoregelia hoehneana","L.B.Sm.","Wanderley, MGL",NA,NA,"s.col.","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,"s.n.","2007","09",NA,"Proximidades de São Paulo, Coleção Viva, IBt 1474.","SP051930",NA,"SP051930",NA,NA,NA
"15","2019-11-21 10:02:40-03","IBt","SP","44469","S","Plantae",NA,NA,"Bromeliaceae","Neoregelia","hoehneana","Neoregelia hoehneana","L.B.Sm.","Smith, LB","1955",NA,"Gehrt, A","Brasil","São Paulo","Caraguatatuba","-45.4099998474121","-23.6200008392334","30093",NA,"Flores alvas","auto","s.n.","1940","11","13",NA,"SP001798",NA,"SP001798",NA,NA,"Holotype"
"16","2019-11-21 10:02:40-03","IBt","SP","367797","S","Plantae",NA,NA,"Bromeliaceae","Neoregelia","hoehneana","Neoregelia hoehneana","L.B.Sm.",NA,NA,NA,"Kanashiro, S","Brasil","São Paulo","Cubatão","-46.4199981689453","-23.8899993896484","15123",NA,NA,"auto","s.n.","1999","04",NA,"Estrada de serviço, saída do túnel TD4. Bairro Água Fria. Coleção Viva 1011/D1","SP051931",NA,"SP051931",NA,NA,NA
"17","2019-11-21 10:02:40-03","IBt","SP","375740","S","Plantae",NA,NA,"Bromeliaceae","Neoregelia","hoehneana","Neoregelia hoehneana","L.B.Sm.","Wanderley, MGL","2006","09","Martins, SE; et al.","Brasil","São Paulo","Cunha","-44.9599990844727","-23.0699996948242","38855",NA,NA,"auto","883","2004","12","30","Parque Estadual da Serra do Mar, Trilha do Paraibuna.","SP051932","27","SP051932",NA,NA,NA
"18","2019-11-21 10:02:40-03","IBt","SP","367549","S","Plantae",NA,NA,"Bromeliaceae","Neoregelia","hoehneana","Neoregelia hoehneana","L.B.Sm.","Matteo, BC",NA,NA,"Matteo, BC; et al.","Brasil","São Paulo","São Luís do Paraitinga","-45.310001373291","-23.2199993133545","27362",NA,NA,"auto","533","1999","07","30","Parque Estadual da Serra do Mar, Núcleo Santa Virgínia","SP051929",NA,"SP051929",NA,NA,NA
