"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","dayIdentified","class","typeStatus","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","00956255","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Verbenaceae","Lippia","rhodocnemis","Lippia rhodocnemis","Mart. & Schauer","G. M. Magalhaes","1815","1942","05","05","South America","Brazil","Minas Gerais","Serro","Alto do Pico do Itambé","-43.3792","-18.6047","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1054804' target='other'> <mi>dwc_moreinfo</mi></a>","NY00956255","NY00956255_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01021871","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Verbenaceae","Lippia","rhodocnemis","Lippia rhodocnemis","Mart. & Schauer","G. M. Magalhaes","1815","1942","05","05","South America","Brazil","Minas Gerais","Serro","Alto do Pico do Itambé","-43.3792","-18.6047","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1120064' target='other'> <mi>dwc_moreinfo</mi></a>","NY01021871","NY01021871_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:50:16-03","EAO","IAN","13949","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Verbenaceae","Lippia","rhodocnemis","Lippia rhodocnemis","Cham.","Magalhães, MG","1815","1942","05","05","Southern America","Brasil","Minas Gerais",NA,"Campo Pico do Itambé, muito frequente.",NA,NA,NA,NA,"IAN013949","IAN013949 IAN013949_e IAN013949_e1","Moldenke, HN","1950","06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0049012","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Verbenaceae","Lippia","rhodocnemis","Lippia rhodocnemis","Mart. & Schauer","G. Hatschach; M. Hatschach, V. Nicolack","52927","1989","5","19",NA,"Brazil","Minas Gerais",NA,"Pito Aceso (mun. Conceição do Mato Dentro)","-43.417678","-19.042033",NA,NA,NA,NA,"S. Atkins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-11-21 14:48:06-03","UFJF","CESJ","28563","PreservedSpecimen","Plantae","Angiosperma",NA,"Verbenaceae","Lippia","rhodocnemis","Lippia rhodocnemis","Mart. & Schauer","N. Hensold; L. Rossi; H.L. Wagner; N.L. Menezes; E.M. Isejima; A. Furlan","s.n.","1982","04","08","América do Sul","Brasil","Minas Gerais","Diamantina","Estrada p/ Biri-Biri","-43.616667","-18.166667",NA,"Subarbusto, 1,5m. Flores lilás odoriferas.","CESJ028563",NA,"G.Bromley","1984",NA,"-43.616667","-18.166667","3098","3098",NA,NA,NA,NA,NA,NA
"6","2019-11-21 14:48:06-03","UFJF","CESJ","52039","PreservedSpecimen","Plantae","Angiosperma",NA,"Verbenaceae","Lippia","rhodocnemis","Lippia rhodocnemis","Mart. & Schauer","F.R.G. Salimena; et al.","2532","2007","10","27","América do Sul","Brasil","Minas Gerais","Itamarandiba","Parque Estadual da Serra Negra","-42.701306","-17.991667",NA,"Campo rupestre, solo arenoso. Arbusto, ca. 1,5m.alt., flores passadas. Grande população.","CESJ052039",NA,"F.R.G. Salimena","2007","10","-42.701306","-17.991667","1107","1107",NA,NA,NA,NA,NA,NA
"7","2019-11-21 14:48:06-03","UFJF","CESJ","52043","PreservedSpecimen","Plantae","Angiosperma",NA,"Verbenaceae","Lippia","rhodocnemis","Lippia rhodocnemis","Mart. & Schauer","F.R.G. Salimena; et al.","1385","2006","06","10","América do Sul","Brasil","Minas Gerais","Felício dos Santos","APA Felício","-43.29225","-18.18275",NA,"Arbusto em campo rupestre. Flores com tubo roxo e interior roxo.","CESJ052043",NA,"F.R.G. Salimena","2006","06","-43.29225","-18.18275",NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-11-21 14:48:06-03","UFJF","CESJ","28550","PreservedSpecimen","Plantae","Angiosperma",NA,"Verbenaceae","Lippia","rhodocnemis","Lippia rhodocnemis","Mart. & Schauer","R. Mello-Silva; T.R.Pirani; M.Meguro et E.Isejima.","s.n.","1984","10","13","América do Sul","Brasil","Minas Gerais","Rio Vermelho","Pedra Menina, Fazenda Vargem do Anjo - Espigão da Meio.","-43.0092010498047","-18.2936000823975",NA,"Arbusto, ca. +/- 1,80 m alt. Plantas odorífera. Flores lilases.","CESJ028550",NA,"C.Kameyama","1985",NA,NA,NA,NA,NA,"26996","auto",NA,NA,NA,NA
"9","2019-11-21 14:48:06-03","UFJF","CESJ","35070","PreservedSpecimen","Plantae","Angiosperma",NA,"Verbenaceae","Lippia","rhodocnemis","Lippia rhodocnemis","Mart. & Schauer","A.M. Giulietti; M.G.L. Wanderley; N.L.Menezes; M.G.Sajo et M.Meguro.","7703","1985","03","31","América do Sul","Brasil","Minas Gerais","Rio Vermelho","Pedra Menina, Morro do Ambrosio.","-43.0092010498047","-18.2936000823975",NA,"Arbusto, ca. 1,5-2,0 m alt. Brácteas e flores róseas, fauce rosa-escuro, perfumadas.Alt.: 1370 m","CESJ035070",NA,NA,NA,NA,NA,NA,NA,NA,"26996","auto",NA,NA,NA,NA
"10","2019-11-21 14:48:06-03","UFJF","CESJ","28549","PreservedSpecimen","Plantae","Angiosperma",NA,"Verbenaceae","Lippia","rhodocnemis","Lippia rhodocnemis","Mart. & Schauer","N.L.Menezes; A.M.Guilietti; M.G.L. Wanderley; M.Seijo et M.Meguro.","s.n.","1985","03","31","América do Sul","Brasil","Minas Gerais","Rio Vermelho","Pedra Menina, Morro do Ambrósio.","-43.0092010498047","-18.2936000823975",NA,"Arbusto, ca. 1-5 2,0 m alt. Brácteas e flores róseas, fauce rosa-escuro, perfumadas. Alt.: 1370 m.","CESJ028549",NA,NA,NA,NA,NA,NA,NA,NA,"26996","auto",NA,NA,NA,NA
"11","2019-11-21 14:48:06-03","UFJF","CESJ","28547","PreservedSpecimen","Plantae","Angiosperma",NA,"Verbenaceae","Lippia","rhodocnemis","Lippia rhodocnemis","Mart. & Schauer","T.B. Cavalcanti; I. Cordeiro; R. Mello-Silva; N.L.Menezes et J.C.C.Gonçalves","s.n.","1986","09","09","América do Sul","Brasil","Minas Gerais","Rio Vermelho","Pedra Menina, Platô Pedra Menina. Alt.: 1570 m.","-43.0092010498047","-18.2936000823975",NA,"Arbusto, ca. 3,5 m alt., entre rochas. Brácteas vináceas. Flores lilases com fauce vinho.","CESJ028547",NA,NA,NA,NA,NA,NA,NA,NA,"26996","auto",NA,NA,NA,NA
"12","2019-11-21 14:48:06-03","UFJF","CESJ","28548","PreservedSpecimen","Plantae","Angiosperma",NA,"Verbenaceae","Lippia","rhodocnemis","Lippia rhodocnemis","Mart. & Schauer","R. Mello-Silva; et al.","s.n.","1986","09","08","América do Sul","Brasil","Minas Gerais","Rio Vermelho","Pedra Menina, Serra do Ambrósio. Espigão do Meio. Fazenda Vargem do Anjo. Alt.: 830 m","-43.0092010498047","-18.2936000823975",NA,"Arbusto, ca. 3 m alt. Brácteas verde rosadas. Corolas lilases. Entre rochas, em solo arenoso.","CESJ028548",NA,"F.R.G. Salimena","2012","03",NA,NA,NA,NA,"26996","auto",NA,NA,NA,NA
"13","2019-11-21 14:48:06-03","UFJF","CESJ","53082","PreservedSpecimen","Plantae","Angiosperma",NA,"Verbenaceae","Lippia","rhodocnemis","Lippia rhodocnemis","Mart. & Schauer","N.F.O. Mota; P.L. Viana; V.T.Giorni; R.M.L.Novaes","1391","2008","08","29","América do Sul","Brasil","Minas Gerais","São Gonçalo do Rio Preto","Parque Estadual do Rio Preto,, Chapada do Couto, Córrego da panela, indo para o Morro Redondo, 200m para baixo","-43.3908004760742","-18.0041999816895",NA,"Arbusto de até 1,8m.alt., em campo rupestre. Flores e brácteas rosas.","CESJ053082",NA,"P.L. Viana","2008","08",NA,NA,NA,NA,"26697","auto","29",NA,NA,NA
"14","2019-11-21 14:48:06-03","UFJF","CESJ","28551","PreservedSpecimen","Plantae","Angiosperma",NA,"Verbenaceae","Lippia","rhodocnemis","Lippia rhodocnemis","Mart. & Schauer","R. Mello-Silva; J.R. Pirani et M. Meguro","s.n.","1985","08","01","América do Sul","Brasil","Minas Gerais","Rio Vermelho","Pedra Menina, Serra do Ambrósio, Espigão do Meio.","-43.0092010498047","-18.2936000823975",NA,"Arvoreta com cerca de 2 m alt.; flores e brácteas lilases-escuras, campo sujo. Planta odorífera.","CESJ028551",NA,"V.C. Souza","1985","08",NA,NA,NA,NA,"26996","auto",NA,NA,NA,NA
"15","2019-11-21 14:48:06-03","UFJF","CESJ","53084","PreservedSpecimen","Plantae","Angiosperma",NA,"Verbenaceae","Lippia","rhodocnemis","Lippia rhodocnemis","Mart. & Schauer","N.F.O. Mota; P.L. Viana; V.T.Giorni; R.M.L.Novaes","1350","2008","08","25","América do Sul","Brasil","Minas Gerais","Rio Vermelho","Serra dos Dois Irmãos, Distr de Pedra Menina, 18º04'39S, 43º07'57W. Alt. 1380m.","-43.0092010498047","-18.2936000823975",NA,"Arbusto,ca. 1,5m.alt., com flores passadas. Planta armazenada em álcool. Campo rupestre. Quartzito.","CESJ053084",NA,"P.L. Viana","2008","08",NA,NA,NA,NA,"26996","auto","25",NA,NA,NA
"16","2014-10-14 15:56:41-03","BS","M","M-0110881","S","Plantae","Magnoliophyta","Lamiales","Verbenaceae","Lippia","rhodocnemis","Lippia rhodocnemis","Mart. & Schauer","Martius, C.F.P. von",NA,NA,NA,NA,NA,"Brasil",NA,NA,"Habitat in campis editis ad Chapada Min. Nov. Provinciae M.G.",NA,NA,NA,NA,"M0110881",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida","SYNTYPE",NA
"17","2021-03-21 19:39:12-03","UFC","EAC","16446","PreservedSpecimen","Plantae","Dicotyledon",NA,"Verbenaceae","Lippia","rhodocnemis","Lippia rhodocnemis","Martius & Schauer","Pereira, E.","s.n.","1955","05","24","Southern America","Brasil","Minas Gerais","Diamantina",NA,"-43.6002998352051","-18.2493991851807",NA,"Flor violeta.","EAC0016446",NA,"Barroso, G.M.",NA,NA,NA,NA,NA,NA,"101169","auto",NA,NA,NA,NA
"18","2020-12-21 16:47:13-03","MBM","MBM","129354","PreservedSpecimen","Plantae",NA,NA,"Verbenaceae","Lippia","rhodocnemis","Lippia rhodocnemis","Mart. & Schauer","Hatschbach, G.; Hatschbach, M.; Nicolack, V.; Hatschbach, M.; Nicolack, V.","52927","1989","05","19","Southern America","Brazil","Minas Gerais","Conceição do Mato Dentro","Pito Acesso","-43.4249992370605","-19.0372009277344",NA,NA,"MBM129354","MBM129354","Atkins, S.",NA,NA,NA,NA,NA,NA,"60318","auto",NA,NA,NA,NA
