"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","recordNumber","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","class","relatedCatalogItem","yearIdentified","monthIdentified","dayIdentified","fieldNumber","individualCount"
"1","2021-04-05 14:34:03-03","UNESC","CRI","3939","PreservedSpecimen","Plantae","Rosaceae","Margyricarpus","pinnatus","Margyricarpus pinnatus","(Lam.) Kuntze","J. A. Jarenkow","J. A. Jarenkow","1990","08","26","Brasil","Rio Grande do Sul","Pelotas","Praia do laranjal.","-52.342778","-31.7725","52º20'34''W","31º46'21''S","17","17","Habitat: restinga Habito: erva","CRI008856","CRI008856",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:42:57-03","E","E","78327","PreservedSpecimen","Plantae","Rosaceae","Margyricarpus","pinnatus","Margyricarpus pinnatus",NA,NA,"Gardner, Martin F.","1986","01","25","CL","Región X [Los Lagos]","Prov. de Chiloé","Parque Nacional Chiloé; Cucao","-75.25","-42.666667","-75.250000","-42.666667","75","75","<a href=http://data.rbge.org.uk/herb/E00078327 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00078327",NA,"3580","Temperate South America","herbarium specimen of unspecif","BGBASE:94394",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:42:57-03","E","E","273343","PreservedSpecimen","Plantae","Rosaceae","Margyricarpus","pinnatus","Margyricarpus pinnatus",NA,NA,"Werdermann, Erich",NA,NA,NA,"CL","Región X [Los Lagos]","Provincia de Chiloé","Isla Chiloé, Cucao, costa occidental",NA,NA,NA,NA,"10","10","<a href=http://data.rbge.org.uk/herb/E00273343 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00273343",NA,"296","Temperate South America","herbarium specimen of unspecif","BGBASE:281790",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:42:57-03","E","E","182235","PreservedSpecimen","Plantae","Rosaceae","Margyricarpus","pinnatus","Margyricarpus pinnatus",NA,NA,"Darwin Chilean Initiative (2002 - 2005)","2004","01","23","CL","Región IX [Araucanía]","Provincia de Malleco","Parque Nacional Nahuelbuta. Path to Cerro Anay.","-72.9975","-37.789444","-72.997500","-37.789444","1200","1200","<a href=http://data.rbge.org.uk/herb/E00182235 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00182235",NA,"875","Temperate South America","herbarium specimen of unspecif","BGBASE:204340",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:42:57-03","E","E","9988","PreservedSpecimen","Plantae","Rosaceae","Margyricarpus","pinnatus","Margyricarpus pinnatus",NA,NA,"Instituto de Investigaciónes Ecológicas Chiloé (IIECH) and Royal Botanic Garden Edinburgh","1996","02","19","CL","Región X [Los Lagos]","Chiloé","Coast north of Cucao","-74.116667","-42.65","-74.116667","-42.650000","3","3","<a href=http://data.rbge.org.uk/herb/E00009988 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00009988",NA,"230","Temperate South America","herbarium specimen of unspecif","BGBASE:28079",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","653462","PreservedSpecimen","Plantae","Rosaceae","Margyricarpus","pinnatus","Margyricarpus pinnatus","(Lam.) Kuntze","L. B. Smith; S. F. Smith","G. G. Hatschbach","1967","09","08","Brazil","Paraná","Ponta Grossa","Passo do Pupo","-49.96198","-25.145584",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=756442' target='other'> <mi>dwc_moreinfo</mi></a>","NY00653462","NY00653462_01","17130","South America","sheet",NA,"Magnoliophyta","Rosales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","653461","PreservedSpecimen","Plantae","Rosaceae","Margyricarpus","pinnatus","Margyricarpus pinnatus","(Lam.) Kuntze",NA,"W. A. Archer","1936","11","01","Brazil","Rio Grande do Sul",NA,"Barra do Rio Grande",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=756447' target='other'> <mi>dwc_moreinfo</mi></a>","NY00653461","NY00653461_01","4291","South America","sheet",NA,"Magnoliophyta","Rosales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","653463","PreservedSpecimen","Plantae","Rosaceae","Margyricarpus","pinnatus","Margyricarpus pinnatus","(Lam.) Kuntze","S. F. Smith","G. G. Hatschbach","1994","04","18","Brazil","Santa Catarina",NA,"Rod. SC-438, 3-5km O de Bom Jardim da Serra",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=756443' target='other'> <mi>dwc_moreinfo</mi></a>","NY00653463","NY00653463_01","60648","South America","sheet",NA,"Magnoliophyta","Rosales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-09-29 18:30:00-03","NY","NYBG","653467","PreservedSpecimen","Plantae","Rosaceae","Margyricarpus","pinnatus","Margyricarpus pinnatus",NA,"D. N. Smith","D. N. Smith","1985","03","13","Peru","Ancash",NA,"Huaylas Prov, Huascarán National Park, western flank of Cordillera Blanca, Alpamayo-Cashapampa trail","-77.75","-8.88",NA,NA,"3500","3950","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=756449' target='other'> <mi>dwc_moreinfo</mi></a>","NY00653467",NA,"10044","South America","sheet",NA,"Magnoliophyta","Rosales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-29 18:30:00-03","NY","NYBG","653465","PreservedSpecimen","Plantae","Rosaceae","Margyricarpus","pinnatus","Margyricarpus pinnatus",NA,"R. E. Gereau","M. A. Lewis","1988","03","12","Bolivia","La Paz",NA,"Prov. Inquisivi: Above Inquisivi. Along the Quime-Inquisivi Road ca. 1 km W of Inquisivi","-67.15","-16.9",NA,NA,"2900","2900","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=756444' target='other'> <mi>dwc_moreinfo</mi></a>","NY00653465",NA,"8871","South America","sheet",NA,"Magnoliophyta","Rosales",NA,NA,NA,NA,NA,NA,NA,NA,NA
