"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","phylum","order","recordNumber","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","relationshipType","relatedCatalogItem","class","coordinatePrecision","geoFlag","fieldNumber","individualCount"
"1","2021-04-05 14:24:50-03","UNESC","CRI","10721","PreservedSpecimen","Plantae","Araliaceae","Hydrocotyle","langsdorffii","Hydrocotyle langsdorffii","DC.","Vanilde Citadini-Zanette","2001","09","18","Vanilde Citadini-Zanette; Robson dos Santos; Alecsandro S. Klein","2001","09","18","Brasil","Santa Catarina","Praia Grande","Interior da Cânion Itaimbézinho","-49.950278","-29.198611","49º57'1''W","29º11'55''S","Folhas peltadas. Habito: Herbácea","CRI013698","CRI013698",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:24:50-03","UNESC","CRI","14136","PreservedSpecimen","Plantae","Araliaceae","Hydrocotyle","langsdorffii","Hydrocotyle langsdorffii","DC.","Caleb Borges","2018","11","08","San Custódio",NA,NA,NA,"Brasil","Santa Catarina","Timbé do Sul",NA,"-49.843611","-28.827222","49º50'37''W","28º49'38''S","Habitat: Terrestre Habito: Herbácea","CRI012786",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","617737","PreservedSpecimen","Plantae","Araliaceae","Hydrocotyle","langsdorffii","Hydrocotyle langsdorffii","DC.","L. Constance",NA,NA,NA,"R. Reitz","1958","09","20","Brazil","Santa Catarina","Lauro Muller","Pinhal da Companhia, Lauro Muller-Uruçanga","-49.3967","-28.3931",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=690502' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617737","NY00617737_01","Magnoliophyta","Apiales","7193","South America","300","300","sheet",NA,NA,NA,NA,NA,NA,NA
"4","2019-12-19 08:15:06-03","FPS","FPS","2512","MachineObservation","Plantae","Araliaceae","Hydrocotyle","langsdorffii","Hydrocotyle langsdorffii","DC.","Schwirkowski, P.","2016","10","15","Schwirkowski, P.","2016","10","15","Brasil","Santa Catarina","São Bento do Sul","Localidade de Rio Natal.","-49.269824","-26.326217","-49.269824","-26.326217","<ll>dwc_commonname:</ll> Cairuçu","FPS02512,FURB52050","FPS02512_v01 FPS02512_v02 FPS02512_v03 FPS02512_v04 FPS02512_v05 FURB52050",NA,NA,"1946",NA,NA,NA,NA,"voucher","FURB 52050",NA,NA,NA,NA,NA
"5","2019-08-27 13:33:50-03","IAP","PACA-AGP","41693","PreservedSpecimen","Plantae","Umbelliferae","Hydrocotyle","langsdorffii","Hydrocotyle langsdorffii","DC.","Emrich-Rambo","1954","09","25","Rambo, B.","1949","05","25","Brasil","RS","Schwabenschneis",NA,NA,NA,NA,NA,"fl. Habitat: in umbrosis humidis Fenofase: flor","PACA041693",NA,"Magnoliophyta","Umbellales",NA,NA,NA,NA,NA,NA,NA,"Magnoliatae",NA,NA,NA,NA
"6","2019-08-27 13:33:50-03","IAP","PACA-AGP","54097","PreservedSpecimen","Plantae","Umbelliferae","Hydrocotyle","langsdorffii","Hydrocotyle langsdorffii","DC.","Emrich-Rambo","1954","09","25","Rambo, B.","1953","02","20","Brasil","RS","Taimbezinho",NA,NA,NA,NA,NA,"fl. fr. Habitat: in araucarieto Fenofase: flor e fruto","PACA054097",NA,"Magnoliophyta","Umbellales",NA,NA,NA,NA,NA,NA,NA,"Magnoliatae",NA,NA,NA,NA
"7","2019-08-27 13:33:50-03","IAP","PACA-AGP","56823","PreservedSpecimen","Plantae","Umbelliferae","Hydrocotyle","langsdorffii","Hydrocotyle langsdorffii","DC.","A. M. Carneiro","2000","11","09","Rambo, B.","1955","02","16","Brasil","RS","Taimbezinho",NA,NA,NA,NA,NA,"fl. Habitat: in araucarieto umbroso humido Fenofase: flor","PACA056823",NA,"Magnoliophyta","Umbellales",NA,NA,NA,NA,NA,NA,NA,"Magnoliatae",NA,NA,NA,NA
"8","2019-08-27 13:33:50-03","IAP","PACA-AGP","36778","PreservedSpecimen","Plantae","Umbelliferae","Hydrocotyle","langsdorffii","Hydrocotyle langsdorffii","DC.","Emrich-Rambo","1954","09","25","Rambo, B.","1948","02",NA,"Brasil","RS","Cambará do Sul",NA,"-50.1446990966797","-29.0478000640869",NA,NA,"fl. Habitat: in araucarieto Fenofase: flor","PACA036778",NA,"Magnoliophyta","Umbellales",NA,NA,NA,NA,NA,NA,NA,"Magnoliatae","30776","auto",NA,NA
"9","2019-08-27 13:33:50-03","IAP","PACA-AGP","71922.1","PreservedSpecimen","Plantae","Umbelliferae","Hydrocotyle","langsdorffii","Hydrocotyle langsdorffii","DC.",NA,NA,NA,NA,"A.A. Ohlweiler","1999","11","25","Brasil","RS","Santa Maria do Herval",NA,"-50.9928016662598","-29.4981002807617",NA,NA,"HASU 9622. Habitat: rupícola, higrófila","PACA071922-1",NA,"Magnoliophyta","Umbellales","490",NA,NA,NA,NA,NA,NA,"Magnoliatae","10918","auto",NA,NA
"10","2019-08-27 13:33:50-03","IAP","PACA-AGP","1806","PreservedSpecimen","Plantae","Umbelliferae","Hydrocotyle","langsdorffii","Hydrocotyle langsdorffii","DC.","Emrich-Rambo","1954","09","25","E. Mauermann","1935","01","14","Brasil","RS","São Francisco de Paula","Faz. Englert","-50.5835990905762","-29.4480991363525",NA,NA,"fl. Habitat: in araucarieto Fenofase: flor","PACA001806",NA,"Magnoliophyta","Umbellales",NA,NA,NA,NA,NA,NA,NA,"Magnoliatae","76715","auto",NA,NA
