"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","fieldNumber","preparationType","imagecode","class","order","individualCount","decimalLongitude","decimalLatitude","county","coordinatePrecision","geoFlag"
"1","2021-03-30 12:47:48-03","EAO","IAN","50635","PreservedSpecimen","Plantae","Dicotiledônea","Rubiaceae","Ferdinandusa","cordata","Ferdinandusa cordata","Ducke","Anunciação, EA","2000","04","24","isotipo","Ducke, A","s.n.","1918","08","30","Southern America","Brasil","Pará","Serra Araguai, região do Jutaí de Almirim. Mata da chapada da serra.","300","300","Árvore pequena.","IAN050635",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-30 12:47:48-03","EAO","IAN","91626","PreservedSpecimen","Plantae","Dicotiledônea","Rubiaceae","Ferdinandusa","cordata","Ferdinandusa cordata","Ducke","Sucre, D","1960","02",NA,NA,"Pires, JM; Black, GA","6218","1956","12","14","Southern America","Brasil","Pará","Serra do Cachimbo.","425","425","Arbusto de 3m de altura.","IAN091626",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2015-11-06 14:46:25-02","MNHN","RECOLNAT_MNHN_P","P01900532","PreservedSpecimen",NA,NA,"Rubiaceae","Ferdinandusa","cordata","Ferdinandusa cordata","Ducke",NA,NA,NA,NA,"isosyntype","Ducke, A.",NA,"1918","8","30",NA,"Brésil",NA,"Serras du Itauajury, région du Jutaky, municipe Almeirim",NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01900532' target='other'> <mi>dwc_moreinfo</mi></a>","P01900532","17273","hb","P01900532_01",NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-12 05:00:02-03","US","US","1441599","PreservedSpecimen","Plantae",NA,"Rubiaceae","Ferdinandusa","cordata","Ferdinandusa cordata","Ducke",NA,NA,NA,NA,"Isotype","A. Ducke","17273","1918","8","30","South America - Neotropics","Brazil","Pará","Serra Araguay, region du Jutaly.",NA,NA,NA,"US00131289",NA,NA,"US00131289_01","Dicotyledonae","Rubiales","1",NA,NA,NA,NA,NA
"5","2019-09-04 19:15:26-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta","Rubiaceae","Ferdinandusa","cordata","Ferdinandusa cordata",NA,NA,NA,NA,NA,"Possible type","A. Ducke",NA,"1918","8","30","South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,"-52.8731","-10.8339",NA,NA,NA
"6","2019-01-23 11:14:04-02","F","FMNH-SEEDPLANTS","V0069182F","PreservedSpecimen","Plantae","Spermatophyta","Rubiaceae","Ferdinandusa","cordata","Ferdinandusa cordata",NA,NA,NA,NA,NA,"Isotype","A. Ducke","17273","1918","8",NA,"South America","Brazil",NA,NA,NA,NA,NA,"V0069182F",NA,NA,"V0069182F_01","Dicotyledoneae",NA,NA,"-52.8731","-10.8339",NA,NA,NA
"7","2019-01-23 11:14:04-02","F","FMNH-SEEDPLANTS","V0069183F","PreservedSpecimen","Plantae","Spermatophyta","Rubiaceae","Ferdinandusa","cordata","Ferdinandusa cordata",NA,NA,NA,NA,NA,"Isotype","A. Ducke","17273","1918","8",NA,"South America","Brazil",NA,NA,NA,NA,NA,"V0069183F",NA,NA,"V0069183F_01","Dicotyledoneae",NA,NA,"-52.8731","-10.8339",NA,NA,NA
"8","2021-02-23 13:23:04-03","MN","R-TIPOS","6659","PreservedSpecimen","Plantae",NA,"Rubiaceae","Ferdinandusa","cordata","Ferdinandusa cordata","Ducke",NA,NA,NA,NA,"Isotypus","Ducke, W.A.","17273","1918","08","30",NA,"Brasil","Pará","Jutahy",NA,NA,NA,"R000006659",NA,NA,"R000006659_001",NA,NA,NA,"-52.5816993713379","-1.52332997322083","Almeirim","564600","auto"
