"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","continentOcean","country","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","month","stateProvince","county","minimumElevationInMeters","maximumElevationInMeters","day","coordinatePrecision","geoFlag","class","identifiedBy","yearIdentified","relatedCatalogItem","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","fieldNumber","individualCount","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","658583","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Didymoglossum","ovale","Didymoglossum ovale","E.Fourn.","isotype","A. Fendler","25","1854","South America","Venezuela","Prope coliniam Tovar","-67.2894","10.4056","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=51014' target='other'> <mi>dwc_moreinfo</mi></a>","NY00658583","NY00658583_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","815558","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Trichomanes","fontanum","Trichomanes fontanum","Lindm.",NA,"E. H. G. Ule","276","1888","South America","Brazil","Bei Blumenau.","-49.0658","-26.9194","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=803542' target='other'> <mi>dwc_moreinfo</mi></a>","NY00815558","NY00815558_01","06","Santa Catarina","Blumenau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","815560","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Trichomanes","fontanum","Trichomanes fontanum","Lindm.",NA,"C. Jürgens","s.n.","1906","South America","Brazil","Mun. S. Cruz, Prec. N. Pomern.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=803546' target='other'> <mi>dwc_moreinfo</mi></a>","NY00815560","NY00815560_01",NA,"Rio Grande do Sul",NA,"200","200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","144702","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Trichomanes","fontanum","Trichomanes fontanum","Lindm.","type","C. A. M. Lindman","1043","1893","South America","Brazil","Excolon. Santo Angelo",NA,NA,"sheet","This Type Fragment came from S. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=598697' target='other'> <mi>dwc_moreinfo</mi></a>","NY00144702","NY00144702_01","02","Rio Grande do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","815559","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Trichomanes","fontanum","Trichomanes fontanum","Lindm.",NA,"C. Jürgens","207","1904","South America","Brazil","Serra de Melo.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=803543' target='other'> <mi>dwc_moreinfo</mi></a>","NY00815559","NY00815559_01",NA,"Rio Grande do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","815561","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Trichomanes","fontanum","Trichomanes fontanum","Lindm.",NA,"C. Jürgens","s.n.","1906","South America","Brazil","Mun. S. Cruz, Prec. N. Pomern.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=803548' target='other'> <mi>dwc_moreinfo</mi></a>","NY00815561","NY00815561_01",NA,"Rio Grande do Sul",NA,"200","200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","815562","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Trichomanes","fontanum","Trichomanes fontanum","Lindm.",NA,"C. Jürgens","209","1905","South America","Brazil","Mun. S. Cruz, Serra de Leão.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=803552' target='other'> <mi>dwc_moreinfo</mi></a>","NY00815562","NY00815562_01",NA,"Rio Grande do Sul",NA,"120","120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","03929761","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Trichomanes","ovale","Trichomanes ovale","(E.Fourn.) Wess.Boer",NA,"M. Guariglia","1506","1982","South America","Venezuela","Departamento Atabapo: ALRREDEDORES DE LA COMUNIDAD DE CULEBRA. Entre los Cerros Duida y Huachama cari, bosque amazónicointerrumpido por pequeña sabana y conucos.","-65.75","3.67","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4216435' target='other'> <mi>dwc_moreinfo</mi></a>","NY03929761","NY03929761_01","01","Amazonas",NA,"200","400","28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","2565965","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Trichomanes","ovale","Trichomanes ovale","(E.Fourn.) Wess.Boer",NA,"C. A. Cid Ferreira","464","1979","South America","Brazil","Rio Uatumã, margem direita, em frente ao igarapé Sta. Luzia, 1 km da margem do rio","-58.021900177002","-2.7488899230957","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2825937' target='other'> <mi>dwc_moreinfo</mi></a>","NY02565965",NA,"07","Amazonas","Itapiranga",NA,NA,"17","144800","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 09:59:05-03","UNESP-IBILCE","SJRP-PTERIDOPHYTA","07723","S","Plantae","Tracheophyta","Polypodiales","Hymenophyllaceae","Didymoglossum","ovale","Didymoglossum ovale","E.Fourn.",NA,"P.G. Windisch","6452","1991","América do Sul","Brasil","Vila Atlântica","-54.4505996704102","-11.0894002914429",NA,"GEOGRAFIA: sobre raízes aérea de palmeira (paxúba);",NA,NA,"07","Mato Grosso","Marcelândia",NA,NA,"16","148026","auto","Polypodiopsida","B. Ollgaard et Windisch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
