"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","imagecode","dayIdentified","coordinatePrecision","geoFlag","typeStatus","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","493742","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Chamissoa","brasiliana","Chamissoa brasiliana","(Moq.) R.E.Fr.","T. M. Pedersen","G. G. Hatschbach","28438","1971","12","08","South America","Brazil","Paraná","Uniao da Vitória","Rio da Prata","-51.0864","-26.23","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=103884' target='other'> <mi>dwc_moreinfo</mi></a>","NY00493742",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","493744","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Chamissoa","brasiliana","Chamissoa brasiliana","(Moq.) R.E.Fr.","L. B. Smith","R. Reitz","12438","1962","02","25","South America","Brazil","Santa Catarina","Pôrto Uniao",NA,"-51.0781","-26.2383","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=103885' target='other'> <mi>dwc_moreinfo</mi></a>","NY00493744","750","750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","493743","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Chamissoa","brasiliana","Chamissoa brasiliana","(Moq.) R.E.Fr.","L. B. Smith; R. J. Downs","L. B. Smith","8772","1956","12","19","South America","Brazil","Santa Catarina","Pôrto Uniao","Clay pits by Rio Iguaçu, Pôrto Iniao","-51.0781","-26.2383","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=103883' target='other'> <mi>dwc_moreinfo</mi></a>","NY00493743","750","750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","493741","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Chamissoa","brasiliana","Chamissoa brasiliana","(Moq.) R.E.Fr.","G. G. Hatschbach","G. G. Hatschbach","43430","1980","12","11","South America","Brazil","Paraná","Uniao da Vitória","Rod. BR-153, Ponta Rio Iguaçu","-51.0864","-26.23","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=103886' target='other'> <mi>dwc_moreinfo</mi></a>","NY00493741",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-10-09 11:08:20-03","UFBA","ALCB","1068","PreservedSpecimen","Plantae","Dicotyledon",NA,"Amaranthaceae","Herbstia","brasiliana","Herbstia brasiliana","(Moq.) Stutz","Marchioretto, MS","Costa, AL","s/n","1969","12","07","Southern America","Brasil","Bahia","Milagres","Recôncavo Sul, Fazenda Bom Jesus","-39.85","-12.866667",NA,NA,NA,NA,NA,"2008","10","-39.85","-12.866667",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 08:54:18-03","NBC","NL-BOTANY","L.1690236","PreservedSpecimen","Plantae",NA,"Caryophyllales","Amaranthaceae","Chamissoa","brasiliana","Chamissoa brasiliana","(Moq.) R.E.Fr.",NA,"Reitz R; Klein RM",NA,"1962","02","25","Southern America","Brazil",NA,NA,"Santa Catarina, Pôrto União.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1690236 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1690236",NA,NA,NA,NA,NA,NA,"Magnoliopsidae","NL-L1690236",NA,NA,NA,NA,NA,NA
"7","2019-02-15 11:32:27-02","IPA","IPA","44400","S","Plantae","Plantae",NA,"Amaranthaceae","Chamissoa","brasiliana","Chamissoa brasiliana","(Moq.) R.E. Fr.","Hoehne, W.","Hoehne, W.","s.n.","1953","12","09","Southern America","Brasil","São Paulo","São Paulo","Butantan, próximo cidade universitária, junto ao Rio Pinheiros. Ponte Jaguaré.","-46.6300010681152","-23.5400009155273",NA,"Planta herbácea.","IPA0044400",NA,NA,"1954","06",NA,NA,NA,NA,"06","53584","auto",NA,NA,NA
"8","2019-11-21 14:30:01-03","UFJF","CESJ","926","PreservedSpecimen","Plantae","Angiosperma",NA,"Amaranthaceae","Herbstia","brasiliana","Herbstia brasiliana","(L.) Kuntze","O.Handro (IBSP)","L. Roth","CESJ926","1943","12","05","América do Sul","Brasil","São Paulo","São Paulo","Santo Amaro, Seminário Espírito Santo","-46.6300010681152","-23.5400009155273",NA,"Erva da mata, de flores minúsculas, de cor marron.","CESJ000926",NA,NA,NA,NA,NA,NA,NA,"CESJ000926",NA,"53584","auto",NA,NA,NA
"9","2019-08-20 10:02:22-03","UNICAMP","UEC","45077","S","Plantae","Magnoliopsida",NA,"Amaranthaceae","Herbstia","brasiliana","Herbstia brasiliana","(Moq.) Sohmer","Siqueira, JC","Hatschbach, G","43430","1980","12","11",NA,"Brazil","Paraná","União da Vitória","Rod. BR-153, Ponte do Rio Iguaçu.","-51.0863990783691","-26.2299995422363",NA,"flor, Erva ereta da mata de galeria.","UEC026805",NA,NA,"1989",NA,NA,NA,NA,"UEC026805",NA,"35297","auto",NA,NA,NA
"10","2020-12-21 16:11:27-03","MBM","MBM","20295","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Herbstia","brasiliana","Herbstia brasiliana","(Moq.) Sohmes","Pedersen, T.M.","Hatschbach, G.","28438","1971","12","08","Southern America","Brazil","Paraná","União da Vitória","Rio da Prata","-51.0863990783691","-26.2299995422363",NA,"Ereta; flor creme.; Interior da Prata.","MBM020295",NA,NA,"1994",NA,NA,NA,NA,"MBM020295",NA,"35297","auto",NA,NA,NA
