"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","year","month","day","stateProvince","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","dayIdentified","typeStatus","fieldNumber","individualCount","relatedCatalogItem","sex"
"1","2016-09-29 21:31:00-03","NY","NYBG","895385","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Dasyphyllum","lanceolatum","Dasyphyllum lanceolatum","M. M. Saavedra","J. B. E. Pohl","2797","South America","Brazil","Brazil.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=977663' target='other'> <mi>dwc_moreinfo</mi></a>","NY00895385","NY00895385_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","791242","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Dasyphyllum","synacanthum","Dasyphyllum synacanthum",NA,"F. C. Hoehne","s.n.","South America","Brazil","Jardim Botanico, S. Paulo","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=278178' target='other'> <mi>dwc_moreinfo</mi></a>","NY00791242","NY00791242_01","(Baker) Cabrera","1934","08","02","São Paulo","Sao Paulo","-46.618358","-23.646109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-29 20:59:00-03","NY","NYBG","872364","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Dasyphyllum","synacanthum","Dasyphyllum synacanthum",NA,"J. Schücht","s.n.","South America","Brazil",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=940916' target='other'> <mi>dwc_moreinfo</mi></a>","NY00872364","NY00872364_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","791243","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Dasyphyllum","synacanthum","Dasyphyllum synacanthum","T. S. Rodrigues","W. Hoehne","s.n.","South America","Brazil","Cidade Jardim","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=278175' target='other'> <mi>dwc_moreinfo</mi></a>","NY00791243","NY00791243_01","(Baker) Cabrera","1941","08",NA,"São Paulo","Sao Paulo","-46.698324","-23.591462",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","791244","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Dasyphyllum","synacanthum","Dasyphyllum synacanthum","H. E. Robinson","H. S. Irwin","11324","South America","Brazil","Córrego Landím, ca. 20 km. N. of Brasília","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=278176' target='other'> <mi>dwc_moreinfo</mi></a>","NY00791244","NY00791244_01","(Baker) Cabrera","1965","12","16","Distrito Federal","Brasília","-47.9294","-15.7797","950","950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02851826","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Dasyphyllum","synacanthum","Dasyphyllum synacanthum",NA,"J. Schücht","94","South America","Brazil",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3176536' target='other'> <mi>dwc_moreinfo</mi></a>","NY02851826","NY02851826_01","(Baker) Cabrera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","791241","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Dasyphyllum","synacanthum","Dasyphyllum synacanthum",NA,"F. C. Hoehne","s.n.","South America","Brazil","Jardim Botanico, S. Paulo","sheet","Planta vivam n° 449 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=278177' target='other'> <mi>dwc_moreinfo</mi></a>","NY00791241","NY00791241_01","(Baker) Cabrera","1934","08","02","São Paulo","Sao Paulo","-46.618358","-23.646109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-30 12:34:37-03","EAO","IAN","34635","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Chuquiraga","synacantha","Chuquiraga synacantha",NA,"Schueck","94","Southern America","Brasil",NA,NA,NA,"IAN034635",NA,"(Schultz)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-10-09 11:10:20-03","UFBA","ALCB","07174","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Dasyphyllum","lanceolatum","Dasyphyllum lanceolatum","Saavedra, MM","Pinto, GCP","56-66","Southern America","Brasil","Recôncavo Sul, em capoeirões",NA,"semi-escandente.",NA,NA,"(Less.) Cabrera","1956",NA,NA,"Bahia","Cruz das Almas","-39.1","-12.666667",NA,NA,"2011","06","-39.1","-12.666667",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-08-11 00:15:37-03","UFBA","ALCB","10277","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Dasyphyllum","lanceolatum","Dasyphyllum lanceolatum","Saavedra, MM","Souza, Padre JP de","s/n","Southern America","Brasil","Sudoeste",NA,NA,NA,NA,"(Less.) Cabrera","1975","08","17","Bahia","Itiruçu","-40.15","-13.516667",NA,NA,"2011","06","-40.15","-13.516667",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-11-04 11:01:27-03","ESALQ","ESA","103310","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Dasyphyllum","lanceolatum","Dasyphyllum lanceolatum","Saavedra, M.M.","Arthur, J.",NA,NA,"Brasil",NA,NA,NA,"ESA103310","ESA103310",NA,NA,NA,NA,"São Paulo","Piracicaba","-47.6399993896484","-22.7199993133545",NA,NA,"2011",NA,NA,NA,"44778","auto",NA,NA,NA,NA,NA,NA,NA
"12","2020-11-04 11:01:28-03","ESALQ","ESA","103480","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Dasyphyllum","synacanthum","Dasyphyllum synacanthum","Monge, M.","Krieger, L.","9069.0",NA,"Brasil",NA,NA,NA,"ESA103480","ESA103480",NA,NA,NA,NA,"Minas Gerais","Juiz de Fora","-43.3502998352051","-21.7642002105713",NA,NA,NA,NA,NA,NA,"36144","auto",NA,NA,NA,NA,NA,NA,NA
"13","2020-11-04 11:01:28-03","ESALQ","ESA","37000","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Dasyphyllum","synacanthum","Dasyphyllum synacanthum","Monge, M.","Hoehne, W.",NA,NA,"Brasil",NA,NA,NA,"ESA037000","ESA037000","(Baker) Cabrera","1941","08","01","São Paulo","São Paulo","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,NA,NA,"53584","auto",NA,NA,NA,NA,NA,NA,NA
"14","2020-11-04 11:01:28-03","ESALQ","ESA","103479","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Dasyphyllum","synacanthum","Dasyphyllum synacanthum","Monge, M.","Krieger, L.","9069.0",NA,"Brasil",NA,NA,NA,"ESA103479","ESA103479",NA,NA,NA,NA,"Minas Gerais","Juiz de Fora","-43.3502998352051","-21.7642002105713",NA,NA,NA,NA,NA,NA,"36144","auto",NA,NA,NA,NA,NA,NA,NA
"15","2020-11-04 11:01:28-03","ESALQ","ESA","103474","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Dasyphyllum","synacanthum","Dasyphyllum synacanthum","Monge, M.","Krieger, L.","9069.0",NA,"Brasil",NA,NA,NA,"ESA103474","ESA103474",NA,NA,NA,NA,"Minas Gerais","Juiz de Fora","-43.3502998352051","-21.7642002105713",NA,NA,NA,NA,NA,NA,"36144","auto",NA,NA,NA,NA,NA,NA,NA
"16","2020-11-04 11:01:28-03","ESALQ","ESA","103478","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Dasyphyllum","synacanthum","Dasyphyllum synacanthum","Monge, M.","Krieger, L.","9069.0",NA,"Brasil",NA,NA,NA,"ESA103478","ESA103478",NA,NA,NA,NA,"Minas Gerais","Juiz de Fora","-43.3502998352051","-21.7642002105713",NA,NA,NA,NA,NA,NA,"36144","auto",NA,NA,NA,NA,NA,NA,NA
"17","2019-08-27 13:27:21-03","IAP","PACA-AGP","45445","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Dasyphyllum","lanceolatum","Dasyphyllum lanceolatum","Claudio Mondin","Rambo, B.",NA,NA,"Brasil","Serra da Rocinha",NA,"EM PERIGO&nf;alabastris novis; sin.: Chuquiragua synacantha (Sch.-Bip.) Baker Habitat: in silvula nebulari","PACA045445",NA,"(Less.) Cabrera","1950","01","18","RS","Bom Jesus","-50.4166984558105","-28.6678009033203",NA,NA,"1993","09",NA,NA,"55856","auto","Magnoliatae","06",NA,NA,NA,NA,NA
"18","2019-08-27 13:27:21-03","IAP","PACA-AGP","91905","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Dasyphyllum","lanceolatum","Dasyphyllum lanceolatum","Saavedra, M. M.","Mondin, C.","1283",NA,"Brasil","No fortaleza. Na orla da mata.",NA,"HASU 6384. EM PERIGO. Habitat: Beira de mata. Hábito: arbusto escandente","PACA091905",NA,"(Less.) Cabrera","1998","01","17","RS","Cambará do Sul","-50.1446990966797","-29.0478000640869",NA,NA,"2015","07",NA,NA,"30776","auto","Magnoliatae","23",NA,NA,NA,NA,NA
"19","2019-08-27 13:27:21-03","IAP","PACA-AGP","32139","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Dasyphyllum","lanceolatum","Dasyphyllum lanceolatum","Saavedra, M. M.","Rambo, B.",NA,NA,"Brasil","Serra do Fachinal",NA,"EM PERIGO&nf;sin.: Chuquiragua synacantha (Sch.-Bip.) Baker Habitat: in silvula nebulari Fenofase: flor","PACA032139",NA,"(Less.) Cabrera","1946","04","12","RS","São Francisco de Paula","-50.5835990905762","-29.4480991363525",NA,NA,"2015","07",NA,NA,"76715","auto","Magnoliatae","23",NA,NA,NA,NA,NA
"20","2021-03-01 16:23:54-03","UNICAMP","UEC","92987","S","Plantae","Magnoliopsida",NA,"Asteraceae","Dasyphyllum","lanceolatum","Dasyphyllum lanceolatum","Monge, M","Tozzi, AMGA; Tozzi, CL; Junqueira, FA","9653",NA,"Brazil","Fazenda São José, Jupiá",NA,"àrvore de 3 m de altura. Brácteas verdes, folhas verdes brilhantes.; Mata de grota","UEC016179","UEC016179","(Less.) Cabrera","1996","07","01","Minas Gerais","Jacuí","-46.7411003112793","-21.0167007446289",NA,NA,"2010","10",NA,NA,"16705","auto",NA,NA,NA,NA,NA,NA,NA
"21","2021-03-01 16:23:59-03","UNICAMP","UEC","108882","S","Plantae","Magnoliopsida",NA,"Asteraceae","Dasyphyllum","synacanthum","Dasyphyllum synacanthum",NA,"Manara, MP; Santos, JBF; Lima, VB;","21",NA,"Brazil","Córrego Água Sumida, Fazenda São Donato",NA,"Floresta de galeria, arbusto, caule liso, fruto verde, no sol","UEC154947","UEC154947","(Baker) Cabrera","1998","06","19","São Paulo","Teodoro Samapaio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2019-08-20 10:05:23-03","UNICAMP","UEC","175729","S","Plantae","Magnoliopsida",NA,"Asteraceae","Dasyphyllum","synacanthum","Dasyphyllum synacanthum","Monge, M","Santos, H","72/ 2012",NA,"Brazil","Mata Santa Genebra - Mata de Planalto",NA,NA,"UEC051705","UEC051705","(Baker) Cabrera","2012","07","04","São Paulo","Campinas","-47.121667","-22.819722",NA,NA,"2012","07","-47.121667","-22.819722",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-01 16:23:59-03","UNICAMP","UEC","30905","S","Plantae","Magnoliopsida",NA,"Asteraceae","Dasyphyllum","synacanthum","Dasyphyllum synacanthum",NA,"Sart, SJ","8477",NA,"Brazil","Trevode entrada para Monte Belo.",NA,"Cipó com espinhos e flores brancas.","UEC120655","UEC120655","(Baker) Cabrera","1978","10","04","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-01 16:23:59-03","UNICAMP","UEC","178791","S","Plantae","Magnoliopsida",NA,"Asteraceae","Dasyphyllum","synacanthum","Dasyphyllum synacanthum","Udulutsch, RG","Udulutsch, RG; Assis, MA; et al.","415",NA,"Brazil","Faz. São José (borda da mata).&nf;Coordenadas: latitude 22°21'18,7 - 22°21'51,6 S; longitude 47°29'58 - 47°28'6,9 W",NA,"Liana escandente, rara; flores alvo-amareladas.; Mata mesófila semidecídua.","UEC120653","UEC120653","(Baker) Cabrera","2001","08","14","São Paulo","Rio Claro","-47.560001373291","-22.4099998474121",NA,NA,"2001","08",NA,NA,"21773","auto",NA,NA,NA,NA,NA,NA,NA
"25","2021-03-01 16:23:59-03","UNICAMP","UEC","178792","S","Plantae","Magnoliopsida",NA,"Asteraceae","Dasyphyllum","synacanthum","Dasyphyllum synacanthum","Monge, M","Udulutsch, RG; Assis, MA","370",NA,"Brazil","Faz. São José (borda da mata).&nf;Coordenadas: latitude 22°21'18,7 - 22°21'51,6 S; longitude 47°29'58 - 47°28'6,9 W",NA,"Escandente rara; apenas botões florais.; Mata mesófila semidecídua.","UEC120654","UEC120654","(Baker) Cabrera","2001","06","26","São Paulo","Rio Claro","-47.560001373291","-22.4099998474121",NA,NA,NA,NA,NA,NA,"21773","auto",NA,NA,NA,NA,NA,NA,NA
"26","2021-03-01 16:23:59-03","UNICAMP","UEC","101513","S","Plantae","Magnoliopsida",NA,"Asteraceae","Dasyphyllum","synacanthum","Dasyphyllum synacanthum","Monge, M","Brunini, J","151",NA,"Brazil","Mata da Faz. São José.",NA,"Trepadeira, flores brancas - (cheiro doce forte).; Mata mesófila.","UEC016141","UEC016141","(Baker) Cabrera","1984","08","25","São Paulo","Rio Claro","-47.560001373291","-22.4099998474121",NA,NA,"2009","03",NA,NA,"21773","auto",NA,NA,NA,NA,NA,NA,NA
